FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Stuart,McKinstry,MID,LEE,4400000,0,0,0,0,0,0,7694,0,0,0,0,0,0,0,0,605,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,21516,0,-1,0,0,0,331,0,0,0,Wolverhampton,Norwich,Leicester,Tottenham,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny,McLean,MID,NOR,4900000,2,17,2.1,4.28571428571429E-07,3.46938775510204E-06,0,4479,0,18,0,0,0,0,0,3.5,104,-1,0,17,1,0.5,0,2.5,0,0,2,0,0,0.1,3918,0,-1,0,0,675,51,0,0,83,Chelsea,Leeds United F.C.,Brentford F.C.,Southampton,Wolverhampton,1.1,1.6,1.4,1.8,1.4,1.4,1,1.1,1.8,1.2,1.5,1,1.2,1.3,1.4,2,1.2,1,1.2,1.2,1.1,1.1,1.3,1.9,1,2,1,1.1,2.2,1.5,20.9
Dwight,McNeil,MID,BUR,5800000,2,20,2.2,3.79310344827586E-07,3.44827586206897E-06,0,26451,0,15,0,0,0,0,0,3.4,243,-2,1,20,2,0.4,0,2.2,1,0,1,0,0,0.2,17525,0,-1,0,0,794,109,-1,0,132,Southampton,Brentford F.C.,Chelsea,Crystal Palace,Tottenham,1.3,1.3,1.2,2.1,1.6,2.4,1.5,1.2,2,1.1,1.4,1.1,1.1,1.9,1.1,1.2,1.1,1.4,1.1,1.2,1.6,1.9,1.3,1.6,1.3,1.5,1.5,2,1.1,2.2,48.7
Scott,McTominay,MID,MUN,5400000,0,11,1.375,2.5462962962963E-07,2.03703703703704E-06,0,41076,0,5,0,0,0,0,0,2,208,-1,0,11,1,0.3,0,1.5,0,0,1,0,0,0.3,13465,0,-1,0,0,353,246,0,0,59,Liverpool,Tottenham,Man City,Watford,Chelsea,0.7,0.7,0.7,0.8,0.7,0.7,0.9,0.9,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.7,20.5
,Mebude,FWD,WAT,4500000,0,0,0,0,0,0,11875,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,-1,0,0,0,0,0,0,0,Everton,Southampton,Arsenal,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Mee,DEF,BUR,4900000,0,13,2.2,4.48979591836735E-07,2.6530612244898E-06,0,78416,1,11,0,0,0,1,0,2.7,725,-1,0,13,1,0,0,0.2,0,0,0,0,0,0.6,53291,0,-1,0,0,540,21,0,0,62,Southampton,Brentford F.C.,Chelsea,Crystal Palace,Tottenham,0,2,1.9,2.1,3.1,2,1.1,1.7,1.4,1.2,2,2,1.6,1.5,1.5,2.2,2.3,1.8,1.1,1.8,2.4,1.9,2.4,1.6,1.9,1.2,1.1,2.1,2.3,1.6,21
Benjamin,Mendy,DEF,MCI,5300000,0,3,0.375,7.07547169811321E-08,5.66037735849057E-07,0,70945,0,1,0,0,0,0,0,0.6,159,-2,0,3,2,0,0,0,1,0,0,0,0,0.4,16460,0,-1,0,0,78,28,0,0,22,Brighton,Crystal Palace,Man Utd,Everton,West Ham,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.6
Edouard,Mendy,GLK,CHE,6100000,6,45,5.6,9.18032786885246E-07,7.37704918032787E-06,0,434505,1,3,0,26,0,0,0,7.4,4192,1,0,45,-1,0.8,0,4.8,3,0,5,0,0,16.6,826071,0,-1,0,0,720,24395,0,0,180,Norwich,Newcastle,Burnley,Leicester,Man Utd,7.3,5.7,7.1,5.8,6.7,5.6,8.1,7.4,6.7,8.3,6.5,6.3,6.6,7.3,7.5,7.9,7.3,5.8,5.4,7.3,5.6,7.5,6.2,6.9,7.5,6,7,4.6,8.1,5,21.2
Nampalys,Mendy,MID,LEI,4400000,0,0,0,0,0,0,170571,0,0,0,0,0,0,0,0,2843,-1,0,0,1,0,0,0,0,0,0,0,0,1.5,241791,0,-1,0,0,0,317,0,0,0,Brentford F.C.,Arsenal,Leeds United F.C.,Chelsea,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illan,Meslier,GLK,LEE,5000000,3,25,2.8,5.6E-07,5E-06,0,174756,1,16,0,34,0,0,0,5,1578,0,0,25,0,0.6,0,3.2,0,0,1,0,0,2.8,93466,0,-1,0,0,810,1034,0,0,176,Wolverhampton,Norwich,Leicester,Tottenham,Brighton,1.9,2.4,2.3,3.3,2.6,3,3,2.7,2.2,3.2,3.2,3.1,3.1,2.7,2.4,1.8,2.1,3.1,4.2,1.5,3.2,2.8,2.8,1.4,2.6,1.5,3.4,2.2,2.7,3.3,27
Luka,Milivojevic,MID,CRY,5400000,2,10,2,3.7037037037037E-07,1.85185185185185E-06,0,7217,0,4,0,0,0,0,0,1.9,49,-1,0,10,1,0.4,0,2.2,0,0,1,0,0,0,1456,0,-1,0,0,322,34,0,0,53,Newcastle,Man City,Wolverhampton,Burnley,Aston Villa,2.1,1,1.5,1,1.9,1,1,1.3,1.8,1,1,2.1,1.1,1,1,1.1,1.1,1.1,2,1.7,1.2,1,1.6,1,1,1.7,1,1.9,1,1.2,9.7
James,Milner,MID,LIV,4900000,0,13,1.625,3.31632653061225E-07,2.6530612244898E-06,0,10039,2,1,0,0,0,0,0,2.7,200,-1,0,13,1,0.4,0,2,1,0,3,0,1,0.1,8810,0,-1,0,0,339,271,0,0,68,Man Utd,Brighton,West Ham,Arsenal,Southampton,0.8,0.8,1,0.8,1,0.8,1.7,1,1.2,0.8,0.9,1,0.9,0.8,0.8,1,1,1.2,0.8,0.8,1,0.8,1,0.8,0.8,0.8,1.1,0.8,1,0.8,24
Yerry,Mina,DEF,EVE,4900000,0,12,1.5,3.06122448979592E-07,2.44897959183673E-06,0,47873,1,7,0,0,0,0,0,2.4,1491,-1,0,12,1,0.4,0,2,0,0,1,0,0,0.4,23407,0,-1,0,0,457,10,0,0,72,Watford,Wolverhampton,Tottenham,Man City,Brentford F.C.,0,0,0,0,0,1.3,1.2,0.8,1,0.8,0.8,0.8,1,0.9,1.2,0.8,1.3,0.8,1.3,1.3,0.8,0.8,1,1.2,1.1,1.3,1,0.8,1.1,0.8,12.5
Takumi,Minamino,MID,LIV,5200000,0,0,0,0,0,0,10255,0,0,0,0,0,0,0,0,47,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,2577,0,-1,0,0,0,22,0,0,0,Man Utd,Brighton,West Ham,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone,Mings,DEF,AVL,5000000,0,29,3.6,7.2E-07,5.8E-06,0,504536,4,14,0,0,0,0,0,5.8,13636,0,0,29,0,0.4,0,2,4,0,3,0,2,7.2,399647,0,-1,0,1,720,1195,0,0,141,Arsenal,West Ham,Southampton,Brighton,Crystal Palace,3,3.9,2.7,4.1,2.1,4.9,3.5,4.3,3.2,4.6,4,3.2,4.4,4.6,2.8,4.8,2.1,3.3,3.4,4.2,3.6,4.7,3.8,5.4,4.9,2.1,4.7,3,4.5,3,30.8
Tyrick,Mitchell,DEF,CRY,4500000,7,26,2.9,6.44444444444444E-07,5.77777777777778E-06,0,45612,0,14,0,0,0,0,0,5.8,810,0,0,26,0,0.6,0,2.8,2,0,2,0,1,0.7,51640,0,-1,0,0,810,933,0,0,126,Newcastle,Man City,Wolverhampton,Burnley,Aston Villa,2.7,1.9,2.2,1.9,3.5,2.1,2.6,3.3,3.2,1.4,3,3.6,2.9,2.3,3.7,2.1,3.1,3,3.5,2.6,3.8,1.4,3.6,1.4,1.8,3.7,1.7,2.4,1.6,3.5,28.6
Jakub,Moder,MID,BHA,4500000,1,17,1.9,4.22222222222222E-07,3.77777777777778E-06,0,66142,1,6,0,0,0,0,0,3.8,892,0,0,17,0,0.4,0,2,0,0,2,0,1,0.8,90226,0,-1,0,0,439,318,0,0,58,Man City,Liverpool,Newcastle,Aston Villa,Leeds United F.C.,1,1,1.5,1,1.2,1.2,1.3,1.1,1,1.1,1,1.2,1,1.5,1.3,1,1.4,1.4,1.3,1.4,1,1,1.5,1,1,1.3,2.2,1,1.1,1,23.7
,Mosquera,DEF,WOL,4500000,0,0,0,0,0,0,1947,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,-1,0,0,0,2,0,0,0,Leeds United F.C.,Everton,Crystal Palace,West Ham,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louie,Moulden,GLK,WOL,4000000,0,0,0,0,0,0,3001,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0.2,10908,0,-1,0,0,0,540,0,0,0,Leeds United F.C.,Everton,Crystal Palace,West Ham,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,Mount,MID,CHE,7400000,24,41,5.9,7.97297297297297E-07,5.54054054054054E-06,0,1465591,0,1,0,0,0,3,0,5.5,3291,-1,0,41,1,0.9,0,6.5,3,0,3,0,3,10.5,676845,0,-1,0,1,446,127262,0,0,148,Norwich,Newcastle,Burnley,Leicester,Man Utd,7.7,7.8,7.4,7.3,5,7.7,7.2,6.6,5.5,8.9,6.5,5.6,3.9,4.8,6.3,7.4,6.3,6.4,6.9,7.6,7.7,8,5.1,7.3,6.7,4.9,5.9,6,6.6,7.2,55.4
,Moutinho,MID,WOL,5000000,2,21,2.3,4.6E-07,4.2E-06,0,62231,1,8,0,0,0,0,0,4.2,976,0,0,21,0,0.4,0,2.2,1,0,3,0,0,0.6,68107,0,-1,0,0,748,422,0,0,127,Leeds United F.C.,Everton,Crystal Palace,West Ham,Norwich,1.8,1.2,1.7,1.2,2.4,1.4,1.2,1.2,2.1,1.2,1.3,1.6,1.8,1.2,2.3,1.2,1.6,1.2,2,1.4,1.5,1.2,1.3,2.2,1.2,2.2,1.2,1.9,1.5,1.4,32.6
Bali,Mumba,DEF,NOR,4000000,0,0,0,0,0,0,17913,0,3,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0.3,7911,0,-1,0,0,45,23,0,0,6,Chelsea,Leeds United F.C.,Brentford F.C.,Southampton,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Jacob,Murphy,MID,NEW,5000000,0,21,2.625,5.25E-07,4.2E-06,0,102677,1,10,0,0,0,1,0,4.2,1347,0,0,21,0,0.3,0,1.5,0,0,0,0,2,0.7,129090,0,-1,0,0,328,132,0,0,70,Crystal Palace,Chelsea,Brighton,Brentford F.C.,Arsenal,1.4,1.6,1.8,1.7,1.4,2.9,2.7,1.8,1.3,1.8,1.7,1.3,1.8,2.6,1.5,1.9,2.6,1.7,2,1.9,1.6,2.8,1.3,2.1,2.5,2.1,1.3,1.3,2.2,1.9,20.9
Enock,Mwepu,MID,BHA,5900000,4,6,0.75,1.27118644067797E-07,1.01694915254237E-06,0,9354,1,2,0,0,0,0,0,1,22,-1,0,6,1,0.2,0,1,0,0,0,0,1,0,1289,0,-1,0,0,123,43,0,0,17,Man City,Liverpool,Newcastle,Aston Villa,Leeds United F.C.,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,3.4
,N.Williams,DEF,LIV,3900000,0,4,0.5,1.28205128205128E-07,1.02564102564103E-06,0,56166,0,0,0,0,0,0,0,1,1144,-1,0,4,1,0.3,0,1,0,0,0,0,1,1,54860,0,-1,0,0,7,1917,0,0,17,Man Utd,Brighton,West Ham,Arsenal,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,3.1
