FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Fabinho,MID,LIV,5400000,2,28,2.15384615384615,3.98860398860399E-07,5.18518518518519E-06,0,104931,3,10,0,0,0,1,0,5.2,889,-1,0,28,1,0.4,0,2.2,0,0,4,0,1,0.7,74793,0,-1,0,0,828,631,0,0,153,Everton,Wolverhampton,Aston Villa,Newcastle,Tottenham,1.1,2,1.8,1.9,1.2,1.4,1.5,1.4,1.3,1.3,1.3,1.5,2,1.1,1.1,1.4,1.1,1.9,1.1,1.3,1.5,1.8,1.5,1.6,1.7,38.8
,Fabio Silva,FWD,WOL,5700000,0,7,0.538461538461538,9.44669365721997E-08,1.2280701754386E-06,0,64242,0,0,0,0,0,0,0,1.2,382,-3,0,7,3,0,0,0.2,0,0,0,0,0,0.4,22306,0,-1,0,0,36,276,0,0,20,Burnley,Liverpool,Man City,Brighton,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,3.9
,Femenia,DEF,WAT,4300000,1,14,1.8,4.18604651162791E-07,3.25581395348837E-06,0,16303,1,15,0,0,0,0,0,3.3,113,-2,0,14,2,0.5,0,2,0,0,0,0,2,0.1,4448,0,-1,0,0,629,96,0,0,111,Chelsea,Man City,Brentford F.C.,Burnley,Crystal Palace,1.5,1.7,1.6,1.1,1.3,1.2,1.6,2.3,0.9,1.5,1.4,1.5,1,1.7,2,0.9,1.7,1.9,1.8,1.5,1.5,1.4,0.9,1,1.9,22.6
Nathan,Ferguson,DEF,CRY,4500000,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,-1,0,0,0,4,0,0,0,Leeds United F.C.,Man Utd,Everton,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fernandes,MID,MUN,11600000,0,55,4.2,3.62068965517241E-07,4.74137931034483E-06,0,3644374,4,22,0,0,0,4,0,4.7,13789,-4,0,55,4,0.1,1,1.2,4,0,2,0,3,16.5,927332,0,-1,0,1,1118,2965,0,0,239,Arsenal,Crystal Palace,Norwich,Brentford F.C.,Brighton,4.1,4.1,5.1,4.8,3.3,5.3,4.3,4.2,4.2,3,4.8,4.5,4.2,4.6,3.4,3.7,3,3.4,3.9,4.8,3.9,3.3,4.6,2.5,4.3,114.8
Alvaro,Fernandez,GLK,BRE,4500000,1,16,1.23076923076923,2.73504273504274E-07,3.55555555555556E-06,0,28040,0,9,0,18,0,0,0,3.6,536,0,0,16,0,0.8,0,3.8,2,0,1,0,0,0.6,71432,0,-1,0,0,374,2192,0,0,94,Tottenham,Leeds United F.C.,Watford,Man Utd,Southampton,1.2,0.9,0.6,0.6,0.6,0.9,0.8,0.8,1.2,0.6,0.9,0.6,0.8,0.6,0.6,0.7,0.6,1.2,0.8,0.6,1.3,1,0.6,0.7,0.9,12.2
Federico,Fernandez,DEF,NEW,4300000,5,10,0.769230769230769,1.78890876565295E-07,2.32558139534884E-06,0,14738,0,12,0,0,0,0,0,2.3,73,-2,0,10,2,0.3,0,1.2,0,0,0,0,1,0.1,5489,0,-1,0,0,516,208,0,0,88,Norwich,Burnley,Leicester,Liverpool,Man City,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.4,21
,Fernandinho,MID,MCI,4800000,2,19,1.46153846153846,3.04487179487179E-07,3.95833333333333E-06,0,45925,0,4,0,0,0,1,0,4,312,-2,0,19,2,0.5,0,2.5,2,0,1,0,0,0.4,32039,0,-1,0,0,277,606,0,0,67,Aston Villa,Watford,Wolverhampton,Leeds United F.C.,Newcastle,0.7,1,0.9,0.7,0.9,0.7,0.8,0.7,0.7,0.8,0.7,0.9,0.8,0.7,0.7,0.7,0.7,0.8,0.7,1.1,1.1,0.7,1.1,0.7,1,15.6
Roberto,Firmino,FWD,LIV,8700000,0,35,4.4,5.05747126436782E-07,4.02298850574713E-06,0,807365,0,6,0,0,0,4,0,4,3476,-3,1,35,3,0,0,0,5,0,2,0,1,2.2,449644,0,-1,0,1,367,82,-1,0,155,Everton,Wolverhampton,Aston Villa,Newcastle,Tottenham,0,0,5.3,6,4.5,5.8,5.9,3.8,4.3,4.3,5.5,4.9,5.6,4.1,4.8,4.7,4.9,5.9,4.1,4,5.8,5.8,5.1,4.5,3.8,51.6
,Firpo,DEF,LEE,4700000,0,9,1,2.12765957446809E-07,1.91489361702128E-06,0,69800,3,13,0,0,0,0,0,1.9,250,-3,0,9,3,0,0,0.2,2,0,1,0,0,0.3,23904,1,-1,0,0,585,115,0,0,69,Crystal Palace,Brentford F.C.,Chelsea,Man City,Arsenal,0.5,0.6,0.7,0.6,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,1,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.7,0.5,0.6,0.6,22.2
