FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,13682,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3828,0,-1,0,0,0,0,0,0,0,Leicester,Crystal Palace,Arsenal,Norwich,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,4900000,1,3,0.75,1.53061224489796E-07,6.12244897959184E-07,0,8391,0,3,0,0,0,0,0,0.6,245,-1,0,3,1,0.2,0,0.8,0,0,0,0,0,0.1,5338,0,-1,0,0,65,137,0,0,5,Aston Villa,Norwich,Man Utd,West Ham,Watford,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,7.3
Michail,Antonio,FWD,WHU,7900000,0,39,9.8,1.24050632911392E-06,4.93670886075949E-06,0,2093490,0,5,0,0,0,4,0,4.9,38758,4,0,39,-4,0.8,1,6.5,8,0,1,0,4,31.5,2524564,0,-1,0,3,358,82819,0,1,147,Man Utd,Leeds United F.C.,Brentford F.C.,Everton,Tottenham,13.6,13.1,12.1,12.8,14.7,10.2,10,14.7,8.8,12.1,12.6,11.6,10.9,14.1,13.9,11.6,10.9,13,12.5,14.7,12.5,14.7,11.5,11.9,14.7,10.3,13.3,11.5,14.7,9.5,14.7,12.1,14.4,14.4,59
Cameron,Archer,FWD,AVL,4500000,0,0,0,0,0,0,27772,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0,0,1,94985,0,-1,0,0,0,2903,0,0,0,Everton,Man Utd,Tottenham,Wolverhampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphonse,Areola,GLK,WHU,4900000,0,0,0,0,0,0,55752,0,0,0,0,0,0,0,0,1106,-1,0,0,1,0,0,0,0,0,0,0,0,0.9,13495,0,-1,0,0,0,388,0,0,0,Man Utd,Leeds United F.C.,Brentford F.C.,Everton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kepa,Arrizabalaga,GLK,CHE,4900000,0,0,0,0,0,0,13033,0,0,0,0,0,0,0,0,285,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,3063,0,-1,0,0,0,82,0,0,0,Tottenham,Man City,Southampton,Brentford F.C.,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,FWD,ARS,9900000,2,13,3.2,3.23232323232323E-07,1.31313131313131E-06,0,202089,0,4,0,0,0,1,0,1.3,7088,-1,0,13,1,0.3,0,3.2,3,0,2,0,0,2.3,157497,0,-1,0,0,267,2030,0,0,41,Burnley,Tottenham,Brighton,Crystal Palace,Aston Villa,2,4.1,2.3,4.3,4.2,1.8,4.8,1.6,4.8,1.7,2,3.7,3.7,3.3,3,2.8,3.6,1.6,4.6,2.8,1.6,2.7,2.1,2.5,3.6,1.6,1.6,2.9,1.7,3.6,1.8,4.7,2.3,3.7,25
Serge,Aurier,DEF,TOT,4900000,0,0,0,0,0,0,39756,0,0,0,0,0,0,0,0,816,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,7608,0,-1,0,0,0,0,0,0,0,Chelsea,Arsenal,Aston Villa,Newcastle,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5900000,2,9,1.8,3.05084745762712E-07,1.52542372881356E-06,0,50494,0,8,0,0,0,0,0,1.5,1074,-1,0,9,1,0.3,0,1.8,0,0,1,0,0,0.6,30174,0,-1,0,0,377,766,0,0,35,Liverpool,Brighton,Leicester,Arsenal,Newcastle,0.9,1.2,1.5,0.9,2.4,0.9,1.1,0.9,1.9,1.4,0.9,1.6,1.6,1,0.9,2.6,1.5,0.9,0.9,1.4,0.9,1.1,2.1,1.1,1.5,0.9,2.1,0.9,0.9,2.2,0.9,2.4,0.9,1.5,21.7
Luke,Ayling,DEF,LEE,4500000,2,12,2.4,5.33333333333333E-07,2.66666666666667E-06,0,450444,0,12,0,0,0,1,0,2.7,21087,0,0,12,0,0.3,0,1.5,0,0,0,0,0,11.9,504709,0,-1,0,0,448,2190,0,0,74,Newcastle,West Ham,Watford,Southampton,Wolverhampton,0,1.6,1.7,1.7,1.7,1.9,2,2.8,2.7,2.4,2,1.8,1.6,3.3,3.5,2.6,2.1,1.6,1.6,1.4,1.6,2.2,3.6,2,2.1,3.2,1.8,1.2,2.2,1.4,2.7,2.2,1.7,2.2,20.1
Cesar,Azpilicueta,DEF,CHE,6000000,0,18,4.5,7.5E-07,3E-06,0,118101,0,1,0,0,0,0,0,3,2864,0,0,18,0,0.5,0,3,0,0,2,0,1,3.9,79717,0,-1,0,0,272,2303,0,0,79,Tottenham,Man City,Southampton,Brentford F.C.,Norwich,4.5,6.8,5.4,4.7,5.9,2.5,6,4.4,6.1,2.8,3.5,5.6,4.6,6.5,3.2,5.2,6,3.5,6.8,5.6,6.8,3.1,5.8,3.6,5,4.1,5.8,3.7,4.9,5,3.5,5.3,4.7,5.2,13.2
Kwadwo,Baah,MID,WAT,4500000,0,0,0,0,0,0,4199,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3103,0,-1,0,0,0,131,0,0,0,Norwich,Newcastle,Leeds United F.C.,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Bachmann,GLK,WAT,4500000,0,8,2,4.44444444444444E-07,1.77777777777778E-06,0,98449,0,7,0,12,0,0,0,1.8,4011,0,0,8,0,0.4,0,1.8,0,0,0,0,0,2.4,119329,0,-1,0,0,360,491,0,0,60,Norwich,Newcastle,Leeds United F.C.,Liverpool,Everton,1,1.5,1.3,2.5,1,1.6,1.3,2,1.1,2,2.4,1.2,1,2.2,2.1,1.5,3,1,1.9,1,1.5,1,1.3,2.9,1,1.3,2.4,1.7,1.8,1,1.9,1,1.8,1,9
Leon,Bailey,MID,AVL,6400000,9,14,3.5,5.46875E-07,2.1875E-06,0,178330,1,2,0,0,0,1,0,2.2,1272,-1,0,14,1,0.4,0,2.5,1,0,0,0,2,0.8,42155,0,-1,0,1,84,5391,0,0,45,Everton,Man Utd,Tottenham,Wolverhampton,Arsenal,0,1.8,1.8,3.8,1.8,3.2,1.8,2.9,1.8,4,4.3,1.8,1.9,5,4.2,1.8,1.8,2.9,1.8,3.5,1.8,4.6,2,4.3,1.8,4.9,3.5,4.7,2,2,4.5,2,4.8,1.8,12.4
Eric,Bailly,DEF,MUN,5000000,0,0,0,0,0,0,6084,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1305,0,-1,0,0,0,72,0,0,0,West Ham,Aston Villa,Everton,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellery,Balcombe,GLK,BRE,4000000,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Wolverhampton,Liverpool,West Ham,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folarin,Balogun,FWD,ARS,4900000,0,2,1,2.04081632653061E-07,4.08163265306122E-07,0,40546,0,1,0,0,0,0,0,0.4,970,-1,0,2,1,0,0,0.2,0,0,0,0,0,0.4,38206,0,-1,0,0,69,732,0,0,2,Burnley,Tottenham,Brighton,Crystal Palace,Aston Villa,0.5,0.7,0.5,0.8,0.8,0.5,1.1,0.5,1,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.9,0.5,0.6,1.9
Patrick,Bamford,FWD,LEE,8000000,5,21,4.2,5.25E-07,2.625E-06,0,829403,1,12,0,0,0,1,0,2.6,20952,0,-1,21,0,0.6,0,4.8,2,0,0,0,2,17,820444,0,-1,0,0,436,18179,1,0,60,Newcastle,West Ham,Watford,Southampton,Wolverhampton,5.2,4.3,6.1,4.2,3.3,5.5,4.3,3,5.2,5.2,3.1,2.7,2.4,5.6,3.6,5.1,5.6,4.4,6.1,3,4.7,4.2,4.9,4.4,5.8,5.8,4.4,5.2,3.3,3.3,4.2,3.7,3.4,3.5,37.7
Scott,Banks,MID,CRY,4500000,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,2326,0,-1,0,0,0,72,0,0,0,Liverpool,Brighton,Leicester,Arsenal,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal,Baptiste,DEF,WHU,4000000,0,0,0,0,0,0,6858,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0.3,15710,0,-1,0,0,0,424,0,0,0,Man Utd,Leeds United F.C.,Brentford F.C.,Everton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shandon,Baptiste,MID,BRE,5000000,0,4,1,2E-07,8E-07,0,2251,0,0,0,0,0,0,0,0.8,44,0,0,4,0,0.2,0,1,0,0,2,0,0,0,949,0,-1,0,0,138,41,0,1,4,Wolverhampton,Liverpool,West Ham,Chelsea,Leicester,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phil,Bardsley,DEF,BUR,4000000,0,0,0,0,0,0,25551,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0.7,14954,0,-1,0,0,0,192,0,0,0,Arsenal,Leicester,Norwich,Man City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross,Barkley,MID,CHE,5300000,0,0,0,0,0,0,7033,0,0,0,0,0,0,0,0,122,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1777,0,-1,0,0,0,47,0,0,0,Tottenham,Man City,Southampton,Brentford F.C.,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Barnes,FWD,BUR,5500000,0,6,1.2,2.18181818181818E-07,1.09090909090909E-06,0,114995,2,8,0,0,0,0,0,1.1,3675,0,0,6,0,0.2,0,1.2,0,0,1,0,0,1.6,80118,0,-1,0,0,319,1523,0,0,0,Arsenal,Leicester,Norwich,Man City,Southampton,1.1,0.6,1.4,0.6,0.6,0.6,0.6,0.9,0.9,0.7,0.6,0.7,1.3,0.6,0.7,0.6,0.9,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.6,0.6,0.6,0.9,0.6,1.2,13.2
Harvey,Barnes,MID,LEI,6800000,1,10,2,2.94117647058824E-07,1.47058823529412E-06,0,700008,0,5,0,0,0,0,0,1.5,4378,-2,0,10,2,0.3,0,1.8,0,0,1,0,0,4.5,103075,0,-1,0,0,318,3462,0,0,15,Brighton,Burnley,Crystal Palace,Man Utd,Brentford F.C.,1.3,2,1,1,1,1.9,1.2,1.5,1.7,1.2,1,1.9,1.8,1,1,1,1.6,1.3,1,1,1,2.2,1,1.1,1,1.1,1,1.9,1.2,1.9,1,1,1,1.5,8.4
