FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Charlie,Whitaker,MID,EVE,4500000,0,0,0,0,0,0,1202,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,0,-1,0,0,0,6,0,0,0,West Ham,Burnley,Man Utd,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0
Ben,White,DEF,ARS,4500000,7,103,4,8.88888888888889E-07,2.28888888888889E-05,0,2086154,1,24,0,0,0,0,0,22.9,1541,0,0,103,0,0.7,0,3.3,9,0,13,0,0,13.8,1480577,0,-1,0,1,2340,5364,0,0,500,Aston Villa,Crystal Palace,Brighton,Southampton,Chelsea,4.1,3.5,4.9,8.5,4.8,4.8,5.6,3.1,5.6,79.9
Harvey,White,MID,TOT,4400000,0,0,0,0,0,0,21099,0,0,0,0,0,0,0,0,16,-1,0,0,1,0,0,0,0,0,0,0,0,0,22107,0,-1,0,0,0,27,0,0,0,West Ham,Newcastle,Aston Villa,Brighton,Brentford F.C.,0,0,0,0,0,0,0,0,0,0
Joe,White,MID,NEW,4400000,0,0,0,0,0,0,33334,0,0,0,0,0,0,0,0,12,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,35452,0,-1,0,0,0,0,0,0,0,Tottenham,Wolverhampton,Leicester,Crystal Palace,Norwich,0,0,0,0,0,0,0,0,0,0
Brandon,Williams,DEF,NOR,3900000,0,35,1.5,3.84615384615385E-07,8.97435897435897E-06,0,750953,7,46,0,0,0,0,0,9,2099,-1,0,35,1,0.2,0,0.6,4,0,2,0,1,5,972643,0,-1,0,0,1933,257,0,0,320,Brighton,Burnley,Man Utd,Newcastle,Aston Villa,0,1.2,1.3,1.1,0.8,0.9,1.5,1.1,1.4,69.6
,Willian,MID,ARS,6300000,0,0,0,0,0,0,20486,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,914,0,-1,0,0,0,0,0,0,0,Aston Villa,Crystal Palace,Brighton,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0
Joseph,Willock,MID,NEW,5700000,0,64,2.7,4.73684210526316E-07,1.12280701754386E-05,0,375204,0,31,0,0,0,2,0,11.2,4148,-3,1,64,3,0.7,0,4,3,0,5,0,1,2.8,496189,0,-1,0,0,1757,205,-1,0,203,Tottenham,Wolverhampton,Leicester,Crystal Palace,Norwich,0,1.7,2.3,4.9,2.4,1.6,1.4,2.1,2.2,90.8
Ben,Wilmot,DEF,WAT,4500000,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Liverpool,Leeds United F.C.,Brentford F.C.,Man City,Burnley,0,0,0,0,0,0,0,0,0,0
Callum,Wilson,FWD,NEW,7200000,0,59,2.03448275862069,2.82567049808429E-07,8.19444444444444E-06,0,1155746,4,29,0,0,0,6,0,8.2,106,-3,0,59,3,0,0,0,11,0,2,0,0,1.1,698267,0,-1,0,0,1184,14,0,0,166,Tottenham,Wolverhampton,Leicester,Crystal Palace,Norwich,0,0,0,0,0,0,1,1.5,1.4,72.1
Joshua,Wilson-Esbrand,DEF,MCI,3900000,0,0,0,0,0,0,10991,0,0,0,0,0,0,0,0,68,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,17255,0,-1,0,0,0,105,0,0,0,Burnley,Liverpool,Wolverhampton,Brighton,Watford,0,0,0,0,0,0,0,0,0,0
Harry,Winks,MID,TOT,4400000,0,28,1,2.27272727272727E-07,6.36363636363636E-06,0,181337,2,13,0,0,0,0,0,6.4,203,-1,0,28,1,0.2,0,0.7,1,0,1,0,2,1.1,162754,0,-1,0,0,841,49,0,0,155,West Ham,Newcastle,Aston Villa,Brighton,Brentford F.C.,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,36.8
Yoane,Wissa,MID,BRE,5700000,7,53,1.82758620689655,3.20629159104658E-07,9.29824561403509E-06,0,20362,0,17,0,0,0,4,0,9.3,21,-3,0,53,3,0.5,0,2.6,3,0,1,0,0,0.1,18182,0,-1,0,1,849,20,0,0,167,Leicester,Chelsea,West Ham,Watford,Tottenham,0.9,0.9,1.1,1.6,1.2,0.9,1.5,0.9,1.2,42.5
Chris,Wood,FWD,NEW,6700000,0,72,2.7,4.02985074626866E-07,1.07462686567164E-05,0,651299,1,33,0,0,0,4,0,10.7,1776,-3,0,72,3,0.4,0,3,5,0,4,0,0,2.4,608456,0,-1,0,0,2269,1096,0,0,179,Tottenham,Wolverhampton,Leicester,Crystal Palace,Norwich,0,1.7,1.9,5.8,2.7,2,1.6,2.4,2.2,118.2
Ben,Woodburn,MID,LIV,4500000,0,0,0,0,0,0,3150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2273,0,-1,0,0,0,0,0,0,0,Watford,Man City,Aston Villa,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0
Freddie,Woodman,GLK,NEW,4300000,0,9,2.2,5.11627906976744E-07,2.09302325581395E-06,0,64943,0,12,0,10,0,0,0,2.1,27,-2,0,9,2,0,0,0,0,0,0,0,0,0.3,50848,0,-1,1,0,360,0,0,0,64,Tottenham,Wolverhampton,Leicester,Crystal Palace,Norwich,0,0,0,0,0,0,0,0,0,9
Granit,Xhaka,MID,ARS,4800000,2,33,1.22222222222222,2.5462962962963E-07,6.875E-06,0,88212,6,21,0,0,0,0,0,6.9,53,-2,0,33,2,0.5,0,2.2,0,0,6,0,1,0.3,29583,0,-1,0,0,1455,82,0,1,190,Aston Villa,Crystal Palace,Brighton,Southampton,Chelsea,0.6,0.6,0.6,1.2,0.6,0.6,0.6,0.6,0.7,68.3
Andriy,Yarmolenko,MID,WHU,5100000,0,16,0.551724137931034,1.08181203515889E-07,3.13725490196078E-06,0,22700,1,2,0,0,0,1,0,3.1,31,-4,0,16,4,0.2,0,1.2,0,0,0,0,0,0.1,9179,0,-1,0,0,125,124,0,0,51,Tottenham,Everton,Brentford F.C.,Burnley,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.6
Ashley,Young,DEF,AVL,4700000,2,43,1.53571428571429,3.26747720364742E-07,9.14893617021277E-06,0,111531,0,17,0,0,0,0,0,9.1,71,-3,0,43,3,0.4,0,2,0,0,3,0,2,0.5,62234,0,-1,0,0,1039,60,0,0,190,Arsenal,Wolverhampton,Tottenham,Liverpool,Leicester,1.3,1.1,1.4,1.9,0.8,1,1.2,1,1.6,42.6
Nathan,Young-Coombes,FWD,BRE,4500000,0,0,0,0,0,0,70424,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0.5,114506,0,-1,0,0,0,1475,0,0,0,Leicester,Chelsea,West Ham,Watford,Tottenham,0,0,0,0,0,0,0,0,0,0
Wilfried,Zaha,MID,CRY,6800000,0,100,4.2,6.17647058823529E-07,1.47058823529412E-05,0,1312166,3,27,0,0,0,9,0,14.7,1573,-2,0,100,2,0.9,1,6,7,0,7,0,1,5.2,1152968,0,-1,0,2,2021,2467,0,1,280,Arsenal,Leicester,Newcastle,Leeds United F.C.,Southampton,0,4.1,3.3,4.2,4.6,3.8,5.3,3.8,3.9,161.1
Jan,Zamburek,MID,BRE,4400000,0,0,0,0,0,0,94285,0,0,0,0,0,0,0,0,61,-1,0,0,1,0,0,0,0,0,0,0,0,0.6,68354,0,-1,0,0,0,0,0,0,0,Leicester,Chelsea,West Ham,Watford,Tottenham,0,0,0,0,0,0,0,0,0,0
,Zanka,DEF,BRE,4500000,0,12,0.413793103448276,9.19540229885057E-08,2.66666666666667E-06,0,10853,2,10,0,0,0,1,0,2.7,7,0,0,12,0,0,0,0,0,0,0,0,0,0,10818,0,-1,0,0,426,9,0,0,57,Leicester,Chelsea,West Ham,Watford,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.6
Andi,Zeqiri,FWD,BHA,4500000,0,0,0,0,0,0,84936,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.2,77446,0,-1,0,0,0,0,0,0,0,Norwich,Arsenal,Tottenham,Man City,Southampton,0,0,0,0,0,0,0,0,0,0
Christoph,Zimmermann,DEF,NOR,4400000,0,0,0,0,0,0,8618,0,2,0,0,0,0,0,0,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,2545,0,-1,0,0,45,5,0,0,4,Brighton,Burnley,Man Utd,Newcastle,Aston Villa,0,0,0,0,0,0,0,0,0,1.5
Oleksandr,Zinchenko,DEF,MCI,5300000,0,34,1.17241379310345,2.2121014964216E-07,6.41509433962264E-06,0,167505,0,4,0,0,0,0,0,6.4,98,-2,0,34,2,0,0,0,2,0,4,0,1,0.7,90533,0,-1,0,1,596,71,0,0,167,Burnley,Liverpool,Wolverhampton,Brighton,Watford,0,0.8,1.2,1.4,0.6,0.7,0.6,0.8,0.7,28.5
Philip,Zinckernagel,MID,WAT,5500000,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Liverpool,Leeds United F.C.,Brentford F.C.,Man City,Burnley,0,0,0,0,0,0,0,0,0,0
Hakim,Ziyech,MID,CHE,7300000,0,65,2.32142857142857,3.18003913894325E-07,8.9041095890411E-06,0,206989,3,5,0,0,0,4,0,8.9,1026,-2,0,65,2,0.4,0,3.2,9,0,7,0,2,1.1,239315,0,-1,0,1,963,702,0,0,215,Brentford F.C.,Southampton,Leeds United F.C.,Arsenal,West Ham,0,1.6,1.6,2.9,1.5,1.4,1.6,1.5,2,97.7
