FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Jacob,S?rensen,DEF,NOR,4300000,1,9,0.25,5.81395348837209E-08,2.09302325581395E-06,0,5357,0,13,0,0,0,0,0,2.1,7,-2,0,9,2,0,0,0.2,0,0,0,0,0,0,1525,0,-1,0,0,510,8,0,0,81,Wolverhampton,Tottenham,,,,0.1,0.1,20.4
Tomas,Soucek,MID,WHU,5700000,2,113,3.3,5.78947368421053E-07,1.98245614035088E-05,0,959330,2,43,0,0,0,5,0,19.8,820,-3,0,113,3,0.2,0,1.2,14,0,6,0,1,3.4,403030,0,-1,0,2,2971,857,0,0,483,Man City,Brighton,,,,2.2,2.7,164.3
Boubakary,Soumare,MID,LEI,4800000,0,36,1.02857142857143,2.14285714285714E-07,7.5E-06,0,21587,0,27,0,0,0,0,0,7.5,13,-2,0,36,2,0.1,0,0.3,1,0,2,0,1,0.1,17224,0,-1,0,0,1095,7,0,0,153,Watford,Chelsea,Southampton,,,1,0.6,28.1
Caglar,Soyuncu,DEF,LEI,4900000,0,66,2.4,4.89795918367347E-07,1.3469387755102E-05,0,344126,5,44,0,0,0,1,0,13.5,3310,-1,0,66,1,0.3,0,1.4,6,0,5,0,0,2.2,278102,0,-1,0,0,2497,491,0,0,454,Watford,Chelsea,Southampton,,,4,2.4,76.2
Tony,Springett,MID,NOR,4500000,0,3,0.0833333333333333,1.85185185185185E-08,6.66666666666667E-07,0,333,0,3,0,0,0,0,0,0.7,4,0,0,3,0,0.1,0,0.6,0,0,0,0,0,0,453,0,-1,0,0,111,8,0,0,11,Wolverhampton,Tottenham,,,,0,0,6.3
Jason,Steele,GLK,BHA,3900000,0,2,0.0555555555555556,1.42450142450142E-08,5.12820512820513E-07,0,433174,0,2,0,3,0,0,0,0.5,1118,-1,0,2,1,0,0,0,0,0,0,0,0,2.7,452070,0,-1,0,0,90,7398,0,0,17,Leeds United F.C.,West Ham,,,,0,0,2.9
Jed,Steer,GLK,AVL,3900000,0,1,1,2.56410256410256E-07,2.56410256410256E-07,0,294406,0,3,0,1,0,0,0,0.3,543,-1,0,1,1,0,0,0,0,0,0,0,0,1.7,325469,0,-1,0,0,90,0,0,0,13,Crystal Palace,Burnley,Man City,,,0,0,0.8
Zack,Steffen,GLK,MCI,4400000,0,7,0.194444444444444,4.41919191919192E-08,1.59090909090909E-06,0,27428,0,0,0,2,0,0,0,1.6,18,-1,0,7,1,0,0,0,1,0,1,0,0,0.2,16772,0,-1,0,0,90,11,0,0,29,West Ham,Aston Villa,,,,0.1,0.1,2.3
Dale,Stephens,MID,BUR,4400000,0,4,0.114285714285714,2.5974025974026E-08,9.09090909090909E-07,0,6305,1,0,0,0,0,0,0,0.9,26,-1,0,4,1,0,0,0.2,0,0,1,0,0,0,5716,0,-1,0,0,123,13,0,0,11,Tottenham,Aston Villa,Newcastle,,,0.2,0.1,2.6
Jack,Stephens,DEF,SOU,4400000,0,12,0.333333333333333,7.57575757575757E-08,2.72727272727273E-06,0,9805,3,15,0,0,0,0,0,2.7,12,-1,0,12,1,0,0,0,0,0,1,0,0,0.1,3804,0,-1,0,0,720,15,0,0,122,Liverpool,Leicester,,,,0.2,0.2,23
