FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Giovani,Lo Celso,MID,TOT,5900000,0,11,1.2,2.03389830508475E-07,1.86440677966102E-06,0,18303,0,5,0,0,0,0,0,1.9,13,-1,0,11,1,0,0,0,0,0,0,0,0,0.1,7998,0,-1,0,0,231,0,0,0,41,Brighton,Brentford F.C.,Leicester,Liverpool,Arsenal,0,0,0,0,0,0,16.8
Jurgen,Locadia,FWD,BHA,4400000,0,1,1,2.27272727272727E-07,2.27272727272727E-07,0,246914,0,0,0,0,0,0,0,0.2,489,-1,0,1,1,0,0,0,0,0,0,0,0,0.9,309704,0,-1,0,0,22,0,0,0,0,Tottenham,Man City,Southampton,Wolverhampton,Man Utd,0,0,0,0,0,0,0.1
Ruben,Loftus-Cheek,MID,CHE,5400000,2,40,1.33333333333333,2.46913580246914E-07,7.40740740740741E-06,0,32820,1,18,0,0,0,0,0,7.4,111,-1,0,40,1,0.4,0,2.3,1,0,3,0,3,0.1,31678,0,-1,0,0,1043,1679,0,0,186,Arsenal,West Ham,Man Utd,Everton,Wolverhampton,0.7,1.4,0.7,1.4,0.7,0.8,57.6
Andy,Lonergan,GLK,EVE,3900000,0,0,0,0,0,0,5414,0,0,0,0,0,0,0,0,46,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,7812,0,-1,0,0,0,277,0,0,0,Leicester,Liverpool,Chelsea,Leicester,Watford,0,0,0,0,0,0,0
Kevin,Long,DEF,BUR,4000000,0,1,0.0333333333333333,8.33333333333333E-09,2.5E-07,0,145505,0,2,0,0,0,0,0,0.2,107,0,0,1,0,0,0,0.2,0,0,0,0,0,0.2,143399,0,-1,0,0,90,124,0,0,7,West Ham,Southampton,Wolverhampton,Watford,Aston Villa,0,0,0,0,0,0,1.1
Shane,Long,FWD,SOU,5400000,0,14,0.451612903225806,8.36320191158901E-08,2.59259259259259E-06,0,40811,1,1,0,0,0,1,0,2.6,173,-1,0,14,1,0,0,0.2,0,0,0,0,0,0.2,32909,0,-1,0,0,151,189,0,0,43,Arsenal,Burnley,Brighton,Crystal Palace,Brentford F.C.,0.4,0.2,0.2,0.2,0,0.2,15.6
Ademola,Lookman,MID,LEI,5900000,10,70,2.41379310344828,4.09117475160725E-07,1.1864406779661E-05,0,209454,2,30,0,0,0,6,0,11.9,885,-1,0,70,1,0.7,0,4.2,6,0,1,0,0,0.3,235557,0,-1,0,0,1299,2596,0,0,222,Newcastle,Everton,Aston Villa,Tottenham,Everton,2.9,2,1.3,4.5,3.6,2.3,111.1
Jonas,Lossl,GLK,BRE,4500000,0,2,0.0625,1.38888888888889E-08,4.44444444444444E-07,0,929,0,5,0,2,0,0,0,0.4,20,0,0,2,0,0,0,0,0,0,0,0,0,0,1313,0,-1,0,0,180,8,0,0,21,Watford,Tottenham,Man Utd,Southampton,Everton,0,0,0,0,0,0,1.6
Imran,Louza,MID,WAT,5200000,1,27,0.870967741935484,1.67493796526055E-07,5.19230769230769E-06,0,134735,6,31,0,0,0,0,0,5.2,24,-3,0,27,3,0.2,0,1.3,0,0,3,0,0,0,132955,0,-1,0,0,1251,34,0,0,157,Brentford F.C.,Man City,Burnley,Crystal Palace,Everton,0.4,0.4,0.4,0.8,0.4,0.4,51.7
Matthew,Lowton,DEF,BUR,4400000,6,63,3,6.81818181818182E-07,1.43181818181818E-05,0,388692,3,29,0,0,0,1,0,14.3,652,-1,0,63,1,0.3,0,1.4,5,0,4,0,3,1.2,292624,0,-1,0,1,1684,376,0,0,324,West Ham,Southampton,Wolverhampton,Watford,Aston Villa,6.3,3,2.3,3.1,5.9,2.6,74.1
