FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,12798,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3828,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Leicester,Crystal Palace,Arsenal,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,4900000,0,1,0.333333333333333,6.80272108843537E-08,2.04081632653061E-07,0,7273,0,0,0,0,0,0,0,0.2,523,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.1,4448,0,-1,0,0,9,577,0,0,0,Burnley,Aston Villa,Norwich,Man Utd,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.2
Michail,Antonio,FWD,WHU,7900000,-1,39,9.8,1.24050632911392E-06,4.93670886075949E-06,0,1044466,0,5,0,0,0,4,0,4.9,772396,4,1,39,-4,1.2,1,9.8,8,0,1,0,4,43.1,2418544,0,-1,0,3,358,25177,-1,1,147,Southampton,Man Utd,Leeds United F.C.,Brentford F.C.,Everton,0,0,12.5,14.7,13.1,11.2,11.8,9.3,12.9,7.6,12,10.9,11.6,13.1,13.8,13.6,11,11.3,13.8,12.6,14.7,11.1,14.7,12.7,11.9,14.7,11.3,13,9.9,14.7,8.5,13,12.5,14.7,13.7,59
Cameron,Archer,FWD,AVL,4500000,0,0,0,0,0,0,18966,0,0,0,0,0,0,0,0,3773,0,0,0,0,0,0,0,0,0,0,0,0,0.7,66655,0,-1,0,0,0,18531,0,0,0,Chelsea,Everton,Man Utd,Tottenham,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphonse,Areola,GLK,WHU,4900000,0,0,0,0,0,0,50410,0,0,0,0,0,0,0,0,3807,-1,0,0,1,0,0,0,0,0,0,0,0,0.9,12310,0,-1,0,0,0,993,0,0,0,Southampton,Man Utd,Leeds United F.C.,Brentford F.C.,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kepa,Arrizabalaga,GLK,CHE,4900000,0,0,0,0,0,0,11803,0,0,0,0,0,0,0,0,852,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,2784,0,-1,0,0,0,219,0,0,0,Aston Villa,Tottenham,Man City,Southampton,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,FWD,ARS,9900000,9,11,3.7,3.73737373737374E-07,1.11111111111111E-06,0,176278,0,4,0,0,0,1,0,1.1,8891,-1,0,11,1,0.4,0,3.7,3,0,1,0,0,2.1,119871,0,-1,0,0,177,13585,0,0,35,Norwich,Burnley,Tottenham,Brighton,Crystal Palace,5.2,4.1,2.5,3.4,3.4,4.3,2.4,5.6,2.7,5.6,3,4,4,3.2,4.7,4.7,3.1,5.6,2.5,5.5,3.1,1.8,3.9,1.9,4.1,4.7,3,2.5,2.8,3.6,3.3,3.3,5.2,4.3,4,18.7
Serge,Aurier,DEF,TOT,4900000,0,0,0,0,0,0,36163,0,0,0,0,0,0,0,0,3284,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,7608,0,-1,0,0,0,0,0,0,0,Crystal Palace,Chelsea,Arsenal,Aston Villa,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5900000,2,7,1.8,3.05084745762712E-07,1.1864406779661E-06,0,44832,0,5,0,0,0,0,0,1.2,3575,-1,0,7,1,0.3,0,1.7,0,0,1,0,0,0.6,26384,0,-1,0,0,287,2858,0,0,27,Tottenham,Liverpool,Brighton,Leicester,Arsenal,0.9,0.9,1,1.9,1.2,2.5,0.9,1.1,1.1,1.7,1.5,0.9,1.5,1.5,1.2,0.9,2.4,1.2,0.9,0.9,1.7,0.9,0.9,2.3,0.9,2.7,1.3,1.6,0.9,1.1,2.3,0.9,2.7,0.9,1.2,15.1
Luke,Ayling,DEF,LEE,4500000,1,10,2.5,5.55555555555556E-07,2.22222222222222E-06,0,357601,0,11,0,0,0,1,0,2.2,37415,0,0,10,0,0.3,0,1.3,0,0,0,0,0,12.3,432644,0,-1,0,0,360,35901,0,0,62,Liverpool,Newcastle,West Ham,Watford,Southampton,3,1.2,1.5,2.9,1.4,2.5,1.8,3,3.1,2.2,2.2,3.6,1.4,1.2,2.8,3.2,2.6,2.9,1.2,2.1,1.4,1.2,2.6,3.5,1.2,2.6,2.1,2,1.2,2.3,1.3,3.8,2.4,2.2,2,17.5
