FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Florin,Andone,FWD,BHA,4900000,0,0,0,0,0,0,22470,0,0,0,0,0,0,0,0,620,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,10594,0,-1,0,0,0,41,0,0,0,Man Utd,Everton,Crystal Palace,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5500000,2,7,2.3,4.18181818181818E-07,1.27272727272727E-06,0,11977,0,3,0,0,0,0,0,1.3,1243,0,0,7,0,0.4,0,2.3,0,0,1,0,0,0.5,12734,0,-1,0,0,232,951,0,0,33,Crystal Palace,Brighton,Liverpool,Southampton,Newcastle,1.2,1.2,1.2,1.6,3.4,1.2,2.9,1.2,1.7,1.2,1.4,1.2,2.3,1.2,1.2,3.1,2,1.2,1.2,1.2,1.2,1.2,1.8,1.6,2.9,1.3,1.9,1.2,3.1,1.2,1.9,1.6,1.8,1.7,1.2,1.2,6.7
,Anguissa,MID,FUL,4500000,0,6,3,6.66666666666667E-07,1.33333333333333E-06,0,62432,0,4,0,0,0,0,0,1.3,4556,0,0,6,0,0.4,0,2,0,0,0,0,1,2.8,182549,0,-1,0,0,117,6698,0,0,34,Aston Villa,Wolverhampton,Sheffield United,Crystal Palace,West Brom,2.1,4.5,3.6,1.5,1.5,2.9,1.5,2.4,1.5,1.5,1.5,4.5,2.2,3.9,2.8,1.5,1.5,4.4,3,1.5,1.5,3.1,2.2,1.5,2.9,1.5,1.5,3.2,1.5,3.1,1.5,4.3,1.8,2.7,1.5,1.5,11.2
Michail,Antonio,FWD,WHU,6400000,2,10,3.3,5.15625E-07,1.5625E-06,0,318593,0,4,0,0,0,1,0,1.6,21818,-1,0,10,1,0.5,0,3.3,0,0,1,0,0,6.2,48817,0,-1,0,0,267,3245,0,0,22,Wolverhampton,Leicester,Tottenham,Man City,Liverpool,1.6,3.3,4.9,2.8,4,3.2,4.1,1.6,3.2,3,2.6,4.9,1.6,2.9,3.2,3.1,2.9,2.9,1.6,1.9,4.9,3,2.2,3.6,2.3,4,1.6,4.9,1.6,4.9,1.7,3.7,1.6,4.9,4.9,2.7,25.8
Alphonse,Areola,GLK,FUL,4500000,0,1,0.5,1.11111111111111E-07,2.22222222222222E-07,0,32610,0,4,0,3,0,0,0,0.2,2514,0,0,1,0,0.1,0,0.3,0,0,0,0,0,1.4,25255,0,-1,0,0,90,1367,0,0,17,Aston Villa,Wolverhampton,Sheffield United,Crystal Palace,West Brom,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.3,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,2.4
Stuart,Armstrong,MID,SOU,5500000,3,5,2.5,4.54545454545455E-07,9.09090909090909E-07,0,12241,0,3,0,0,0,0,0,0.9,407,0,0,5,0,0.3,0,1.7,0,0,1,0,0,0.2,2568,0,-1,0,0,157,527,0,0,18,Burnley,West Brom,Chelsea,Everton,Aston Villa,1.3,1.5,2.5,1.6,1.6,1.2,2.8,1.2,2.7,2.6,1.5,1.2,2.5,1.3,1.2,1.2,1.2,1.4,2.5,1.2,3.8,1.2,1.2,1.6,1.9,1.2,2.2,2.2,1.5,1.4,1.2,1.2,1.4,2.1,1.4,1.4,5.1
Kepa,Arrizabalaga,GLK,CHE,4900000,0,4,2,4.08163265306122E-07,8.16326530612245E-07,0,73323,0,3,0,5,0,0,0,0.8,13158,-1,1,4,1,0.3,0,1.3,0,0,0,0,0,1.8,33442,0,-1,0,0,180,489,-1,0,28,West Brom,Crystal Palace,Southampton,Man Utd,Burnley,2.1,1,1,2.2,1.4,1,3,1,1,1.1,3,1,1.9,1.1,1,1.6,2.3,1,1,2.5,2.3,1,1,1,1,1.1,3,1,1.9,1,2.2,1,1.9,1,1,2.7,2.8
Christian,Atsu,MID,NEW,5400000,0,0,0,0,0,0,2823,0,0,0,0,0,0,0,0,184,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,534,0,-1,0,0,0,60,0,0,0,Tottenham,Burnley,Man Utd,Wolverhampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11900000,0,12,6,5.04201680672269E-07,1.00840336134454E-06,0,1285076,1,1,0,0,0,1,0,1,43304,-1,0,12,1,0.3,0,4,0,0,1,0,1,30.1,215531,0,-1,0,0,180,17884,0,0,39,Liverpool,Sheffield United,Man City,Leicester,Man Utd,7.6,6.9,4.4,3,4.7,6.7,5.1,3.4,9,6,6.9,8,3,9,7.9,3.9,3.2,7.2,3.4,9,8.1,4,3.1,6.6,7.4,3,7.6,3.1,8.7,5.7,4.3,9,4.2,9,4.4,3.3,18.5
Serge,Aurier,DEF,TOT,5300000,0,0,0,0,0,0,138581,0,0,0,0,0,0,0,0,7307,-2,0,0,2,0,0,0,0,0,0,0,0,1.7,6415,0,-1,0,0,0,545,0,0,0,Newcastle,Man Utd,West Ham,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
