FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Andre Gomes,MID,EVE,5300000,1,23,1.27777777777778,2.41090146750524E-07,4.33962264150943E-06,0,41257,2,11,0,0,0,0,0,4.3,69,-2,0,23,2,0.4,0,2.3,0,0,2,0,1,0.2,22380,0,-1,0,0,687,16,0,0,86,Newcastle,Leeds United F.C.,Man Utd,Fulham,Liverpool,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.6,0.8,0.6,0.7,0.6,0.6,0.9,0.6,0.6,23.6
,Anguissa,MID,FUL,4500000,2,51,2.5,5.55555555555556E-07,1.13333333333333E-05,0,350589,4,23,0,0,0,0,0,11.3,3517,0,0,51,0,0.6,0,2.8,4,0,4,0,3,1.9,418277,0,-1,0,0,1631,1035,0,0,278,West Brom,Leicester,West Ham,Everton,Sheffield United,2.3,1.4,1.7,2.1,2.8,1.4,1.2,1.5,1.7,1.4,2.1,1.8,0,1.7,2.3,1.6,1.6,2.2,79
Faustino,Anjorin,MID,CHE,4500000,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,-1,0,0,0,11,0,0,0,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,6500000,2,55,4.2,6.46153846153846E-07,8.46153846153846E-06,0,873981,1,13,0,0,0,5,0,8.5,6923,0,0,55,0,1,0,6.2,11,0,3,0,1,17.3,1518805,0,-1,0,1,903,63467,0,0,163,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,4.9,3.9,4.9,5.5,4.1,3.2,4.2,4.8,3.8,4.1,4.3,5,4.1,4.3,4.3,5.2,5.5,4.7,86.8
Alphonse,Areola,GLK,FUL,4500000,1,69,3.6,8E-07,1.53333333333333E-05,0,173477,0,26,0,73,0,0,0,15.3,3660,0,0,69,0,0.8,0,3.8,7,0,4,0,0,3.3,299599,0,-1,0,1,1710,2345,0,0,354,West Brom,Leicester,West Ham,Everton,Sheffield United,4.4,3.6,4.4,3.5,3.8,3.8,4.2,5.1,3,4.3,4.9,4.5,0,3.2,3.7,2.9,4.6,3.3,53
Stuart,Armstrong,MID,SOU,5500000,2,64,3.8,6.90909090909091E-07,1.16363636363636E-05,0,96880,0,17,0,0,0,3,0,11.6,519,0,0,64,0,0.7,0,3.8,3,0,7,0,2,0.4,96188,0,-1,0,1,1394,297,0,0,224,Aston Villa,Man Utd,Newcastle,Wolverhampton,Chelsea,3.1,2.9,3.5,4.2,3.9,3.6,4.5,4,3.1,4.6,3.9,3.8,0,3.1,2.2,4.1,3.5,3,75.7
Kepa,Arrizabalaga,GLK,CHE,4700000,0,6,0.3,6.38297872340426E-08,1.27659574468085E-06,0,168866,0,6,0,8,0,0,0,1.3,96,-3,0,6,3,0,0,0,0,0,0,0,0,0.6,44791,0,-1,0,0,270,25,0,0,40,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5
Christian,Atsu,MID,NEW,5200000,0,0,0,0,0,0,6058,0,0,0,0,0,0,0,0,3,-3,0,0,3,0,0,0,0,0,0,0,0,0,927,0,-1,0,0,0,0,0,0,0,Everton,Crystal Palace,Southampton,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11300000,0,71,4.2,3.71681415929204E-07,6.28318584070796E-06,0,3252579,2,16,0,0,0,5,0,6.3,3952,-7,0,71,7,0.4,0,4.2,6,0,7,0,1,6.6,561321,1,-1,0,1,1514,294,0,0,202,Man Utd,Wolverhampton,Aston Villa,Leeds United F.C.,Man City,0,0,0,0,0,4.2,5.1,3.1,4.2,3,5.8,4.1,3.6,4.7,4.2,4.3,3.6,4,101.8
Serge,Aurier,DEF,TOT,5200000,0,47,4.3,8.26923076923077E-07,9.03846153846154E-06,0,397415,0,12,0,0,0,2,0,9,1156,-3,0,47,3,0.4,0,2.2,2,0,3,0,1,1.8,252753,0,-1,0,0,918,584,0,0,206,Brighton,Chelsea,West Brom,Man City,West Ham,5.2,4.1,5,5.7,5.7,4.4,5.3,5.9,4.3,4.3,4.9,4.9,0,4.5,4.8,5.7,5.1,5.5,49.7
Charlie,Austin,FWD,WBA,5100000,0,5,1,1.96078431372549E-07,9.80392156862745E-07,0,71669,0,5,0,0,0,0,0,1,90,-4,0,5,4,0,0,0.2,0,0,0,0,0,0.2,16185,0,-1,0,0,135,0,0,0,10,Fulham,Sheffield United,Tottenham,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jordan,Ayew,FWD,CRY,5600000,5,42,2.5,4.46428571428571E-07,7.5E-06,0,492999,0,20,0,0,0,1,0,7.5,579,-4,0,42,4,0.5,0,2.6,2,0,3,0,3,1.5,149559,0,-1,0,0,958,2142,0,0,126,Wolverhampton,Newcastle,Leeds United F.C.,Burnley,Brighton,2.3,2.1,2,2.2,2.2,2.5,1.9,2.7,2,2,2,1.5,2,1.9,2.3,1.8,1.8,1.8,46.5
Luke,Ayling,DEF,LEE,4500000,1,47,2.4,5.33333333333333E-07,1.04444444444444E-05,0,413080,4,36,0,0,0,0,0,10.4,1830,0,0,47,0,0.3,0,1.2,1,0,6,0,0,2.6,326243,0,-1,0,0,1779,492,0,0,359,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,2.4,1.4,2.3,2.7,2.7,2.1,2.6,1.6,2.5,1.8,3.1,2.4,2,2.2,1.5,2.1,1.6,2.1,86.1
Cesar,Azpilicueta,DEF,CHE,5600000,12,50,2.5,4.46428571428571E-07,8.92857142857143E-06,0,446403,3,7,0,0,0,1,0,8.9,571,-4,0,50,4,0.9,0,5,2,0,6,0,1,2.5,97843,0,-1,0,1,860,5871,0,0,216,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,2.1,2.1,2,1.9,1.5,2.4,1.7,1.9,2.4,2.5,2.1,2,2.5,2.5,3,2.4,2.1,2.5,37.2
Eric,Bailly,DEF,MUN,4900000,0,19,0.95,1.93877551020408E-07,3.87755102040816E-06,0,59743,2,11,0,0,0,0,0,3.9,1447,-1,0,19,1,0.3,0,1.7,4,0,2,0,0,0.5,69141,0,-1,0,0,548,196,0,0,119,Arsenal,Southampton,Everton,West Brom,Newcastle,0.6,0.5,0.5,0.6,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,15.2
Fabian,Balbuena,DEF,WHU,4400000,0,40,3.3,7.5E-07,9.09090909090909E-06,0,254503,1,16,0,0,0,1,0,9.1,1325,-1,0,40,1,0,0,0,0,0,4,0,0,1,297172,0,-1,0,0,1080,157,0,0,185,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,4.1,3.8,3.6,3.3,2.8,4.2,2.6,4.1,3.5,4,3.2,2.6,3,3.1,2.6,3.3,3.9,3.1,32.4
George,Baldock,DEF,SHU,4900000,1,28,1.6,3.26530612244898E-07,5.71428571428571E-06,0,301795,3,29,0,0,0,0,0,5.7,298,-6,0,28,6,0.1,0,0.6,0,0,0,0,1,0.9,47197,0,-1,0,0,1620,360,0,0,176,Man City,West Brom,Chelsea,West Ham,Fulham,1.6,1.2,0.9,1.2,1.2,1.4,1,1.1,1.3,0.9,1.2,1.3,1,1,1.4,0.9,0.8,1,58
Gareth,Bale,MID,TOT,9300000,0,15,0.789473684210526,8.48896434634975E-08,1.61290322580645E-06,0,154450,0,4,0,0,0,1,0,1.6,188,-2,0,15,2,0,0,0.2,3,0,1,0,0,0.3,160110,0,-1,0,0,169,333,0,0,39,Brighton,Chelsea,West Brom,Man City,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,16.1
Patrick,Bamford,FWD,LEE,6600000,12,116,5.8,8.78787878787879E-07,1.75757575757576E-05,0,2594711,1,34,0,0,0,11,0,17.6,28515,11,0,116,-11,0.6,0,4.2,13,0,6,0,7,47.1,5523233,0,-1,0,3,1695,50209,0,0,391,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,0,6.3,7.8,7.3,7.1,5.7,6.8,6,8.1,7.4,5.8,7.2,6.2,8.3,6.1,7.3,6.7,7.1,143.5
Phil,Bardsley,DEF,BUR,4400000,0,1,0.0526315789473684,1.19617224880383E-08,2.27272727272727E-07,0,41588,2,8,0,0,0,0,0,0.2,40,-1,0,1,1,0,0,0,0,0,0,0,0,0.2,12133,0,-1,0,0,270,14,0,0,24,Chelsea,Man City,Brighton,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
Ross,Barkley,MID,AVL,5900000,8,48,2.66666666666667,4.51977401129943E-07,8.13559322033898E-06,0,471372,0,12,0,0,0,3,0,8.1,414,-1,0,48,1,0.5,0,3.2,4,0,5,0,1,0.8,474409,0,-1,0,1,812,2131,0,0,160,Southampton,West Ham,Arsenal,Brighton,Leicester,1.9,1.9,1.7,2.4,1.5,2.2,2.2,2.3,3,2.1,1.4,1.6,2.2,2.4,1.4,1.6,2,2,79.1
Ashley,Barnes,FWD,BUR,6000000,0,35,2.3,3.83333333333333E-07,5.83333333333333E-06,0,40319,4,15,0,0,0,2,0,5.8,756,0,0,35,0,0.3,0,2,4,0,5,0,0,0.3,43410,0,-1,0,0,1020,99,0,0,70,Chelsea,Man City,Brighton,Crystal Palace,West Brom,0,1.5,2,2,2.2,1.9,1.4,2,1.7,1.5,2.3,2,1.6,1.6,2,1.6,2,2.2,63.9
Harvey,Barnes,MID,LEI,6900000,7,93,4.7,6.81159420289855E-07,1.34782608695652E-05,0,871563,0,21,0,0,0,7,0,13.5,4340,-1,-1,93,1,0.9,0,6,7,0,5,0,3,7,1094536,0,-1,0,1,1549,21182,1,0,252,Leeds United F.C.,Fulham,Wolverhampton,Liverpool,Aston Villa,4.2,5.4,5.1,3.7,4.4,3.9,5.8,6.1,6,3.8,4.9,5,4.5,4.8,5.2,4.8,5,3.8,124.4
Kyle,Bartley,DEF,WBA,4400000,6,31,2.4,5.45454545454545E-07,7.04545454545455E-06,0,22667,2,27,0,0,0,2,0,7,84,-1,0,31,1,0.6,0,2.6,0,0,1,0,1,0.1,16619,0,-1,0,0,1059,399,0,0,174,Fulham,Sheffield United,Tottenham,Man Utd,Burnley,2.2,2,2.1,2.1,2,1.8,1.6,2.1,1.4,1.8,1.8,2.3,2.5,2.7,2.6,2.4,2.3,2,45.2
Chris,Basham,DEF,SHU,4600000,2,32,1.5,3.26086956521739E-07,6.95652173913044E-06,0,134656,1,33,0,0,0,0,0,7,248,-4,0,32,4,0.3,0,1.4,2,0,0,0,0,0.6,35920,0,-1,0,0,1716,383,0,0,258,Man City,West Brom,Chelsea,West Ham,Fulham,1.4,1.1,0.8,1.1,1.1,1.3,0.9,1,1.1,0.8,1,1.2,0.9,0.9,1.2,0.8,0.8,0.9,56.4
Michy,Batshuayi,FWD,CRY,5700000,2,29,1.45,2.54385964912281E-07,5.08771929824561E-06,0,172720,0,10,0,0,0,1,0,5.1,298,-3,0,29,3,0.3,0,1.8,1,0,2,0,2,0.6,61287,0,-1,0,0,535,414,0,0,73,Wolverhampton,Newcastle,Leeds United F.C.,Burnley,Brighton,1,0.9,0.8,0.9,0.9,1.1,0.8,1.2,0.8,0.8,0.8,0.7,0.8,0.8,0.9,0.7,0.7,0.7,35.8
Jan,Bednarek,DEF,SOU,4900000,2,83,4.2,8.57142857142857E-07,1.69387755102041E-05,0,576386,1,22,0,0,0,1,0,16.9,13281,4,0,83,-4,0.6,0,2.8,11,0,8,0,1,12.5,1310005,0,-1,0,2,1710,5904,0,0,397,Aston Villa,Man Utd,Newcastle,Wolverhampton,Chelsea,5.5,5.3,3.5,6.1,4.6,4.1,4.1,4.8,4.3,4.9,5.1,5.8,0,4.9,4.9,5.5,4.1,4.9,58.1
Hector,Bellerin,DEF,ARS,5100000,8,70,3.9,7.64705882352941E-07,1.37254901960784E-05,0,943193,7,17,0,0,0,0,0,13.7,1714,1,0,70,-1,0.7,0,3.4,13,0,6,0,3,4.6,895966,0,-1,0,3,1550,5563,0,0,318,Man Utd,Wolverhampton,Aston Villa,Leeds United F.C.,Man City,4.3,5.2,5,3.1,5.2,4.8,4.3,3.4,5,4.8,4.3,4.4,3.1,3.7,4.3,3.9,4.5,3.7,68.6
Filip,Benkovic,DEF,LEI,4300000,0,0,0,0,0,0,4917,0,0,0,0,0,0,0,0,3,-2,0,0,2,0,0,0,0,0,0,0,0,0,296,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Fulham,Wolverhampton,Liverpool,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Bennett,DEF,WOL,4400000,0,0,0,0,0,0,27711,0,0,0,0,0,0,0,0,23,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3905,0,-1,0,0,0,0,0,0,0,Crystal Palace,Arsenal,Leicester,Southampton,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Said,Benrahma,MID,WHU,6000000,2,28,1.4,2.33333333333333E-07,4.66666666666667E-06,0,45407,0,10,0,0,0,0,0,4.7,215,0,0,28,0,0.4,0,2.2,0,0,2,0,2,0.2,53613,0,-1,0,0,696,311,0,0,98,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,0.7,0.7,0.7,1.2,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.9,0.7,0.8,0.9,0.8,45.2
