FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Nathan,Ake,DEF,MCI,5400000,1,28,0.823529411764706,1.52505446623094E-07,5.18518518518519E-06,0,628260,4,10,0,0,0,1,0,5.2,265,-1,0,28,1,0.4,0,2.3,1,0,3,0,0,2.4,264889,0,-1,0,0,707,1052,0,0,142,Chelsea,Newcastle,Brighton,Everton,,0.4,0.4,0.4,0.4,22.6
Marc,Albrighton,MID,LEI,5200000,15,74,2.17647058823529,4.18552036199095E-07,1.42307692307692E-05,0,23150,2,18,0,0,0,1,0,14.2,212,-3,0,74,3,0.7,0,3.6,3,0,4,0,7,0.1,16159,0,-1,0,1,1590,344,0,0,314,Newcastle,Man Utd,Chelsea,Tottenham,,2.7,0,1.4,1.1,119.8
Toby,Alderweireld,DEF,TOT,5400000,1,80,3.6,6.66666666666667E-07,1.48148148148148E-05,0,310989,2,21,0,0,0,1,0,14.8,889,-1,0,80,1,0.5,0,2.5,4,0,9,0,0,1.8,221808,1,-1,0,1,1970,1163,0,0,415,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,,3.6,4.7,4,3.5,73.9
Trent,Alexander-Arnold,DEF,LIV,7600000,7,134,4.2,5.52631578947368E-07,1.76315789473684E-05,0,3812431,1,37,0,0,0,2,0,17.6,5827,1,0,134,-1,0.6,0,4.2,23,0,8,0,5,22,1824767,0,-1,0,3,2669,32170,0,0,645,Southampton,Man Utd,West Brom,Burnley,Crystal Palace,9.9,5.2,4.5,4.6,210.8
Ezgjan,Alioski,DEF,LEE,4300000,5,92,2.8,6.51162790697674E-07,2.13953488372093E-05,0,386025,7,34,0,0,0,2,0,21.4,1297,-2,0,92,2,0.7,0,3,6,0,8,0,2,1.9,477893,0,-1,0,2,2186,7981,0,0,391,Tottenham,Burnley,Southampton,West Brom,,2.5,2.2,2,2.9,105
,Alisson,GLK,LIV,5900000,10,114,3.9,6.61016949152542E-07,1.93220338983051E-05,0,1098086,1,29,0,74,0,0,0,19.3,1796,-1,0,114,1,0.7,0,4,10,0,8,0,0,6.3,513893,0,-1,1,2,2610,7809,0,0,562,Southampton,Man Utd,West Brom,Burnley,Crystal Palace,8.8,4.7,4,4.1,67.3
,Allan,MID,EVE,5200000,3,38,1.8,3.46153846153846E-07,7.30769230769231E-06,0,169281,6,24,0,0,0,0,0,7.3,60,-3,0,38,3,0.3,0,1.8,0,0,5,0,0,0.6,83608,0,-1,0,0,1735,112,0,0,237,West Ham,Aston Villa,Sheffield United,Wolverhampton,Man City,2.2,1.6,0.9,0.9,47.8
Bamidele,Alli,MID,TOT,7400000,5,23,0.676470588235294,9.14149443561208E-08,3.10810810810811E-06,0,266728,0,5,0,0,0,0,0,3.1,205,-6,0,23,6,0.3,0,2.2,0,0,2,0,2,0.6,41850,0,-1,0,0,375,1546,0,0,78,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,,0.3,0.3,0.3,0.3,26.4
Miguel,Almiron,MID,NEW,5600000,2,89,2.9,5.17857142857143E-07,1.58928571428571E-05,0,120607,3,44,0,0,0,4,0,15.9,445,-4,0,89,4,0.4,0,2,8,0,3,0,2,0.4,71646,0,-1,0,1,2167,785,0,0,341,Leicester,Man City,Sheffield United,Fulham,,2.2,1.8,3.7,2.7,125.6
Marcos,Alonso,DEF,CHE,5700000,8,57,1.67647058823529,2.94117647058824E-07,1E-05,0,463056,2,13,0,0,0,2,0,10,2851,-3,0,57,3,0.5,0,3,5,0,5,0,1,2.4,382864,0,-1,0,1,958,1587,0,0,225,Man City,Arsenal,Leicester,Aston Villa,,2.9,0,0.9,1.3,75.6
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,1992,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3209,0,-1,0,0,0,47,0,0,0,Everton,Brighton,West Brom,Southampton,,0,0,0,0,0
Steven,Alzate,MID,BHA,4100000,0,29,0.852941176470588,2.08034433285509E-07,7.07317073170732E-06,0,199690,2,15,0,0,0,1,0,7.1,446,-4,1,29,4,0,0,0,3,0,4,0,0,0.6,202733,0,-1,0,1,738,1047,-1,0,112,Wolverhampton,West Ham,Man City,Arsenal,,0.4,0.4,0.4,0.4,32.8
Daniel,Amartey,DEF,LEI,3900000,0,20,0.588235294117647,1.50829562594268E-07,5.12820512820513E-06,0,196466,2,12,0,0,0,1,0,5.1,1672,-1,0,20,1,0,0,0,2,0,0,0,0,1.3,181541,0,-1,0,0,718,174,0,0,124,Newcastle,Man Utd,Chelsea,Tottenham,,0.6,0,0.3,0.3,22.7
Ethan,Ampadu,DEF,SHU,4300000,0,44,1.29411764705882,3.00957592339261E-07,1.02325581395349E-05,0,91325,3,41,0,0,0,0,0,10.2,388,-2,0,44,2,0.1,0,0.5,4,0,2,0,0,0.4,56597,1,-1,0,1,2087,3,0,0,341,Crystal Palace,Everton,Newcastle,Burnley,,0,0.6,0.6,0.7,70.1
Joachim,Andersen,DEF,FUL,4500000,1,92,3.2,7.11111111111111E-07,2.04444444444444E-05,0,40548,5,33,0,0,0,1,0,20.4,629,0,0,92,0,0.2,0,1,7,0,9,0,1,0.4,67512,0,-1,0,2,2581,850,0,1,483,Burnley,Southampton,Man Utd,Newcastle,,2.5,2.7,3.8,2.8,78.5
Elliot,Anderson,MID,NEW,4500000,0,1,0.0294117647058824,6.5359477124183E-09,2.22222222222222E-07,0,3547,0,0,0,0,0,0,0,0.2,63,0,0,1,0,0,0,0,0,0,0,0,0,0,3970,0,-1,0,0,3,34,0,0,3,Leicester,Man City,Sheffield United,Fulham,,0,0,0,0,0.2
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,31801,0,0,0,0,0,0,0,0,27,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,14011,0,-1,0,0,0,35,0,0,0,Wolverhampton,West Ham,Man City,Arsenal,,0,0,0,0,0
,Andre Gomes,MID,EVE,5300000,0,45,1.36363636363636,2.57289879931389E-07,8.49056603773585E-06,0,44697,3,22,0,0,0,0,0,8.5,64,-2,0,45,2,0.2,0,1,0,0,5,0,1,0.2,25478,0,-1,0,0,1520,56,0,0,212,West Ham,Aston Villa,Sheffield United,Wolverhampton,Man City,1.4,1.1,0.7,0.7,50.1
,Anguissa,MID,FUL,4400000,1,71,2.2,5E-07,1.61363636363636E-05,0,449987,6,36,0,0,0,0,0,16.1,637,-1,0,71,1,0.4,0,1.7,4,0,6,0,3,1.3,468361,0,-1,0,0,2384,570,0,0,355,Burnley,Southampton,Man Utd,Newcastle,,1.7,1.4,1.2,1.5,116.5
Faustino,Anjorin,MID,CHE,4500000,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,813,0,-1,0,0,0,10,0,0,0,Man City,Arsenal,Leicester,Aston Villa,,0,0,0,0,0
Michail,Antonio,FWD,WHU,6400000,2,105,4.6,7.1875E-07,1.640625E-05,0,3077074,3,23,0,0,0,9,0,16.4,3676,-1,0,105,1,0.6,0,3.8,16,0,5,0,5,5.8,2793060,0,-1,0,2,1724,61851,0,0,312,Everton,Brighton,West Brom,Southampton,,4.6,5,5.2,6,171.6
Alphonse,Areola,GLK,FUL,4500000,2,119,3.5,7.77777777777778E-07,2.64444444444444E-05,0,367328,1,44,0,108,0,0,0,26.4,2040,0,1,119,0,0.4,0,2,8,0,9,0,0,4.6,594413,0,-1,0,1,3060,2746,-1,0,603,Burnley,Southampton,Man Utd,Newcastle,,2.9,3.1,4.4,3.2,82.5
Stuart,Armstrong,MID,SOU,5500000,7,109,3.6,6.54545454545455E-07,1.98181818181818E-05,0,139016,3,50,0,0,0,4,0,19.8,793,0,0,109,0,0.6,0,3.5,4,0,8,0,7,0.5,145661,0,-1,0,1,2507,2518,0,0,426,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,West Ham,6.2,3.7,3.7,2.6,138.3
Kepa,Arrizabalaga,GLK,CHE,4700000,2,26,0.764705882352941,1.6270337922403E-07,5.53191489361702E-06,0,177791,0,7,0,16,0,0,0,5.5,263,-3,0,26,3,0.5,0,2.2,5,0,2,0,0,0.6,53386,0,-1,0,0,540,75,0,0,117,Man City,Arsenal,Leicester,Aston Villa,,0.8,0,0.4,0.4,11.3
Ryan,Astley,DEF,EVE,4000000,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,-1,0,0,0,10,0,0,0,West Ham,Aston Villa,Sheffield United,Wolverhampton,Man City,0,0,0,0,0
Christian,Atsu,MID,NEW,5200000,0,0,0,0,0,0,6172,0,0,0,0,0,0,0,0,2,-3,0,0,3,0,0,0,0,0,0,0,0,0,927,0,-1,0,0,0,0,0,0,0,Leicester,Man City,Sheffield United,Fulham,,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11300000,6,126,4.7,4.15929203539823E-07,1.11504424778761E-05,0,3839323,2,25,0,0,0,10,0,11.2,9384,-7,0,126,7,0.3,0,3.6,11,0,9,0,3,6.9,1183968,1,-1,0,3,2162,1536,0,0,350,West Brom,Chelsea,Crystal Palace,Brighton,,10.2,0,4.7,4.7,159.4
Serge,Aurier,DEF,TOT,5200000,1,80,4.2,8.07692307692308E-07,1.53846153846154E-05,0,473310,0,22,0,0,0,2,0,15.4,2073,-3,0,80,3,0.9,0,4.5,4,0,6,0,3,1.6,315019,0,-1,0,1,1605,6175,0,0,370,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,,4.5,5.8,5,4.5,87.4
Charlie,Austin,FWD,WBA,5100000,0,5,1,1.96078431372549E-07,9.80392156862745E-07,0,73220,0,5,0,0,0,0,0,1,14,-4,0,5,4,0,0,0,0,0,0,0,0,0.1,16185,0,-1,0,0,135,0,0,0,10,Arsenal,Liverpool,West Ham,Leeds United F.C.,,0,0,0,0,5
Jordan,Ayew,FWD,CRY,5600000,2,68,2.2,3.92857142857143E-07,1.21428571428571E-05,0,557959,3,38,0,0,0,1,0,12.1,681,-4,0,68,4,0.2,0,1.2,2,0,6,0,4,1.4,211469,0,-1,0,0,1985,199,0,0,207,Sheffield United,Southampton,Aston Villa,Arsenal,Liverpool,3.3,1.6,1.6,1.8,92
Luke,Ayling,DEF,LEE,4400000,2,85,2.4,5.45454545454545E-07,1.93181818181818E-05,0,523508,7,53,0,0,0,0,0,19.3,1291,-1,0,85,1,0.5,0,2.2,1,0,10,0,0,2.4,425558,0,-1,0,0,3129,3045,0,0,595,Tottenham,Burnley,Southampton,West Brom,,2,1.7,1.5,2.3,150.5
Miguel,Azeez,MID,ARS,4500000,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,-1,0,0,0,32,0,0,0,West Brom,Chelsea,Crystal Palace,Brighton,,0,0,0,0,0
Cesar,Azpilicueta,DEF,CHE,5900000,9,114,4.8,8.13559322033898E-07,1.93220338983051E-05,0,792416,4,17,0,0,0,1,0,19.3,16789,-1,0,114,1,0.5,0,3,12,0,13,0,2,7.1,797004,0,-1,0,1,2012,4411,0,0,500,Man City,Arsenal,Leicester,Aston Villa,,12.5,0,5,6.3,95.9
Eric,Bailly,DEF,MUN,4800000,2,29,0.878787878787879,1.83080808080808E-07,6.04166666666667E-06,0,81672,2,13,0,0,0,0,0,6,113,-2,0,29,2,0.1,0,0.4,6,0,3,0,0,0.3,72648,0,-1,0,0,740,161,0,0,161,Aston Villa,Leicester,Liverpool,Fulham,Wolverhampton,1.4,0,0.4,0.5,18.3
Fabian,Balbuena,DEF,WHU,4100000,0,39,1.14705882352941,2.79770444763271E-07,9.51219512195122E-06,0,292679,1,19,0,0,0,1,0,9.5,210,-4,0,39,4,0,0,-0.2,0,0,4,0,0,0.6,304300,0,-1,0,0,1197,139,0,1,193,Everton,Brighton,West Brom,Southampton,,0.6,0.6,0.6,0.6,35
George,Baldock,DEF,SHU,4900000,1,53,1.8,3.6734693877551E-07,1.08163265306122E-05,0,322620,5,51,0,0,0,0,0,10.8,713,-6,0,53,6,0.4,0,2,2,0,2,0,2,0.8,58291,0,-1,0,0,2607,90,0,0,314,Crystal Palace,Everton,Newcastle,Burnley,,1.5,1.1,1,1.2,85.2
Gareth,Bale,MID,TOT,9200000,2,92,2.70588235294118,2.94117647058824E-07,1E-05,0,1280930,1,12,0,0,0,9,0,10,8629,-3,-1,92,3,0.9,0,8,13,0,4,0,2,4.1,1585058,0,-1,0,3,784,33480,1,0,298,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,,2.1,2.2,1.7,2,106.4
Patrick,Bamford,FWD,LEE,6400000,9,175,5,7.8125E-07,2.734375E-05,0,5254413,3,49,0,0,0,15,0,27.3,9595,9,0,175,-9,0.5,0,3.2,22,0,9,0,10,39.1,7536575,0,-1,0,4,2860,103027,0,0,563,Tottenham,Burnley,Southampton,West Brom,,5.8,5.9,5.8,6.3,248.2
Jamal,Baptiste,DEF,WHU,4000000,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,856,0,-1,0,0,0,25,0,0,0,Everton,Brighton,West Brom,Southampton,,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4400000,0,2,0.0588235294117647,1.33689839572193E-08,4.54545454545455E-07,0,43777,2,8,0,0,0,0,0,0.5,22,-1,0,2,1,0,0,0,0,0,0,0,0,0.2,13249,0,-1,0,0,273,17,0,0,28,Fulham,Leeds United F.C.,Liverpool,Sheffield United,,0,0,0,0,5.9
Ross,Barkley,MID,AVL,5800000,3,74,2.24242424242424,3.8662486938349E-07,1.27586206896552E-05,0,516607,0,24,0,0,0,3,0,12.8,284,-2,0,74,2,0.4,0,2.2,4,0,7,0,2,0.8,516138,0,-1,0,1,1547,251,0,0,279,Man Utd,Everton,Crystal Palace,Tottenham,Chelsea,2.5,1.4,1.3,1.4,125.4
Ashley,Barnes,FWD,BUR,6000000,1,50,2.5,4.16666666666667E-07,8.33333333333333E-06,0,164102,4,17,0,0,0,3,0,8.3,148,0,0,50,0,0.1,0,0.5,7,0,6,0,0,0.2,161682,0,-1,0,0,1298,326,0,0,103,Fulham,Leeds United F.C.,Liverpool,Sheffield United,,2.4,1.9,1.9,2.4,90
Harvey,Barnes,MID,LEI,6600000,0,126,5,7.57575757575758E-07,1.90909090909091E-05,0,2712765,0,25,0,0,0,9,0,19.1,1516,-4,0,126,4,0,0,0,13,0,7,0,5,2.8,2581368,0,-1,0,2,1944,61,0,0,348,Newcastle,Man Utd,Chelsea,Tottenham,,0,0,0,0,172.7
Kyle,Bartley,DEF,WBA,4400000,1,76,2.8,6.36363636363636E-07,1.72727272727273E-05,0,54992,4,45,0,0,0,3,0,17.3,433,-1,0,76,1,0.2,0,1,3,0,5,0,1,0.3,60462,0,-1,0,1,2313,145,0,0,396,Arsenal,Liverpool,West Ham,Leeds United F.C.,,3.2,3.2,3.3,2.4,91
Chris,Basham,DEF,SHU,4600000,1,39,1.4,3.04347826086957E-07,8.47826086956522E-06,0,151495,3,50,0,0,0,0,0,8.5,117,-4,0,39,4,0,0,0.2,2,0,0,0,1,0.5,40636,0,-1,0,0,2306,33,0,0,346,Crystal Palace,Everton,Newcastle,Burnley,,1,0.7,0.7,0.8,80.3
Michy,Batshuayi,FWD,CRY,5700000,1,41,1.24242424242424,2.17969165337586E-07,7.19298245614035E-06,0,186692,0,15,0,0,0,2,0,7.2,194,-3,0,41,3,0,0,0.2,2,0,2,0,2,0.6,72554,0,-1,0,0,717,120,0,0,113,Sheffield United,Southampton,Aston Villa,Arsenal,Liverpool,1.3,0.6,0.6,0.7,45.5
Jan,Bednarek,DEF,SOU,4700000,1,94,2.7,5.74468085106383E-07,2E-05,0,1274931,4,59,0,0,0,1,0,20,5782,2,0,94,-2,0.2,0,1,11,0,9,0,1,5.1,1433097,1,-1,0,2,3010,2818,0,1,575,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,West Ham,0,0,2.6,2.7,88.6
Hector,Bellerin,DEF,ARS,5000000,1,94,3.8,7.6E-07,1.88E-05,0,1155718,8,24,0,0,0,1,0,18.8,5060,0,0,94,0,0.4,0,2.2,17,0,7,0,3,3.9,1049920,0,-1,0,3,2089,518,0,0,421,West Brom,Chelsea,Crystal Palace,Brighton,,0,0,4.2,3.7,94.7
Filip,Benkovic,DEF,LEI,4300000,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,3,-2,0,0,2,0,0,0,0,0,0,0,0,0,296,0,-1,0,0,0,0,0,0,0,Newcastle,Man Utd,Chelsea,Tottenham,,0,0,0,0,0
Ryan,Bennett,DEF,WOL,4400000,0,0,0,0,0,0,28310,0,0,0,0,0,0,0,0,10,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3905,0,-1,0,0,0,0,0,0,0,Brighton,Tottenham,Everton,Man Utd,,0,0,0,0,0
Said,Benrahma,MID,WHU,5900000,2,59,1.73529411764706,2.94117647058824E-07,1E-05,0,63565,0,17,0,0,0,0,0,10,172,-1,0,59,1,0.5,0,2.8,2,0,3,0,5,0.2,70255,0,-1,0,0,1258,715,0,0,202,Everton,Brighton,West Brom,Southampton,,1,1,1.1,1.2,89.8
Josh,Benson,MID,BUR,4400000,0,10,0.294117647058824,6.68449197860963E-08,2.27272727272727E-06,0,4103,0,7,0,0,0,0,0,2.3,18,-1,0,10,1,0,0,0,0,0,1,0,0,0,4418,0,-1,0,0,260,18,0,0,27,Fulham,Leeds United F.C.,Liverpool,Sheffield United,,0.1,0.1,0.1,0.1,3.7
Christian,Benteke,FWD,CRY,5500000,15,93,3.3,6E-07,1.69090909090909E-05,0,190407,0,31,0,0,0,8,0,16.9,3153,0,0,93,0,0.9,0,4.8,12,0,5,0,2,1.3,258998,0,-1,0,3,1640,6998,0,1,284,Sheffield United,Southampton,Aston Villa,Arsenal,Liverpool,6.2,3,3,3.3,156.5
Gaetano,Berardi,DEF,LEE,4000000,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,-1,0,0,0,20,0,0,0,Tottenham,Burnley,Southampton,West Brom,,0,0,0,0,0
Sander,Berge,MID,SHU,4900000,1,31,0.911764705882353,1.86074429771909E-07,6.3265306122449E-06,0,32224,4,23,0,0,0,1,0,6.3,21,-1,0,31,1,0.1,0,0.5,1,0,0,0,1,0.1,24274,0,-1,0,0,1119,17,0,0,152,Crystal Palace,Everton,Newcastle,Burnley,,0.5,0.5,0.5,0.5,49.8
Steven,Bergwijn,MID,TOT,7000000,0,45,1.32352941176471,1.89075630252101E-07,6.42857142857143E-06,0,112828,2,11,0,0,0,0,0,6.4,89,-5,0,45,5,0.2,0,1.2,0,0,5,0,4,0.4,35634,0,-1,0,0,1064,50,0,0,99,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,,0.7,0.7,0.7,0.7,38.8
Adrian,Bernabe,MID,MCI,4500000,0,0,0,0,0,0,1547,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,-1,0,0,0,6,0,0,0,Chelsea,Newcastle,Brighton,Everton,,0,0,0,0,0
,Bernard,MID,EVE,5700000,0,19,0.575757575757576,1.01010101010101E-07,3.33333333333333E-06,0,21753,2,5,0,0,0,1,0,3.3,44,-3,0,19,3,0,0,0.2,1,0,2,0,0,0.1,12859,0,-1,0,0,404,40,0,0,69,West Ham,Aston Villa,Sheffield United,Wolverhampton,Man City,0.6,0.3,0.3,0.3,30.6
,Bernardo,DEF,BHA,3900000,0,5,1.7,4.35897435897436E-07,1.28205128205128E-06,0,905127,0,3,0,0,0,0,0,1.3,893,-1,0,5,1,0,0,0,0,0,0,0,0,4.1,319447,0,-1,0,0,205,0,0,0,30,Wolverhampton,West Ham,Man City,Arsenal,,0,0,0,0,12.8
,Bernardo Silva,MID,MCI,7400000,0,91,3.8,5.13513513513513E-07,1.22972972972973E-05,0,252222,4,12,0,0,0,2,0,12.3,1923,-1,0,91,1,0.5,0,3.7,9,0,11,0,7,1.1,258181,0,-1,0,2,1897,3212,0,0,396,Chelsea,Newcastle,Brighton,Everton,,3.3,3.6,3.7,3.3,128.7
Ryan,Bertrand,DEF,SOU,5000000,0,78,2.7,5.4E-07,1.56E-05,0,189779,5,51,0,0,0,0,0,15.6,984,0,0,78,0,0,0,0,4,0,8,0,2,0.7,133298,0,-1,0,0,2598,28,0,0,404,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,West Ham,0,0,0,0,71.4
Marcus,Bettinelli,GLK,FUL,4300000,0,0,0,0,0,0,5527,0,0,0,0,0,0,0,0,1,-2,0,0,2,0,0,0,0,0,0,0,0,0,895,0,-1,0,0,0,0,0,0,0,Burnley,Southampton,Man Utd,Newcastle,,0,0,0,0,0
Nathan,Bishop,GLK,MUN,4000000,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,-1,0,0,0,18,0,0,0,Aston Villa,Leicester,Liverpool,Fulham,Wolverhampton,0,0,0,0,0
Yves,Bissouma,MID,BHA,4400000,1,72,2.2,5E-07,1.63636363636364E-05,0,558949,7,37,0,0,0,1,0,16.4,903,-1,0,72,1,0.5,0,2.2,2,0,11,0,0,1.6,371037,0,-1,0,0,2842,1587,0,1,439,Wolverhampton,West Ham,Man City,Arsenal,,1.4,1.5,1.1,1.4,92.6
Jayden,Bogle,DEF,SHU,4300000,0,37,1.08823529411765,2.53077975376197E-07,8.6046511627907E-06,0,16885,2,19,0,0,0,2,0,8.6,123,-2,0,37,2,0.5,0,2,0,0,2,0,0,0.1,13026,0,-1,0,1,1017,25,0,0,147,Crystal Palace,Everton,Newcastle,Burnley,,0.7,0.5,0.5,0.5,55.4
Mateusz,Bogusz,MID,LEE,4300000,0,0,0,0,0,0,3018,0,0,0,0,0,0,0,0,1,-2,0,0,2,0,0,0,0,0,0,0,0,0,2836,0,-1,0,0,0,0,0,0,0,Tottenham,Burnley,Southampton,West Brom,,0,0,0,0,0
Willy,Boly,DEF,WOL,5400000,0,66,3.5,6.48148148148148E-07,1.22222222222222E-05,0,271026,1,26,0,0,0,1,0,12.2,770,-1,0,66,1,0.3,0,1.5,4,0,6,0,1,1.1,165388,0,-1,0,0,1710,21,0,0,342,Brighton,Tottenham,Everton,Man Utd,,0,3.3,3.4,4.2,59.8
Leo,Bonatini,FWD,WOL,4800000,0,0,0,0,0,0,28272,0,0,0,0,0,0,0,0,8,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,8705,0,-1,0,0,0,0,0,0,0,Brighton,Tottenham,Everton,Man Utd,,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5400000,0,0,0,0,0,0,4785,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,634,0,-1,0,0,0,0,0,0,0,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,West Ham,0,0,0,0,0
