FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
William,Smallbone,MID,SOU,4400000,0,3,0.214285714285714,4.87012987012987E-08,6.81818181818182E-07,0,41875,0,4,0,0,0,0,0,0.7,138,-1,0,3,1,0,0,0,0,0,0,0,0,0.2,23733,0,-1,0,0,111,41,0,0,8,Fulham,West Ham,Liverpool,Leicester,Leeds United F.C.,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1
Chris,Smalling,DEF,MUN,4900000,0,0,0,0,0,0,11909,0,0,0,0,0,0,0,0,16,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1894,0,-1,0,0,0,0,0,0,0,Leicester,Wolverhampton,Aston Villa,Liverpool,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile,Smith Rowe,MID,ARS,4400000,6,6,0.428571428571429,9.74025974025974E-08,1.36363636363636E-06,0,21476,0,0,0,0,0,0,0,1.4,259,-1,0,6,1,0.2,0,1,0,0,1,0,1,0.3,19035,0,-1,0,0,64,2646,0,0,11,Chelsea,Brighton,West Brom,Crystal Palace,Newcastle,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.7
Robert,Snodgrass,MID,WHU,5700000,0,3,0.214285714285714,3.7593984962406E-08,5.26315789473684E-07,0,8506,0,0,0,0,0,0,0,0.5,39,-3,0,3,3,0.1,0,0.3,0,0,0,0,0,0.1,1481,0,-1,0,0,4,19,0,0,9,Brighton,Southampton,Everton,Burnley,West Brom,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Sokratis,DEF,ARS,4800000,0,0,0,0,0,0,18808,0,0,0,0,0,0,0,0,6,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,10250,0,-1,0,0,0,0,0,0,0,Chelsea,Brighton,West Brom,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heung-Min,Son,MID,TOT,9700000,0,116,8.3,8.55670103092784E-07,1.19587628865979E-05,0,3049894,0,9,0,0,0,11,0,12,12528,7,0,116,-7,0.5,0,5.3,16,0,6,0,4,62.1,5452737,0,-1,0,6,1173,42022,0,0,372,Wolverhampton,Fulham,Leeds United F.C.,Aston Villa,Sheffield United,11.2,10.7,9.3,11.6,11.7,8.5,11.8,10.2,10.6,9.5,11.1,10,9.4,12,10.4,12.2,7.4,11.6,11.3,10.3,12.1,10.9,6.9,12.1,137.1
Tomas,Soucek,MID,WHU,5100000,7,60,4,7.84313725490196E-07,1.17647058823529E-05,0,436499,1,21,0,0,0,4,0,11.8,9825,1,0,60,-1,1,0,5,4,0,4,0,1,9.4,758534,0,-1,0,2,1350,30462,0,0,203,Brighton,Southampton,Everton,Burnley,West Brom,3.9,3.4,3.9,0,9.2,3.2,3.1,3.9,3.9,5.3,3.1,2.8,3.4,3.4,3.6,3.7,3,4.4,3.9,4.8,3.8,4,4.3,4,68.2
Caglar,Soyuncu,DEF,LEI,5300000,0,8,0.571428571428571,1.07816711590296E-07,1.50943396226415E-06,0,833350,1,7,0,0,0,0,0,1.5,754,-2,0,8,2,0,0,0,0,0,1,0,0,2.7,102615,0,-1,0,0,360,56,0,0,64,Man Utd,Crystal Palace,Newcastle,Southampton,Chelsea,0,0.3,0.3,0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,15.2
Jason,Steele,GLK,BHA,4000000,0,0,0,0,0,0,29992,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0.8,72799,0,-1,0,0,0,340,0,0,0,West Ham,Arsenal,Wolverhampton,Man City,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jed,Steer,GLK,AVL,4000000,0,0,0,0,0,0,207878,0,0,0,0,0,0,0,0,6373,0,0,0,0,0,0,0,0,0,0,0,0,5,216718,0,-1,0,0,0,1296,0,0,0,Crystal Palace,Chelsea,Man Utd,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack,Steffen,GLK,MCI,4500000,0,0,0,0,0,0,1114,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,-1,0,0,0,16,0,0,0,Newcastle,Everton,Chelsea,Brighton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale,Stephens,MID,BUR,4300000,1,6,0.461538461538462,1.07334525939177E-07,1.3953488372093E-06,0,807304,0,4,0,0,0,0,0,1.4,3326,-2,0,6,2,0,0,0.2,0,0,0,0,0,4.8,265174,0,-1,0,0,218,4258,0,0,29,Leeds United F.C.,Sheffield United,Fulham,West Ham,Liverpool,0.2,0.2,0.2,0,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.3
Jack,Stephens,DEF,SOU,4600000,6,14,1,2.17391304347826E-07,3.04347826086957E-06,0,29190,1,9,0,0,0,0,0,3,73,-4,0,14,4,0.2,0,1,1,0,2,0,0,0.2,5803,0,-1,0,0,405,352,0,0,84,Fulham,West Ham,Liverpool,Leicester,Leeds United F.C.,0.5,0.7,0.7,0,1,0.6,0.5,0.6,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.5,0.5,0.6,0.5,0.5,12.7
Raheem,Sterling,MID,MCI,11400000,6,71,5.5,4.82456140350877E-07,6.2280701754386E-06,0,830435,1,10,0,0,0,4,0,6.2,9379,-1,0,71,1,0.5,0,6.2,9,0,6,0,4,4.4,860671,0,-1,0,1,1089,5785,0,0,190,Newcastle,Everton,Chelsea,Brighton,Crystal Palace,6.4,6,5.5,6.5,5.9,6.5,7.5,7.1,3.9,5.4,6.2,6.2,4.6,5.9,7,6.3,5.9,5.9,6.6,5,6.4,6.6,6.2,6.3,109.8
Enda,Stevens,DEF,SHU,5100000,2,15,1.2,2.35294117647059E-07,2.94117647058824E-06,0,290490,2,22,0,0,0,0,0,2.9,504,-4,0,15,4,0.2,0,0.8,0,0,0,0,0,1.1,18590,0,-1,0,0,1080,134,0,0,139,Everton,Burnley,Crystal Palace,Newcastle,Tottenham,0.6,0.6,0.7,0.6,0.6,0.9,1.1,0.8,0.6,0.8,0.7,0.9,0.6,0.7,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.6,0.6,0.6,33
Jordan,Stevens,MID,LEE,4300000,0,0,0,0,0,0,89423,0,0,0,0,0,0,0,0,251,-2,0,0,2,0,0,0,0,0,0,0,0,0.5,18280,0,-1,0,0,0,55,0,0,0,Burnley,West Brom,Tottenham,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John,Stones,DEF,MCI,4900000,6,36,6,1.22448979591837E-06,7.3469387755102E-06,0,62206,0,1,0,0,0,0,0,7.3,2759,-1,0,36,1,1.2,0,5.7,4,0,5,0,0,3.6,289089,0,-1,0,0,540,30976,0,0,149,Newcastle,Everton,Chelsea,Brighton,Crystal Palace,6.3,6.2,5.9,7.4,8.4,7.5,7.7,7.4,7.3,7,8.1,8.3,7.7,7.4,8.6,7.9,6.6,8.9,7.1,7.5,7,6.5,7,6.6,16.3
Pascal,Struijk,DEF,LEE,3900000,6,8,0.571428571428571,1.46520146520147E-07,2.05128205128205E-06,0,181810,1,11,0,0,0,0,0,2.1,1894,-1,0,8,1,0.3,0,1,0,0,1,0,0,2.3,215035,0,-1,0,0,389,7686,0,0,68,Burnley,West Brom,Tottenham,Brighton,Southampton,0.3,0.3,0.3,0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8.3
Japhet,Tanganga,DEF,TOT,4900000,0,0,0,0,0,0,7172,0,0,0,0,0,0,0,0,22,-1,0,0,1,0,0,0,0,0,0,0,0,0,941,0,-1,0,0,0,3,0,0,0,Wolverhampton,Fulham,Leeds United F.C.,Aston Villa,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Targett,DEF,AVL,4600000,6,53,4.1,8.91304347826087E-07,1.15217391304348E-05,0,155936,4,13,0,0,0,0,0,11.5,8671,1,0,53,-1,1,0,4.8,2,0,8,0,1,4.2,394023,0,-1,0,1,1170,22318,0,0,243,Crystal Palace,Chelsea,Man Utd,Tottenham,Everton,4.1,4.2,6.1,2.9,2.6,5.2,4,4.3,4.1,4.9,2.6,5,4.8,4.6,5,4.1,5.5,4.8,4.3,4.4,3.7,5.5,5.2,2.8,43.7
James,Tarkowski,DEF,BUR,5300000,1,38,3.2,6.0377358490566E-07,7.16981132075472E-06,0,287998,2,15,0,0,0,0,0,7.2,1145,-2,0,38,2,0.5,0,2.8,0,0,5,0,0,2.3,56344,0,-1,0,0,1080,3719,0,0,169,Leeds United F.C.,Sheffield United,Fulham,West Ham,Liverpool,3.1,2.8,3.4,0,7.3,2.8,2.5,4.3,2.6,3.5,3.6,3.3,3.4,2.6,2.3,2.3,2.1,4.1,3.8,3.6,3.4,2.3,3.8,3.1,36.6
