FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Nathan,Ake,DEF,MCI,5400000,0,21,0.7,1.2962962962963E-07,3.88888888888889E-06,0,625599,3,7,0,0,0,1,0,3.9,97,-1,0,21,1,0,0,0,1,0,2,0,0,2.4,262199,0,-1,0,0,469,15,0,0,97,Leicester,Leeds United F.C.,Aston Villa,Crystal Palace,Chelsea,0,0.4,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,16.6
Marc,Albrighton,MID,LEI,5200000,0,50,1.72413793103448,3.315649867374E-07,9.61538461538462E-06,0,20531,2,12,0,0,0,0,0,9.6,36,-3,0,50,3,0.4,0,2,0,0,4,0,5,0.1,12360,0,-1,0,0,1240,38,0,0,210,Man City,West Ham,West Brom,Crystal Palace,Southampton,0,0.9,0.9,1.2,1,1,1,0.9,1,0.9,82.7
Toby,Alderweireld,DEF,TOT,5400000,0,70,3.9,7.22222222222222E-07,1.2962962962963E-05,0,271544,2,15,0,0,0,1,0,13,645,-1,0,70,1,0.5,0,2.5,4,0,8,0,0,2,200316,1,-1,0,1,1610,171,0,0,348,Aston Villa,Newcastle,Man Utd,Everton,Sheffield United,4.9,3.8,4.8,4.1,0,4.7,3.9,5.5,4.9,4.3,59.4
Trent,Alexander-Arnold,DEF,LIV,7300000,0,94,3.5,4.79452054794521E-07,1.28767123287671E-05,0,3673724,1,34,0,0,0,1,0,12.9,1324,-2,0,94,2,0.6,0,4.4,13,0,6,0,3,13.1,955017,0,-1,0,1,2219,1013,0,0,502,Arsenal,Aston Villa,Leeds United F.C.,Newcastle,Man Utd,0,4.6,3.8,3.7,3.1,4.5,3.3,4.4,3.7,3.9,163.3
Ezgjan,Alioski,DEF,LEE,4300000,2,74,2.7,6.27906976744186E-07,1.72093023255814E-05,0,339695,4,29,0,0,0,2,0,17.2,941,-2,0,74,2,0.4,0,1.8,6,0,7,0,0,2,432750,0,-1,0,2,1703,553,0,0,324,Fulham,Sheffield United,Man City,Liverpool,Man Utd,3,2.7,3.3,2.9,2.8,2.5,2.4,2.3,2,3,83.9
,Alisson,GLK,LIV,5900000,0,89,3.7,6.27118644067797E-07,1.50847457627119E-05,0,1068618,1,26,0,55,0,0,0,15.1,432,-1,0,89,1,0.5,0,3.2,8,0,6,0,0,5.8,444750,0,-1,1,1,2160,242,0,0,435,Arsenal,Aston Villa,Leeds United F.C.,Newcastle,Man Utd,0,4.9,4.1,4,3.4,4.9,3.5,4.8,4,4.2,51.4
,Allan,MID,EVE,5200000,0,29,1.03571428571429,1.99175824175824E-07,5.57692307692308E-06,0,168272,4,20,0,0,0,0,0,5.6,41,-3,0,29,3,0.3,0,1.6,0,0,3,0,0,0.6,82650,0,-1,0,0,1330,20,0,0,188,Crystal Palace,Brighton,Tottenham,Arsenal,Aston Villa,0,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,35.6
Bamidele,Alli,MID,TOT,7400000,0,14,0.5,6.75675675675676E-08,1.89189189189189E-06,0,258198,0,3,0,0,0,0,0,1.9,328,-6,0,14,6,0.2,0,1.5,0,0,1,0,1,0.6,38614,0,-1,0,0,231,81,0,0,44,Aston Villa,Newcastle,Man Utd,Everton,Sheffield United,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,14.7
Miguel,Almiron,MID,NEW,5600000,2,75,3,5.35714285714286E-07,1.33928571428571E-05,0,112562,1,34,0,0,0,4,0,13.4,80,-4,0,75,4,0.2,0,1,7,0,3,0,1,0.4,62106,0,-1,0,1,1654,44,0,0,284,Brighton,Tottenham,Burnley,West Ham,Liverpool,2.5,2.3,3,2.5,2.2,2.2,2.3,1.9,4,2.8,104.9
Marcos,Alonso,DEF,CHE,5700000,0,39,1.3448275862069,2.35934664246824E-07,6.84210526315789E-06,0,356336,2,7,0,0,0,1,0,6.8,886,-3,0,39,3,0.3,0,1.8,5,0,4,0,0,2.5,288179,0,-1,0,1,703,744,0,0,158,West Brom,Crystal Palace,Brighton,West Ham,Fulham,0,1.1,0.7,0.8,0.9,0.9,1.1,1,0.7,1,54.7
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,1435,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2424,0,-1,0,0,0,12,0,0,0,Arsenal,Wolverhampton,Leicester,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4200000,0,29,1.03571428571429,2.46598639455782E-07,6.9047619047619E-06,0,190907,2,15,0,0,0,1,0,6.9,290,-3,0,29,3,0.1,0,0.4,3,0,4,0,0,0.6,199692,0,-1,0,1,738,34,0,0,112,Newcastle,Man Utd,Everton,Chelsea,Sheffield United,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,32.8
Daniel,Amartey,DEF,LEI,3900000,0,20,0.689655172413793,1.7683465959328E-07,5.12820512820513E-06,0,157673,1,8,0,0,0,1,0,5.1,718,-1,0,20,1,0.7,0,2.8,2,0,0,0,0,1.4,153468,0,-1,0,0,583,641,0,0,109,Man City,West Ham,West Brom,Crystal Palace,Southampton,0,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,21.2
Ethan,Ampadu,DEF,SHU,4300000,0,41,1.41379310344828,3.2878909382518E-07,9.53488372093023E-06,0,84047,2,36,0,0,0,0,0,9.5,73,-2,0,41,2,0.4,0,1.6,4,0,2,0,0,0.4,52117,1,-1,0,1,1870,39,0,0,310,Leeds United F.C.,Arsenal,Wolverhampton,Brighton,Tottenham,0,0.7,1.1,1.1,0.9,0.7,1.2,0.7,0.7,0.9,65.1
Joachim,Andersen,DEF,FUL,4500000,7,87,3.6,8E-07,1.93333333333333E-05,0,13772,3,24,0,0,0,1,0,19.3,490,0,0,87,0,1.1,0,5,7,0,9,0,1,0.5,52005,0,-1,0,2,2131,822,0,1,421,Leeds United F.C.,Aston Villa,Wolverhampton,Arsenal,Chelsea,3.2,4.7,4.8,4.7,0,3.7,3.3,3.4,4.7,3.4,68.7
Elliot,Anderson,MID,NEW,4500000,0,1,0.0357142857142857,7.93650793650794E-09,2.22222222222222E-07,0,3107,0,0,0,0,0,0,0,0.2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,3562,0,-1,0,0,3,6,0,0,3,Brighton,Tottenham,Burnley,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,0,0.2
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,31331,0,0,0,0,0,0,0,0,16,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,13628,0,-1,0,0,0,11,0,0,0,Newcastle,Man Utd,Everton,Chelsea,Sheffield United,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5300000,0,39,1.8,3.39622641509434E-07,7.35849056603774E-06,0,43409,3,21,0,0,0,0,0,7.4,30,-2,0,39,2,0.4,0,2,0,0,4,0,1,0.2,24331,0,-1,0,0,1356,31,0,0,180,Crystal Palace,Brighton,Tottenham,Arsenal,Aston Villa,0,1,1.3,0.9,1.2,0.9,1,1.7,1,0.9,45.5
,Anguissa,MID,FUL,4500000,2,65,2.2,4.88888888888889E-07,1.44444444444444E-05,0,424250,5,30,0,0,0,0,0,14.4,607,0,0,65,0,0.4,0,1.7,4,0,6,0,3,1.5,456855,0,-1,0,0,2087,272,0,0,330,Leeds United F.C.,Aston Villa,Wolverhampton,Arsenal,Chelsea,1.3,1.4,1.5,1.6,0,1.5,1.8,1.5,1.3,1.5,96.6
Faustino,Anjorin,MID,CHE,4500000,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,-1,0,0,0,8,0,0,0,West Brom,Crystal Palace,Brighton,West Ham,Fulham,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,6700000,7,89,4.5,6.71641791044776E-07,1.32835820895522E-05,0,2194394,3,21,0,0,0,7,0,13.3,9105,2,0,89,-2,0.7,0,4.8,13,0,5,0,5,14.7,2635126,0,-1,0,1,1509,5162,0,0,255,Arsenal,Wolverhampton,Leicester,Newcastle,Chelsea,5,4.4,4.9,5.4,4.6,4.8,4.9,5.1,5.1,5.8,132.9
Alphonse,Areola,GLK,FUL,4600000,1,110,3.8,8.26086956521739E-07,2.39130434782609E-05,0,271101,0,35,0,95,0,0,0,23.9,1679,1,0,110,-1,0.9,0,4.2,8,0,9,0,0,5.3,554058,0,-1,0,1,2610,941,0,0,541,Leeds United F.C.,Aston Villa,Wolverhampton,Arsenal,Chelsea,3.5,5,5.1,5,0,4,3.6,3.7,5,3.7,71.5
Stuart,Armstrong,MID,SOU,5500000,0,86,3.6,6.54545454545455E-07,1.56363636363636E-05,0,125884,3,39,0,0,0,3,0,15.6,149,0,0,86,0,0.5,0,2.5,4,0,8,0,5,0.4,121937,0,-1,0,1,1979,192,0,0,325,Burnley,West Brom,Crystal Palace,Leicester,Liverpool,0,4.3,3.6,3.7,0,2.9,2.8,3.5,3.5,2.6,108.2
Kepa,Arrizabalaga,GLK,CHE,4700000,0,15,0.517241379310345,1.10051357300073E-07,3.19148936170213E-06,0,174607,0,6,0,12,0,0,0,3.2,53,-3,0,15,3,0,0,0,2,0,1,0,0,0.6,49887,0,-1,0,0,360,35,0,0,69,West Brom,Crystal Palace,Brighton,West Ham,Fulham,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7.8
Ryan,Astley,DEF,EVE,4000000,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,-1,0,0,0,6,0,0,0,Crystal Palace,Brighton,Tottenham,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5200000,0,0,0,0,0,0,6148,0,0,0,0,0,0,0,0,1,-3,0,0,3,0,0,0,0,0,0,0,0,0,927,0,-1,0,0,0,0,0,0,0,Brighton,Tottenham,Burnley,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11500000,2,106,4.4,3.82608695652174E-07,9.21739130434783E-06,0,3376988,2,23,0,0,0,9,0,9.2,21249,-5,0,106,5,0.2,0,2.6,10,0,7,0,1,11.6,1104549,1,-1,0,2,1931,1589,0,0,296,West Ham,Liverpool,Sheffield United,Fulham,Everton,4.1,3.2,5.7,4.3,4.1,4.8,5.1,4.4,4,4.2,139
Serge,Aurier,DEF,TOT,5200000,0,61,2.17857142857143,4.18956043956044E-07,1.17307692307692E-05,0,452174,0,13,0,0,0,2,0,11.7,187,-3,0,61,3,0.2,0,1,2,0,5,0,1,1.4,273592,0,-1,0,0,1155,43,0,0,268,Aston Villa,Newcastle,Man Utd,Everton,Sheffield United,2.1,1.5,2.1,1.7,0,2,1.6,2.6,2.1,1.8,64.4
Charlie,Austin,FWD,WBA,5100000,0,5,1,1.96078431372549E-07,9.80392156862745E-07,0,72986,0,5,0,0,0,0,0,1,4,-4,0,5,4,0,0,0,0,0,0,0,0,0.1,16185,0,-1,0,0,135,0,0,0,10,Chelsea,Southampton,Leicester,Aston Villa,Wolverhampton,0,0,0,0,0,0,0,0,0,0,5
Jordan,Ayew,FWD,CRY,5600000,0,59,2.4,4.28571428571429E-07,1.05357142857143E-05,0,542484,2,31,0,0,0,1,0,10.5,438,-4,0,59,4,0.4,0,2.4,2,0,6,0,4,1.6,205483,0,-1,0,0,1656,144,0,0,182,Everton,Chelsea,Southampton,Leicester,Man City,0,2,1.8,1.7,1.8,1.7,2,1.8,2,2.1,76.4
Luke,Ayling,DEF,LEE,4400000,2,72,2.5,5.68181818181818E-07,1.63636363636364E-05,0,477499,5,47,0,0,0,0,0,16.4,875,-1,0,72,1,0.7,0,3.2,1,0,9,0,0,2.6,394769,0,-1,0,0,2589,667,0,0,509,Fulham,Sheffield United,Man City,Liverpool,Man Utd,2.7,2.4,2.9,2.6,2.5,2.2,2.1,2,1.8,2.6,128
Cesar,Azpilicueta,DEF,CHE,5800000,0,97,5.1,8.79310344827586E-07,1.67241379310345E-05,0,565105,4,9,0,0,0,1,0,16.7,771,-2,0,97,2,1.1,0,6.2,10,0,12,0,1,6,486073,0,-1,0,1,1580,14459,0,0,405,West Brom,Crystal Palace,Brighton,West Ham,Fulham,0,7,5.9,6.2,6.4,6.7,6.6,6.8,5.9,6.8,78.2
Eric,Bailly,DEF,MUN,4800000,0,27,0.931034482758621,1.93965517241379E-07,5.625E-06,0,79240,2,11,0,0,0,0,0,5.6,47,-2,0,27,2,0.3,0,1.6,6,0,3,0,0,0.3,71758,0,-1,0,0,638,21,0,0,144,Brighton,Tottenham,Burnley,Leeds United F.C.,Liverpool,0,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,16.4
Fabian,Balbuena,DEF,WHU,4200000,0,40,1.42857142857143,3.40136054421769E-07,9.52380952380952E-06,0,287191,1,16,0,0,0,1,0,9.5,127,-3,0,40,3,0,0,0,0,0,4,0,0,0.6,301463,0,-1,0,0,1080,37,0,0,185,Arsenal,Wolverhampton,Leicester,Newcastle,Chelsea,1.1,1.1,0.8,0.7,0.9,0.7,0.7,0.8,1,0.9,32.4
George,Baldock,DEF,SHU,4900000,0,43,1.8,3.6734693877551E-07,8.77551020408163E-06,0,315670,4,40,0,0,0,0,0,8.8,48,-6,0,43,6,0.6,0,2.8,2,0,1,0,2,0.8,52149,0,-1,0,0,2113,25,0,0,246,Leeds United F.C.,Arsenal,Wolverhampton,Brighton,Tottenham,0,1,1.6,1.6,1.3,1.1,1.7,1.1,1,1.3,67.6
Gareth,Bale,MID,TOT,9700000,0,58,2.07142857142857,2.13549337260677E-07,5.97938144329897E-06,0,210992,1,8,0,0,0,5,0,6,14096,2,-1,58,-2,0.7,0,6.7,8,0,3,0,2,15,1405655,0,-1,0,2,552,8903,1,0,187,Aston Villa,Newcastle,Man Utd,Everton,Sheffield United,1.2,1.4,1,1.7,0,2.4,1.3,1.6,1.1,1.3,68.8
Patrick,Bamford,FWD,LEE,6700000,11,156,5.4,8.05970149253731E-07,2.32835820895522E-05,0,3994577,2,45,0,0,0,14,0,23.3,11546,12,0,156,-12,0.6,0,4,19,0,8,0,9,48.6,7049460,0,-1,0,4,2435,11874,0,0,514,Fulham,Sheffield United,Man City,Liverpool,Man Utd,0,7.6,5.5,6.4,6,6.9,6.5,6.6,6.5,7,215.1
Jamal,Baptiste,DEF,WHU,4000000,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,-1,0,0,0,9,0,0,0,Arsenal,Wolverhampton,Leicester,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4400000,0,2,0.0689655172413793,1.56739811912226E-08,4.54545454545455E-07,0,43330,2,8,0,0,0,0,0,0.5,11,-1,0,2,1,0,0,0,0,0,0,0,0,0.2,12995,0,-1,0,0,273,8,0,0,28,Southampton,Newcastle,Man Utd,Wolverhampton,West Ham,0,0,0,0,0,0,0,0,0,0,5.9
Ross,Barkley,MID,AVL,5900000,0,61,2.25925925925926,3.82925298179535E-07,1.03389830508475E-05,0,502786,0,17,0,0,0,3,0,10.3,432,-1,0,61,1,0.1,0,0.8,4,0,7,0,1,0.9,511208,0,-1,0,1,1180,140,0,0,216,Tottenham,Fulham,Liverpool,Man City,West Brom,1.3,1.5,1.5,1.1,1.9,2,1.2,1.3,1.4,1.5,104.1
Ashley,Barnes,FWD,BUR,6000000,0,48,2.7,4.5E-07,8E-06,0,157992,4,17,0,0,0,3,0,8,149,0,0,48,0,0,0,0,7,0,6,0,0,0.3,160206,0,-1,0,0,1290,21,0,0,100,Southampton,Newcastle,Man Utd,Wolverhampton,West Ham,0,0,2.9,2.2,2.1,2.2,2.6,2.2,2.3,2.7,88.1
Harvey,Barnes,MID,LEI,6700000,0,126,5,7.46268656716418E-07,1.88059701492537E-05,0,2616518,0,25,0,0,0,9,0,18.8,4915,-3,0,126,3,0.4,0,2.8,13,0,7,0,5,4,2580089,0,-1,0,2,1944,110,0,0,348,Man City,West Ham,West Brom,Crystal Palace,Southampton,0,0,5.1,6,5.3,5.4,5.5,5,5.4,4.6,172.7
Kyle,Bartley,DEF,WBA,4400000,0,65,3.1,7.04545454545455E-07,1.47727272727273E-05,0,41653,3,34,0,0,0,3,0,14.8,305,-1,0,65,1,1.4,0,6.2,3,0,4,0,1,0.4,53003,0,-1,0,1,1779,568,0,0,330,Chelsea,Southampton,Leicester,Aston Villa,Wolverhampton,0,2.7,3,3.1,3.6,4.2,3.6,3.6,3.8,2.8,77
Chris,Basham,DEF,SHU,4600000,0,38,1.5,3.26086956521739E-07,8.26086956521739E-06,0,148698,3,44,0,0,0,0,0,8.3,25,-4,0,38,4,0,0,0.2,2,0,0,0,1,0.5,40056,0,-1,0,0,2126,8,0,0,307,Leeds United F.C.,Arsenal,Wolverhampton,Brighton,Tottenham,0,0.8,1.2,1.2,1,0.8,1.3,0.8,0.8,1,74.1
Michy,Batshuayi,FWD,CRY,5700000,0,34,1.17241379310345,2.05686630369026E-07,5.96491228070175E-06,0,183893,0,14,0,0,0,1,0,6,77,-3,0,34,3,0,0,0,1,0,2,0,2,0.6,70475,0,-1,0,0,693,39,0,0,83,Everton,Chelsea,Southampton,Leicester,Man City,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,39.6
Jan,Bednarek,DEF,SOU,4800000,0,88,3,6.25E-07,1.83333333333333E-05,0,1182512,3,48,0,0,0,1,0,18.3,1576,3,0,88,-3,0.4,0,2,11,0,9,0,1,5.9,1403708,1,-1,0,2,2515,650,0,1,505,Burnley,West Brom,Crystal Palace,Leicester,Liverpool,0,2.9,3.1,3.6,0,2.8,3.7,3.3,2.8,3,76.3
Hector,Bellerin,DEF,ARS,5100000,0,83,3.8,7.45098039215686E-07,1.62745098039216E-05,0,1085983,8,23,0,0,0,1,0,16.3,2309,1,0,83,-1,0,0,0.2,15,0,6,0,3,4.2,1004338,0,-1,0,3,1910,192,0,0,385,West Ham,Liverpool,Sheffield United,Fulham,Everton,4.7,4.6,4,4.2,3,3.8,4.7,3.9,4.1,3.8,86.2
Filip,Benkovic,DEF,LEI,4300000,0,0,0,0,0,0,5014,0,0,0,0,0,0,0,0,2,-2,0,0,2,0,0,0,0,0,0,0,0,0,296,0,-1,0,0,0,0,0,0,0,Man City,West Ham,West Brom,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0
Ryan,Bennett,DEF,WOL,4400000,0,0,0,0,0,0,28183,0,0,0,0,0,0,0,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3905,0,-1,0,0,0,0,0,0,0,West Ham,Fulham,Sheffield United,Burnley,West Brom,0,0,0,0,0,0,0,0,0,0,0
Said,Benrahma,MID,WHU,6000000,2,46,1.64285714285714,2.73809523809524E-07,7.66666666666667E-06,0,58687,0,13,0,0,0,0,0,7.7,197,0,0,46,0,0.3,0,1.6,0,0,3,0,4,0.2,67114,0,-1,0,0,1055,54,0,0,164,Arsenal,Wolverhampton,Leicester,Newcastle,Chelsea,0.8,0.8,0.8,0.9,1,1.1,0.9,0.9,1,1.1,68.2
Josh,Benson,MID,BUR,4500000,0,10,0.344827586206897,7.66283524904215E-08,2.22222222222222E-06,0,3884,0,7,0,0,0,0,0,2.2,2,0,0,10,0,0,0,0,0,0,1,0,0,0,4224,0,-1,0,0,260,6,0,0,27,Southampton,Newcastle,Man Utd,Wolverhampton,West Ham,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.7
Christian,Benteke,FWD,CRY,5500000,0,64,2.9,5.27272727272727E-07,1.16363636363636E-05,0,157818,0,19,0,0,0,5,0,11.6,699,0,0,64,0,0.8,0,4.2,7,0,4,0,2,0.8,191932,0,-1,0,2,1150,671,0,1,175,Everton,Chelsea,Southampton,Leicester,Man City,0,2.7,2.5,2.3,2.5,2.4,2.7,2.4,2.7,2.8,103.8
Gaetano,Berardi,DEF,LEE,4000000,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,-1,0,0,0,7,0,0,0,Fulham,Sheffield United,Man City,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0
Sander,Berge,MID,SHU,4900000,0,29,1,2.04081632653061E-07,5.91836734693878E-06,0,31765,4,19,0,0,0,1,0,5.9,5,-1,0,29,1,0,0,0,1,0,0,0,1,0.1,23932,0,-1,0,0,1015,7,0,0,148,Leeds United F.C.,Arsenal,Wolverhampton,Brighton,Tottenham,0,0,0,0,0,0.5,0.5,0.5,0.5,0.6,47
Steven,Bergwijn,MID,TOT,7000000,0,39,1.39285714285714,1.98979591836735E-07,5.57142857142857E-06,0,110462,2,11,0,0,0,0,0,5.6,86,-5,0,39,5,0,0,0,0,0,5,0,3,0.4,34760,0,-1,0,0,1018,32,0,0,78,Aston Villa,Newcastle,Man Utd,Everton,Sheffield United,0.7,0.7,0.7,0.9,0,1.3,0.7,0.8,0.7,0.7,34.1
Adrian,Bernabe,MID,MCI,4500000,0,0,0,0,0,0,1469,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,0,-1,0,0,0,1,0,0,0,Leicester,Leeds United F.C.,Aston Villa,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0
,Bernard,MID,EVE,5700000,0,18,0.642857142857143,1.12781954887218E-07,3.15789473684211E-06,0,20887,2,4,0,0,0,1,0,3.2,22,-3,0,18,3,0.1,0,0.8,1,0,2,0,0,0.1,12435,0,-1,0,0,390,12,0,0,65,Crystal Palace,Brighton,Tottenham,Arsenal,Aston Villa,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,29
,Bernardo,DEF,BHA,3900000,0,5,1.7,4.35897435897436E-07,1.28205128205128E-06,0,884091,0,3,0,0,0,0,0,1.3,503,-1,0,5,1,0,0,0,0,0,0,0,0,4.4,319447,0,-1,0,0,205,0,0,0,30,Newcastle,Man Utd,Everton,Chelsea,Sheffield United,0,0,0,0,0,0,0,0,0,0,12.8
