FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,8034,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0.2,383,0,-1,0,0,0,16,0,0,0,Newcastle,Man Utd,Everton,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5500000,2,5,2.5,4.54545454545455E-07,9.09090909090909E-07,0,4584,0,2,0,0,0,0,0,0.9,463,0,0,5,0,0.5,0,2.5,0,0,1,0,0,0.5,8119,0,-1,0,0,157,322,0,0,26,West Brom,Crystal Palace,Brighton,Liverpool,Southampton,1.3,1.2,2.1,1.4,2.4,1.2,3.5,1.2,1.2,3.1,1.8,1.3,1.5,2.7,3.5,2.6,1.3,3.1,1.7,1.6,1.2,3.1,1.6,1.2,2.9,1.4,3.5,1.2,1.5,1.6,2.8,1.2,3.5,2.1,3.2,1.7,3.1,2.7
,Anguissa,MID,FUL,4500000,5,6,6,1.33333333333333E-06,1.33333333333333E-06,0,7186,0,4,0,0,0,0,0,1.3,393,0,0,6,0,0.7,0,3,0,0,0,0,1,0.8,4331,0,-1,0,0,117,1089,0,0,33,Leeds United F.C.,Aston Villa,Wolverhampton,Sheffield United,Crystal Palace,3.1,8.5,5.5,7.4,6.1,5.6,7.4,5.8,5.5,7.4,5.7,7.6,5.1,8.5,7.4,7.4,8.5,6.9,6.4,4.4,6.7,8.5,4.7,8.5,4.9,4.6,8.5,4.1,7.4,6.7,4.8,8.5,5.7,8.5,7.4,7.4,6.2,2.6
Michail,Antonio,FWD,WHU,6400000,0,2,2,3.125E-07,3.125E-07,0,201990,0,2,0,0,0,0,0,0.3,11753,-1,0,2,1,0.2,0,1,0,0,0,0,0,7.6,18469,0,-1,0,0,90,847,0,0,0,Arsenal,Wolverhampton,Leicester,Tottenham,Man City,1,1,1,1.7,2.8,1.4,2.2,2.5,2.8,2.8,1.7,1.2,1,2.5,1.9,1,2.8,2.8,1,1.8,2.5,1.8,2.8,2.1,2.5,2.1,2.5,1,1,1,1,1.2,2.5,1,2.2,2.5,2.3,8
Alphonse,Areola,GLK,FUL,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,14340,0,4,0,3,0,0,0,0.2,780,0,0,1,0,0.1,0,0.5,0,0,0,0,0,1.4,10287,0,-1,0,0,90,851,0,0,17,Leeds United F.C.,Aston Villa,Wolverhampton,Sheffield United,Crystal Palace,0.5,1.4,0.5,0.6,1.1,0.8,0.7,0.5,0.5,1.2,1.4,0.9,0.5,0.7,0.9,1.2,1.4,0.7,0.7,0.6,0.5,0.9,0.5,0.8,0.9,1.2,1.4,0.5,1.2,0.5,0.5,1.1,0.5,1.4,0.5,1.2,0.5,0
Stuart,Armstrong,MID,SOU,5500000,0,0,0,0,0,0,8909,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0.2,213,0,-1,0,0,0,15,0,0,0,Tottenham,Burnley,West Brom,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kepa,Arrizabalaga,GLK,CHE,5000000,0,2,2,4E-07,4E-07,0,25269,0,1,0,2,0,0,0,0.4,739,0,0,2,0,0.2,0,1,0,0,0,0,0,2.1,10974,0,-1,0,0,90,1318,0,0,12,Liverpool,West Brom,Crystal Palace,Southampton,Man Utd,2.8,1.8,2.8,2,2.5,2.5,2.2,1,2.8,1,1,1.2,2.5,1.2,2.8,2.8,1,1,1.5,2.8,2.5,1.8,1.2,1.6,2.8,1,1,2.5,2.2,2.5,2.5,2.1,1,2.5,1.5,1.1,2.5,1
Christian,Atsu,MID,NEW,5500000,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0.1,263,0,-1,0,0,0,10,0,0,0,Brighton,Tottenham,Burnley,Man Utd,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,12000000,0,7,7,5.83333333333333E-07,5.83333333333333E-07,0,248266,1,0,0,0,0,1,0,0.6,24705,0,0,7,0,0.3,0,3.5,0,0,1,0,0,45.8,150677,0,-1,0,0,90,3686,0,0,19,West Ham,Liverpool,Sheffield United,Man City,Leicester,9.9,5.8,9.9,8.7,8.4,8.7,9.9,4.1,8.4,8.7,9.9,9.9,5.9,8.5,8,5.6,7.7,7.8,8.7,9.9,7,8.7,5.3,9.9,7,8.7,9.9,8.7,7.2,8.7,8.1,7.3,6.4,7,7.1,6.3,9.4,10.6
Serge,Aurier,DEF,TOT,5400000,0,0,0,0,0,0,80905,0,0,0,0,0,0,0,0,4409,-1,0,0,1,0,0,0,0,0,0,0,0,2.6,3247,0,-1,0,0,0,41,0,0,0,Southampton,Newcastle,Man Utd,West Ham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
