FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Toby,Alderweireld,DEF,TOT,5400000,6,79,3.8,7.03703703703704E-07,1.46296296296296E-05,0,305054,2,18,0,0,0,1,0,14.6,751,-1,0,79,1,0.3,0,1.8,4,0,9,0,0,1.8,219423,1,-1,0,1,1880,431,0,0,403,Sheffield United,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,4.4,4.1,5.1,4.3,4,70.6
Trent,Alexander-Arnold,DEF,LIV,7600000,0,127,4.1,5.39473684210526E-07,1.67105263157895E-05,0,3782909,1,37,0,0,0,2,0,16.7,6967,1,0,127,-1,1.1,0,8.2,22,0,7,0,5,20.9,1703322,0,-1,0,3,2579,11381,0,0,614,Southampton,West Brom,Burnley,Crystal Palace,,0,4.2,5.1,4.4,4.7,201.9
Ezgjan,Alioski,DEF,LEE,4300000,1,87,2.7,6.27906976744186E-07,2.02325581395349E-05,0,375429,7,33,0,0,0,2,0,20.2,1689,-2,0,87,2,0.7,0,2.8,6,0,8,0,1,1.9,466329,0,-1,0,2,2096,1099,0,0,366,Brighton,Tottenham,Burnley,Southampton,West Brom,2.4,2.3,2.2,2,2.7,99.7
,Alisson,GLK,LIV,5900000,0,104,3.7,6.27118644067797E-07,1.76271186440678E-05,0,1092464,1,29,0,68,0,0,0,17.6,979,-1,0,104,1,0.6,0,3.8,8,0,7,0,0,6.1,491126,0,-1,1,2,2520,1737,0,0,525,Southampton,West Brom,Burnley,Crystal Palace,,0,3.6,4.5,3.8,4,63.4
,Allan,MID,EVE,5200000,2,35,1.8,3.46153846153846E-07,6.73076923076923E-06,0,169118,5,24,0,0,0,0,0,6.7,27,-3,0,35,3,0.2,0,1.2,0,0,4,0,0,0.6,83231,0,-1,0,0,1600,56,0,0,224,Aston Villa,West Ham,Aston Villa,Sheffield United,Wolverhampton,0.9,2.2,1.6,1,0.9,46.3
Bamidele,Alli,MID,TOT,7400000,3,18,0.545454545454545,7.37100737100737E-08,2.43243243243243E-06,0,266176,0,3,0,0,0,0,0,2.4,89,-6,0,18,6,0.1,0,0.8,0,0,2,0,1,0.6,39838,0,-1,0,0,309,106,0,0,60,Sheffield United,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,0.3,0.3,0.3,0.3,0.3,18.5
Miguel,Almiron,MID,NEW,5600000,1,87,2.9,5.17857142857143E-07,1.55357142857143E-05,0,118973,3,42,0,0,0,4,0,15.5,243,-4,0,87,4,0.4,0,2.4,8,0,3,0,2,0.4,70179,0,-1,0,1,2080,239,0,0,331,Arsenal,Leicester,Man City,Sheffield United,Fulham,2,2.2,1.8,3.8,2.7,122.4
Marcos,Alonso,DEF,CHE,5700000,1,49,1.48484848484848,2.60499734183945E-07,8.59649122807018E-06,0,433676,2,12,0,0,0,1,0,8.6,3458,-3,0,49,3,0.3,0,1.8,5,0,5,0,1,2.7,380549,0,-1,0,1,868,226,0,0,195,Fulham,Man City,Arsenal,Leicester,Aston Villa,1,2.3,0,0.8,1.1,64.4
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,1893,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3055,0,-1,0,0,0,22,0,0,0,Burnley,Everton,Brighton,West Brom,Southampton,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4200000,0,29,0.878787878787879,2.09235209235209E-07,6.9047619047619E-06,0,198289,2,15,0,0,0,1,0,6.9,203,-3,0,29,3,0,0,0,3,0,4,0,0,0.6,201427,0,-1,0,1,738,52,0,0,112,Leeds United F.C.,Wolverhampton,West Ham,Man City,Arsenal,0.4,0.4,0.4,0.4,0.4,32.8
Daniel,Amartey,DEF,LEI,3900000,0,20,0.606060606060606,1.55400155400155E-07,5.12820512820513E-06,0,188742,2,12,0,0,0,1,0,5.1,1354,-1,0,20,1,0,0,0,2,0,0,0,0,1.4,180235,0,-1,0,0,718,223,0,0,124,Southampton,Newcastle,Man Utd,Chelsea,Tottenham,0.3,0.6,0,0.3,0.3,22.7
Ethan,Ampadu,DEF,SHU,4300000,0,44,1.33333333333333,3.10077519379845E-07,1.02325581395349E-05,0,89705,3,41,0,0,0,0,0,10.2,173,-2,0,44,2,0.1,0,0.5,4,0,2,0,0,0.4,56544,1,-1,0,1,2087,89,0,0,341,Tottenham,Crystal Palace,Everton,Newcastle,Burnley,0,1,0.7,0.7,0.7,70.1
Joachim,Andersen,DEF,FUL,4500000,1,91,3.2,7.11111111111111E-07,2.02222222222222E-05,0,36908,5,31,0,0,0,1,0,20.2,480,0,0,91,0,0.2,0,1,7,0,9,0,1,0.4,65993,0,-1,0,2,2491,178,0,1,471,Chelsea,Burnley,Southampton,Man Utd,Newcastle,3.3,2.5,2.8,3.9,2.8,76.2
Elliot,Anderson,MID,NEW,4500000,0,1,0.0303030303030303,6.73400673400673E-09,2.22222222222222E-07,0,3436,0,0,0,0,0,0,0,0.2,12,0,0,1,0,0,0,0,0,0,0,0,0,0,3862,0,-1,0,0,3,22,0,0,3,Arsenal,Leicester,Man City,Sheffield United,Fulham,0,0,0,0,0,0.2
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,31723,0,0,0,0,0,0,0,0,16,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,13934,0,-1,0,0,0,13,0,0,0,Leeds United F.C.,Wolverhampton,West Ham,Man City,Arsenal,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5300000,2,45,1.40625,2.65330188679245E-07,8.49056603773585E-06,0,44521,3,22,0,0,0,0,0,8.5,31,-2,0,45,2,0.2,0,1.2,0,0,5,0,1,0.2,25024,0,-1,0,0,1520,66,0,0,212,Aston Villa,West Ham,Aston Villa,Sheffield United,Wolverhampton,0.7,1.4,1.1,0.7,0.7,50.1
,Anguissa,MID,FUL,4400000,2,70,2.2,5E-07,1.59090909090909E-05,0,446878,5,34,0,0,0,0,0,15.9,445,-1,0,70,1,0.3,0,1.2,4,0,6,0,3,1.3,466248,0,-1,0,0,2294,232,0,0,350,Chelsea,Burnley,Southampton,Man Utd,Newcastle,1.5,1.7,1.5,1.3,1.5,109.3
Faustino,Anjorin,MID,CHE,4500000,0,0,0,0,0,0,662,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,-1,0,0,0,7,0,0,0,Fulham,Man City,Arsenal,Leicester,Aston Villa,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,6400000,0,90,4.3,6.71875E-07,1.40625E-05,0,3064803,3,21,0,0,0,7,0,14.1,5612,-1,0,90,1,0,0,0.2,13,0,5,0,5,4.7,2687355,0,-1,0,1,1544,81,0,0,255,Burnley,Everton,Brighton,West Brom,Southampton,0,0,0,4.7,5.5,150.2
Alphonse,Areola,GLK,FUL,4600000,2,117,3.5,7.60869565217391E-07,2.54347826086957E-05,0,352784,1,42,0,105,0,0,0,25.4,1771,1,0,117,-1,0.4,0,1.8,8,0,9,0,0,4.7,588547,0,-1,0,1,2970,655,0,0,587,Chelsea,Burnley,Southampton,Man Utd,Newcastle,3.7,2.9,3.2,4.5,3.3,79.7
Stuart,Armstrong,MID,SOU,5500000,5,102,3.6,6.54545454545455E-07,1.85454545454545E-05,0,136662,3,47,0,0,0,4,0,18.5,297,0,0,102,0,0.7,0,4,4,0,8,0,6,0.4,135653,0,-1,0,1,2327,1696,0,0,389,Leicester,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,3.1,6.4,3.6,3.6,2.6,131.6
Kepa,Arrizabalaga,GLK,CHE,4700000,0,24,0.727272727272727,1.54738878143133E-07,5.1063829787234E-06,0,176739,0,6,0,14,0,0,0,5.1,187,-3,0,24,3,0.5,0,2.2,5,0,2,0,0,0.6,53126,0,-1,0,0,450,64,0,0,99,Fulham,Man City,Arsenal,Leicester,Aston Villa,0.4,0.8,0,0.4,0.4,9.6
Ryan,Astley,DEF,EVE,4000000,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,-1,0,0,0,14,0,0,0,Aston Villa,West Ham,Aston Villa,Sheffield United,Wolverhampton,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5200000,0,0,0,0,0,0,6168,0,0,0,0,0,0,0,0,3,-3,0,0,3,0,0,0,0,0,0,0,0,0,927,0,-1,0,0,0,0,0,0,0,Arsenal,Leicester,Man City,Sheffield United,Fulham,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11300000,12,120,4.6,4.07079646017699E-07,1.06194690265487E-05,0,3823411,2,25,0,0,0,10,0,10.6,781,-7,0,120,7,0.2,0,2.8,11,0,8,0,2,6.7,1151959,1,-1,0,3,2084,8356,0,0,332,Newcastle,West Brom,Chelsea,Crystal Palace,Brighton,5.1,10,0,4.5,4.5,156.2
Serge,Aurier,DEF,TOT,5200000,14,79,4.4,8.46153846153846E-07,1.51923076923077E-05,0,466734,0,19,0,0,0,2,0,15.2,578,-3,0,79,3,0.7,0,3.6,4,0,6,0,3,1.5,300107,0,-1,0,1,1515,2444,0,0,356,Sheffield United,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,5.5,5,6,5.3,4.9,83.9
Charlie,Austin,FWD,WBA,5100000,0,5,1,1.96078431372549E-07,9.80392156862745E-07,0,73185,0,5,0,0,0,0,0,1,10,-4,0,5,4,0,0,0,0,0,0,0,0,0.1,16185,0,-1,0,0,135,0,0,0,10,Wolverhampton,Arsenal,Liverpool,West Ham,Leeds United F.C.,0,0,0,0,0,5
Jordan,Ayew,FWD,CRY,5600000,1,66,2.3,4.10714285714286E-07,1.17857142857143E-05,0,556159,2,36,0,0,0,1,0,11.8,312,-4,0,66,4,0.3,0,1.8,2,0,6,0,4,1.4,209469,0,-1,0,0,1899,308,0,0,208,Man City,Sheffield United,Southampton,Aston Villa,Arsenal,1.5,3.4,1.7,1.8,1.9,84.2
Luke,Ayling,DEF,LEE,4400000,0,83,2.4,5.45454545454545E-07,1.88636363636364E-05,0,513950,7,52,0,0,0,0,0,18.9,1381,-1,0,83,1,0.5,0,2.2,1,0,10,0,0,2.5,419813,0,-1,0,0,3039,800,0,0,582,Brighton,Tottenham,Burnley,Southampton,West Brom,2,1.9,1.8,1.7,2.3,148.5
Miguel,Azeez,MID,ARS,4500000,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,-1,0,0,0,12,0,0,0,Newcastle,West Brom,Chelsea,Crystal Palace,Brighton,0,0,0,0,0,0
Cesar,Azpilicueta,DEF,CHE,5900000,0,105,4.8,8.13559322033898E-07,1.77966101694915E-05,0,714238,4,15,0,0,0,1,0,17.8,10410,-1,0,105,1,0.3,0,2,10,0,13,0,1,7.9,786694,0,-1,0,1,1845,2605,0,0,454,Fulham,Man City,Arsenal,Leicester,Aston Villa,5.9,12.4,0,5,6.3,87.7
Eric,Bailly,DEF,MUN,4800000,0,27,0.818181818181818,1.70454545454545E-07,5.625E-06,0,81345,2,11,0,0,0,0,0,5.6,33,-2,0,27,2,0,0,0,6,0,3,0,0,0.3,72199,0,-1,0,0,638,26,0,0,144,Aston Villa,Leicester,Fulham,Wolverhampton,,0,0.8,0,0.4,0.5,16.4
Fabian,Balbuena,DEF,WHU,4100000,0,39,1.18181818181818,2.88248337028825E-07,9.51219512195122E-06,0,291819,1,19,0,0,0,1,0,9.5,100,-4,0,39,4,0,0,-0.2,0,0,4,0,0,0.6,303698,0,-1,0,0,1197,137,0,1,193,Burnley,Everton,Brighton,West Brom,Southampton,0.6,0.6,0.6,0.7,0.7,35
George,Baldock,DEF,SHU,4900000,0,52,1.8,3.6734693877551E-07,1.06122448979592E-05,0,321160,5,49,0,0,0,0,0,10.6,121,-6,0,52,6,0.4,0,2,2,0,2,0,2,0.8,56924,0,-1,0,0,2517,238,0,0,303,Tottenham,Crystal Palace,Everton,Newcastle,Burnley,1.1,1.6,1.1,1,1.2,80.7
Gareth,Bale,MID,TOT,9100000,21,90,2.72727272727273,2.997002997003E-07,9.89010989010989E-06,0,1249459,1,10,0,0,0,9,0,9.9,4421,-4,0,90,4,0.7,0,6.4,13,0,4,0,2,3.3,1494122,0,-1,0,3,718,22469,0,0,286,Sheffield United,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,3.4,2.2,2.3,1.7,2.1,100.5
Patrick,Bamford,FWD,LEE,6400000,1,166,4.9,7.65625E-07,2.59375E-05,0,4879106,3,48,0,0,0,14,0,25.9,73040,9,1,166,-9,0.3,0,2,19,0,9,0,10,42.2,7423492,0,-1,0,4,2782,4772,-1,0,529,Brighton,Tottenham,Burnley,Southampton,West Brom,5.7,5.5,5.9,5.7,6,236.3
Jamal,Baptiste,DEF,WHU,4000000,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,-1,0,0,0,15,0,0,0,Burnley,Everton,Brighton,West Brom,Southampton,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4400000,0,2,0.0606060606060606,1.37741046831956E-08,4.54545454545455E-07,0,43705,2,8,0,0,0,0,0,0.5,16,-1,0,2,1,0,0,0,0,0,0,0,0,0.2,13212,0,-1,0,0,273,10,0,0,28,West Ham,Fulham,Leeds United F.C.,Liverpool,Sheffield United,0,0,0,0,0,5.9
Ross,Barkley,MID,AVL,5800000,2,71,2.21875,3.82543103448276E-07,1.22413793103448E-05,0,515447,0,22,0,0,0,3,0,12.2,202,-2,0,71,2,0.3,0,1.8,4,0,7,0,2,0.8,514434,0,-1,0,1,1426,349,0,0,268,Everton,Man Utd,Everton,Crystal Palace,Tottenham,2,2.4,1.3,1.3,1.3,123.1
Ashley,Barnes,FWD,BUR,6000000,0,48,2.7,4.5E-07,8E-06,0,163612,4,17,0,0,0,3,0,8,57,0,0,48,0,0,0,0,7,0,6,0,0,0.2,160986,0,-1,0,0,1290,128,0,0,100,West Ham,Fulham,Leeds United F.C.,Liverpool,Sheffield United,2.2,2.7,2.1,2.2,2.6,88.1
Harvey,Barnes,MID,LEI,6600000,0,126,5,7.57575757575758E-07,1.90909090909091E-05,0,2707786,0,25,0,0,0,9,0,19.1,1120,-4,0,126,4,0,0,0,13,0,7,0,5,2.9,2581245,0,-1,0,2,1944,32,0,0,348,Southampton,Newcastle,Man Utd,Chelsea,Tottenham,0,0,0,0,0,172.7
Kyle,Bartley,DEF,WBA,4400000,1,74,2.8,6.36363636363636E-07,1.68181818181818E-05,0,52625,4,42,0,0,0,3,0,16.8,275,-1,0,74,1,0.5,0,2,3,0,5,0,1,0.3,59858,0,-1,0,1,2178,65,0,0,382,Wolverhampton,Arsenal,Liverpool,West Ham,Leeds United F.C.,3.4,3.1,3.3,3.4,2.5,86.8
Chris,Basham,DEF,SHU,4600000,0,38,1.4,3.04347826086957E-07,8.26086956521739E-06,0,151163,3,48,0,0,0,0,0,8.3,47,-4,0,38,4,0,0,0,2,0,0,0,1,0.5,40413,0,-1,0,0,2216,19,0,0,328,Tottenham,Crystal Palace,Everton,Newcastle,Burnley,0.7,1.1,0.7,0.7,0.8,78.1
Michy,Batshuayi,FWD,CRY,5700000,0,40,1.25,2.19298245614035E-07,7.01754385964912E-06,0,186223,0,14,0,0,0,2,0,7,105,-3,0,40,3,0.3,0,1.5,2,0,2,0,2,0.6,71966,0,-1,0,0,699,98,0,0,109,Man City,Sheffield United,Southampton,Aston Villa,Arsenal,0.6,1.3,0.6,0.7,0.7,44.9
Jan,Bednarek,DEF,SOU,4700000,2,93,2.8,5.95744680851064E-07,1.97872340425532E-05,0,1261759,3,56,0,0,0,1,0,19.8,1370,2,0,93,-2,0.3,0,1.2,11,0,9,0,1,5.2,1421532,1,-1,0,2,2875,2630,0,1,557,Leicester,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,2.4,6.5,2.9,2.7,2.9,86.3
Hector,Bellerin,DEF,ARS,5000000,8,93,3.9,7.8E-07,1.86E-05,0,1146627,8,24,0,0,0,1,0,18.6,830,0,0,93,0,0.4,0,2,17,0,7,0,3,3.8,1034656,0,-1,0,3,2067,2644,0,0,418,Newcastle,West Brom,Chelsea,Crystal Palace,Brighton,4.2,8.8,0,4.3,3.8,92.6
Filip,Benkovic,DEF,LEI,4300000,0,0,0,0,0,0,5026,0,0,0,0,0,0,0,0,2,-2,0,0,2,0,0,0,0,0,0,0,0,0,296,0,-1,0,0,0,0,0,0,0,Southampton,Newcastle,Man Utd,Chelsea,Tottenham,0,0,0,0,0,0
Ryan,Bennett,DEF,WOL,4400000,0,0,0,0,0,0,28285,0,0,0,0,0,0,0,0,7,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3905,0,-1,0,0,0,0,0,0,0,West Brom,Brighton,Tottenham,Everton,Man Utd,0,0,0,0,0,0
Said,Benrahma,MID,WHU,5900000,0,50,1.51515151515152,2.56805341551104E-07,8.47457627118644E-06,0,62970,0,15,0,0,0,0,0,8.5,79,-1,0,50,1,0.1,0,0.8,0,0,3,0,4,0.2,68339,0,-1,0,0,1109,27,0,0,170,Burnley,Everton,Brighton,West Brom,Southampton,1,0.8,0.8,0.9,0.9,75.3
Josh,Benson,MID,BUR,4400000,0,10,0.303030303030303,6.8870523415978E-08,2.27272727272727E-06,0,4060,0,7,0,0,0,0,0,2.3,8,-1,0,10,1,0,0,0,0,0,1,0,0,0,4374,0,-1,0,0,260,6,0,0,27,West Ham,Fulham,Leeds United F.C.,Liverpool,Sheffield United,0.2,0.2,0.2,0.2,0.2,3.7
Christian,Benteke,FWD,CRY,5500000,2,78,3,5.45454545454545E-07,1.41818181818182E-05,0,183735,0,28,0,0,0,6,0,14.2,773,0,0,78,0,0.6,0,3.5,9,0,4,0,2,0.8,214350,0,-1,0,2,1473,4383,0,1,222,Man City,Sheffield United,Southampton,Aston Villa,Arsenal,2.4,5.3,2.7,2.8,2.9,126.2
Gaetano,Berardi,DEF,LEE,4000000,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,-1,0,0,0,15,0,0,0,Brighton,Tottenham,Burnley,Southampton,West Brom,0,0,0,0,0,0
Sander,Berge,MID,SHU,4900000,1,30,0.909090909090909,1.85528756957328E-07,6.12244897959184E-06,0,32176,4,22,0,0,0,1,0,6.1,6,-1,0,30,1,0,0,0.2,1,0,0,0,1,0.1,24198,0,-1,0,0,1060,12,0,0,151,Tottenham,Crystal Palace,Everton,Newcastle,Burnley,0.5,0.5,0.5,0.5,0.5,48.8
Steven,Bergwijn,MID,TOT,7000000,4,45,1.36363636363636,1.94805194805195E-07,6.42857142857143E-06,0,112568,2,11,0,0,0,0,0,6.4,47,-5,0,45,5,0.1,0,1,0,0,5,0,4,0.4,35504,0,-1,0,0,1064,30,0,0,99,Sheffield United,Leeds United F.C.,Wolverhampton,Aston Villa,Leicester,1.2,0.7,0.7,0.7,0.7,38.8
Adrian,Bernabe,MID,MCI,4500000,0,0,0,0,0,0,1533,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,-1,0,0,0,1,0,0,0,Crystal Palace,Chelsea,Newcastle,Brighton,Everton,0,0,0,0,0,0
,Bernard,MID,EVE,5700000,1,19,0.59375,1.04166666666667E-07,3.33333333333333E-06,0,21671,2,5,0,0,0,1,0,3.3,18,-3,0,19,3,0,0,0.2,1,0,2,0,0,0.1,12700,0,-1,0,0,404,29,0,0,69,Aston Villa,West Ham,Aston Villa,Sheffield United,Wolverhampton,0.3,0.6,0.3,0.3,0.3,30.6
,Bernardo,DEF,BHA,3900000,0,5,1.7,4.35897435897436E-07,1.28205128205128E-06,0,901471,0,3,0,0,0,0,0,1.3,515,-1,0,5,1,0,0,0,0,0,0,0,0,4.1,319447,0,-1,0,0,205,0,0,0,30,Leeds United F.C.,Wolverhampton,West Ham,Man City,Arsenal,0,0,0,0,0,12.8
,Bernardo Silva,MID,MCI,7400000,0,91,3.8,5.13513513513513E-07,1.22972972972973E-05,0,241616,4,12,0,0,0,2,0,12.3,2257,-1,0,91,1,0.8,0,5.7,9,0,11,0,7,1.1,252640,0,-1,0,2,1897,708,0,0,396,Crystal Palace,Chelsea,Newcastle,Brighton,Everton,3.1,3.3,3.6,3.7,3.4,128.7
Ryan,Bertrand,DEF,SOU,5000000,0,78,2.7,5.4E-07,1.56E-05,0,185664,5,51,0,0,0,0,0,15.6,1100,0,0,78,0,0.1,0,0.5,4,0,8,0,2,0.8,133197,0,-1,0,0,2598,13,0,0,404,Leicester,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,0,0,0,0,0,71.4
Marcus,Bettinelli,GLK,FUL,4300000,0,0,0,0,0,0,5520,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,895,0,-1,0,0,0,0,0,0,0,Chelsea,Burnley,Southampton,Man Utd,Newcastle,0,0,0,0,0,0
Nathan,Bishop,GLK,MUN,4000000,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,-1,0,0,0,8,0,0,0,Aston Villa,Leicester,Fulham,Wolverhampton,,0,0,0,0,0,0
Yves,Bissouma,MID,BHA,4400000,3,71,2.2,5E-07,1.61363636363636E-05,0,554362,6,35,0,0,0,1,0,16.1,617,-1,0,71,1,0.6,0,2.6,2,0,11,0,0,1.6,364721,0,-1,0,0,2752,859,0,1,429,Leeds United F.C.,Wolverhampton,West Ham,Man City,Arsenal,1.5,1.4,1.4,1.1,1.5,90.8
Jayden,Bogle,DEF,SHU,4300000,1,37,1.12121212121212,2.60747004933051E-07,8.6046511627907E-06,0,16623,2,19,0,0,0,2,0,8.6,33,-2,0,37,2,0.5,0,2,0,0,2,0,0,0.1,12797,0,-1,0,1,1017,43,0,0,147,Tottenham,Crystal Palace,Everton,Newcastle,Burnley,0.6,0.8,0.6,0.6,0.6,55.4
