FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Aaron,Mooy,MID,BHA,5000000,0,0,0,0,0,0,11242,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9986,0,-1,0,0,0,0,0,0,0,Wolverhampton,Man City,Leeds United F.C.,Fulham,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wes,Morgan,DEF,LEI,4400000,0,3,0.1875,4.26136363636364E-08,6.81818181818182E-07,0,12031,0,0,0,0,0,0,0,0.7,194,-1,0,3,1,0,0,0,0,0,0,0,0,0.1,8887,0,-1,0,0,16,109,0,0,9,Newcastle,Southampton,Chelsea,Everton,Leeds United F.C.,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
Mason,Mount,MID,CHE,6900000,2,58,3.6,5.21739130434783E-07,8.40579710144928E-06,0,818889,2,20,0,0,0,1,0,8.4,17629,-1,0,58,1,0.5,0,3.3,5,0,4,0,5,5.2,602810,0,-1,0,1,1349,3789,0,0,263,Man City,Fulham,Leicester,Wolverhampton,Burnley,2.9,0,6.6,3.8,4.3,2.9,4.7,3.6,2.9,2.4,3.3,3.4,2.1,4.1,2.5,3.4,2.9,4,2.1,3.1,2.7,2.9,121.5
Lys,Mousset,FWD,SHU,5800000,2,8,0.5,8.62068965517241E-08,1.37931034482759E-06,0,28955,0,5,0,0,0,0,0,1.4,139,-2,0,8,2,0.2,0,1,0,0,0,0,0,0.1,3109,0,-1,0,0,199,224,0,0,9,Crystal Palace,Newcastle,Tottenham,Man Utd,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.9
,Moutinho,MID,WOL,5200000,2,24,1.6,3.07692307692308E-07,4.61538461538462E-06,0,196364,2,20,0,0,0,0,0,4.6,752,-3,0,24,3,0.2,0,1.1,0,0,2,0,0,0.9,38933,0,-1,0,0,1068,254,0,1,151,Brighton,Everton,West Brom,Chelsea,Crystal Palace,0.9,0.9,1.2,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.8,1.6,1.3,1,1,0.8,0.8,0.8,49.9
Joel,Mumbongo,FWD,BUR,4500000,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,-1,0,0,0,112,0,0,0,Man Utd,West Ham,Liverpool,Aston Villa,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob,Murphy,MID,NEW,4900000,1,26,1.73333333333333,3.53741496598639E-07,5.30612244897959E-06,0,7081,2,13,0,0,0,1,0,5.3,189,-1,0,26,1,0.4,0,2,2,0,1,0,1,0.1,6811,0,-1,0,1,646,276,0,0,92,Leicester,Sheffield United,Arsenal,Leeds United F.C.,Everton,0.9,1.8,1.1,0.9,1.1,0.9,1,0.9,0.9,1.1,1.3,0.9,1.2,0.9,1.3,0.9,0.9,0.9,1.1,0.9,1.7,1.1,32.1
Glenn,Murray,FWD,BHA,4800000,0,0,0,0,0,0,17956,0,0,0,0,0,0,0,0,53,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,4931,0,-1,0,0,0,13,0,0,0,Wolverhampton,Man City,Leeds United F.C.,Fulham,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran,Mustafi,DEF,ARS,5000000,0,3,0.1875,3.75E-08,6E-07,0,12608,0,1,0,0,0,0,0,0.6,158,0,0,3,0,0,0,0.1,0,0,0,0,0,0.1,12767,0,-1,0,0,45,122,0,0,16,West Brom,Crystal Palace,Newcastle,Southampton,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.3
Yoshinori,Muto,FWD,NEW,4800000,0,0,0,0,0,0,26636,0,0,0,0,0,0,0,0,49,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,5661,0,-1,0,0,0,15,0,0,0,Leicester,Sheffield United,Arsenal,Leeds United F.C.,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
