FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Pierre-Emerick,Aubameyang,MID,ARS,11500000,2,37,3.4,2.95652173913043E-07,3.21739130434783E-06,0,2945405,2,14,0,0,0,2,0,3.2,28549,-5,0,37,5,0.2,0,2.2,1,0,3,0,1,9.5,463128,0,-1,0,0,986,3047,0,0,123,Tottenham,Burnley,Southampton,Everton,Chelsea,3.2,3,2.9,3.5,2,3.7,3.4,2.5,2.5,2.9,1.7,3.1,3.4,2,2.1,3.5,4,1.7,3,2,4.6,2.8,2.5,4.2,3.5,3.3,2.4,2.5,58.9
Serge,Aurier,DEF,TOT,5200000,7,32,3.2,6.15384615384615E-07,6.15384615384615E-06,0,286942,0,4,0,0,0,1,0,6.2,1510,-3,0,32,3,0.9,0,4.8,2,0,3,0,1,2,160937,0,-1,0,1,450,7059,0,0,132,Arsenal,Crystal Palace,Liverpool,Leicester,Wolverhampton,2.9,3.3,4.1,1.9,3.8,2.8,1.7,4.4,3.6,3.8,3.6,1.7,3.4,4.4,3.9,2.5,3.2,4.5,2.3,3.4,3,2.8,3.7,2.4,3.8,3.3,2.5,3.8,25.9
Charlie,Austin,FWD,WBA,5100000,0,0,0,0,0,0,64225,0,0,0,0,0,0,0,0,295,-4,0,0,4,0,0,0,0,0,0,0,0,0.2,11617,0,-1,0,0,0,234,0,0,0,Crystal Palace,Newcastle,Man City,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5700000,1,25,2.8,4.91228070175439E-07,4.3859649122807E-06,0,430503,0,9,0,0,0,1,0,4.4,4689,-3,0,25,3,0.3,0,1.7,2,0,2,0,1,1.9,115716,0,-1,0,0,600,1307,0,0,67,West Brom,Tottenham,West Ham,Liverpool,Aston Villa,2,2,1.6,3.1,2.4,2.4,3.3,2.3,1.6,2.3,2.5,2.9,2.6,2.7,2.7,3.4,2.1,3.4,2.6,2.5,1.9,1.7,2.6,2.6,2.9,2.1,2.3,1.9,25
Luke,Ayling,DEF,LEE,4500000,1,29,2.6,5.77777777777778E-07,6.44444444444444E-06,0,236702,2,20,0,0,0,0,0,6.4,3166,0,0,29,0,0.9,0,4,1,0,4,0,0,3.8,240810,0,-1,0,0,969,4530,0,0,195,Chelsea,West Ham,Newcastle,Man Utd,Burnley,2.4,2,1.3,3.8,1.6,2.7,2.6,1.5,1.4,2.6,2.9,1.3,2.1,3.5,2.9,1.6,3,1.3,2.8,1.6,3.5,2.7,2,2.7,1.3,2.7,1.8,2.3,49.9
Cesar,Azpilicueta,DEF,CHE,5700000,0,17,1.7,2.98245614035088E-07,2.98245614035088E-06,0,397982,1,3,0,0,0,0,0,3,5285,-3,0,17,3,0,0,0,0,0,2,0,1,2.9,77108,0,-1,0,0,320,367,0,0,72,Leeds United F.C.,Everton,Wolverhampton,West Ham,Arsenal,0.8,0.9,1.4,1.2,1.8,0.9,1.7,1.4,1.3,1.3,0.9,1.2,1.3,0.8,0.8,1.2,0.8,1.4,1.6,1.4,1.2,0.8,1.5,1.1,1.8,1.1,0.8,1.8,14.4
Eric,Bailly,DEF,MUN,4900000,0,-1,-0.111111111111111,-2.26757369614512E-08,-2.04081632653061E-07,0,20616,1,7,0,0,0,0,0,-0.2,83,-1,0,-1,1,0,0,0,0,0,0,0,0,0.2,8338,0,-1,0,0,98,63,0,0,11,West Ham,Man City,Sheffield United,Leeds United F.C.,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Fabian,Balbuena,DEF,WHU,4400000,1,36,4,9.09090909090909E-07,8.18181818181818E-06,0,52736,1,10,0,0,0,1,0,8.2,2521,-1,0,36,1,0.9,0,3.8,0,0,4,0,0,1.9,167898,0,-1,0,0,810,7492,0,0,158,Man Utd,Leeds United F.C.,Crystal Palace,Chelsea,Brighton,4.8,4.7,5,3.9,3.8,3,3.4,5.3,4.2,4.1,5.7,5.4,4.5,4.1,3.1,5.1,3.1,5.9,4.7,4.8,3.4,4.2,3.1,4.4,3.1,4.4,4.3,3.9,24.3
George,Baldock,DEF,SHU,5200000,1,18,1.6,3.07692307692308E-07,3.46153846153846E-06,0,251896,1,18,0,0,0,0,0,3.5,2423,-3,0,18,3,0.3,0,1.7,0,0,0,0,1,1.5,40713,0,-1,0,0,990,159,0,0,132,Leicester,Southampton,Man Utd,Brighton,Everton,0.8,0.8,1.2,1.1,0.8,1.1,1,0.8,0.8,1.8,1.6,1.3,0.8,1.3,1.1,1.6,0.8,1.2,0.9,1.2,1.1,1.2,0.8,1,1.2,0.8,1,0.9,45.8
Gareth,Bale,MID,TOT,9400000,0,13,1.3,1.38297872340426E-07,1.38297872340426E-06,0,129102,0,3,0,0,0,1,0,1.4,4199,-1,1,13,1,0.1,0,0.8,3,0,1,0,0,0.5,155980,0,-1,0,0,115,419,-1,0,33,Arsenal,Crystal Palace,Liverpool,Leicester,Wolverhampton,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,1.2,0.6,0.8,0.6,0.7,0.6,0.6,0.6,0.6,0.9,0.6,1,0.6,0.8,0.7,0.7,1,0.6,0.6,0.8,13.8
