FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Nathan,Ake,DEF,MCI,5400000,0,13,1.3,2.40740740740741E-07,2.40740740740741E-06,0,538417,2,6,0,0,0,1,0,2.4,1638,-1,0,13,1,0,0,0,0,0,1,0,0,3.5,250064,0,-1,0,0,289,174,0,0,57,Man Utd,West Brom,Southampton,Newcastle,Everton,1.2,1.1,0.6,0.6,0.6,0.6,0.7,1,0.6,0.8,0.7,0.8,0.6,1,1,1,0.7,1.2,0.7,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,10.8
Marc,Albrighton,MID,LEI,5300000,0,13,1.18181818181818,2.22984562607204E-07,2.45283018867925E-06,0,12405,0,5,0,0,0,0,0,2.5,49,-2,0,13,2,0.3,0,1.8,0,0,0,0,1,0.1,4292,0,-1,0,0,350,29,0,0,63,Brighton,Everton,Tottenham,Man Utd,Crystal Palace,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,16.7
Toby,Alderweireld,DEF,TOT,5400000,1,33,4.1,7.59259259259259E-07,6.11111111111111E-06,0,166893,0,5,0,0,0,0,0,6.1,311,-1,0,33,1,0.6,0,3.2,3,0,4,0,0,1.6,67475,0,-1,0,0,631,768,0,0,144,Crystal Palace,Liverpool,Leicester,Wolverhampton,Fulham,4.9,5.4,3.3,5.2,4.6,3,5.9,4.9,5.5,5,3,5,5.5,5.6,4.2,4.7,6,3.3,4.5,4.5,4,5.1,3.9,5,5.2,3.8,5.4,21.1
Trent,Alexander-Arnold,DEF,LIV,7200000,0,22,2.4,3.33333333333333E-07,3.05555555555556E-06,0,3120535,1,16,0,0,0,0,0,3.1,1883,-3,0,22,3,0,0,0.2,4,0,1,0,1,13.4,425792,0,-1,0,0,712,2727,0,0,148,Fulham,Tottenham,Crystal Palace,West Brom,Newcastle,1.8,1.7,1.7,2.8,1.5,1.2,2.3,2.7,1.6,2.1,1.9,3.4,2,1.6,1.7,2.6,1.9,1.6,2.4,2.1,1.8,1.4,2.9,1.8,1.8,1.8,2.6,46.4
Ezgjan,Alioski,DEF,LEE,4400000,0,27,2.45454545454545,5.57851239669422E-07,6.13636363636364E-06,0,45700,1,9,0,0,0,0,0,6.1,1156,-1,0,27,1,0.9,0,4,4,0,3,0,0,0.9,59398,0,-1,0,1,548,2108,0,0,112,West Ham,Newcastle,Man Utd,Burnley,West Brom,1.9,1.2,3.5,1.7,2.5,2.3,1.3,1.4,2.1,2.7,1.2,2,3.1,2.6,1.5,2.8,1.2,2.5,1.6,3.1,2.8,2.1,2.4,1.2,2.5,1.5,2.2,28.9
,Alisson,GLK,LIV,5900000,0,32,4,6.77966101694915E-07,5.42372881355932E-06,0,855401,1,8,0,15,0,0,0,5.4,2736,-1,0,32,1,0.4,0,2.2,3,0,2,0,0,6.3,283732,0,-1,1,1,720,281,0,0,144,Fulham,Tottenham,Crystal Palace,West Brom,Newcastle,0,3.8,3.9,5.6,3.4,2.4,4.9,5.2,3.7,4.5,4.2,6,4.3,3.6,3.8,5.3,4.2,3.7,5.1,4.5,3.9,3.2,5.6,4.1,3.9,4,5.4,17.3
,Allan,MID,EVE,5300000,3,20,1.8,3.39622641509434E-07,3.77358490566038E-06,0,145291,4,16,0,0,0,0,0,3.8,315,-2,0,20,2,0.4,0,2,0,0,2,0,0,0.9,80389,0,-1,0,0,988,195,0,0,135,Chelsea,Leicester,Arsenal,Sheffield United,Man City,0.9,1.3,1,1.8,0.9,0.9,1,1.1,0.9,0.9,1.4,1.1,1.2,0.9,1,1.1,1.3,1.2,0.9,1.3,0.9,1.3,0.9,1,1.6,1.2,0.9,28.4
Bamidele,Alli,MID,TOT,7400000,0,2,0.181818181818182,2.45700245700246E-08,2.7027027027027E-07,0,243099,0,0,0,0,0,0,0,0.3,137,-6,0,2,6,0,0,0,0,0,0,0,0,0.6,19196,0,-1,0,0,66,110,0,0,8,Crystal Palace,Liverpool,Leicester,Wolverhampton,Fulham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.8
Miguel,Almiron,MID,NEW,5600000,9,27,2.7,4.82142857142857E-07,4.82142857142857E-06,0,67788,1,8,0,0,0,1,0,4.8,147,-4,0,27,4,0.8,0,4.3,2,0,2,0,1,0.4,21407,0,-1,0,1,567,665,0,0,95,West Brom,Leeds United F.C.,Fulham,Man City,Liverpool,2.3,2.8,2,1.7,1.4,1.4,3.4,2.7,1.4,2.5,1.5,1.7,2.4,2.4,2,2.5,1.4,2.7,1.4,3,1.4,1.5,1.7,2.7,1.5,2.6,2.5,38.9
Marcos,Alonso,DEF,CHE,5700000,0,2,0.181818181818182,3.18979266347687E-08,3.50877192982456E-07,0,184295,1,6,0,0,0,0,0,0.4,446,-3,0,2,3,0,0,0,0,0,0,0,0,1.5,38924,0,-1,0,0,225,55,0,0,36,Everton,Wolverhampton,West Ham,Arsenal,Aston Villa,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.5
