FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Joselu,FWD,NEW,5000000,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0.1,71,0,-1,0,0,0,71,0,0,0,Arsenal,Norwich,Tottenham,Watford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jota,MID,AVL,6000000,1,1,7.23362913010526E-29,1.20560485501754E-35,1.66666666666667E-07,0,688,0,3,0,0,0,0,0,0.2,688,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,311,0,-1,0,0,31,311,0,0,1,Tottenham,Bournemouth,Everton,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Diogo,Jota,FWD,WOL,6500000,2,2,0.0526315789473684,8.09716599190283E-09,3.07692307692308E-07,0,10634,0,0,0,0,0,0,0,0.3,10634,0,0,2,0,0.3,0,2,0,0,1,0,0,13.6,6984,0,-1,0,0,61,6984,0,0,8,Leicester,Man Utd,Burnley,Everton,Chelsea,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0
James,Justin,DEF,LEI,5000000,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0.1,59,0,-1,0,0,0,59,0,0,0,Wolverhampton,Chelsea,Sheffield United,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Kabasele,DEF,WAT,4500000,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0.3,93,0,-1,0,0,0,93,0,0,0,Brighton,Everton,West Ham,Newcastle,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovre,Kalinic,GLK,AVL,4500000,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0.1,48,0,-1,0,0,0,48,0,0,0,Tottenham,Bournemouth,Everton,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Kane,FWD,TOT,11000000,13,13,0.342105263157895,3.11004784688995E-08,1.18181818181818E-06,0,15215,0,1,0,0,0,2,0,1.2,15215,0,0,13,0,1.2,0,13,3,0,0,0,0,29.6,25499,0,-1,0,1,90,25499,0,0,50,Aston Villa,Man City,Newcastle,Arsenal,Crystal Palace,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,18.3
N'Golo,Kante,MID,CHE,5000000,0,0,0,0,0,0,10949,0,0,0,0,0,0,0,0,10949,0,0,0,0,0,0,0,0,0,0,0,0,7.1,5248,0,-1,0,0,0,5248,0,0,0,Man Utd,Leicester,Norwich,Sheffield United,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beram,Kayal,MID,BHA,4500000,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0.1,27,0,-1,0,0,0,27,0,0,0,Watford,West Ham,Southampton,Man City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moise,Kean,FWD,EVE,7000000,1,1,0.0263157894736842,3.7593984962406E-09,1.42857142857143E-07,0,12575,0,0,0,0,0,0,0,0.1,12575,0,0,1,0,0.1,0,1,0,0,0,0,0,7.3,6658,0,-1,0,0,21,6658,0,0,4,Crystal Palace,Watford,Aston Villa,Wolverhampton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
