FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jordon,Ibe,MID,BOU,4600000,0,2,0.0740740740740741,1.61030595813205E-08,4.34782608695652E-07,0,23541,0,1,0,0,0,0,0,0.4,21,-4,0,2,4,0,0,0,0,0,0,0,0,0.1,7177,0,-1,0,0,48,8,0,0,10,Chelsea,Liverpool,Crystal Palace,Wolverhampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,1.2
Adam,Idah,FWD,NOR,4400000,0,3,0.111111111111111,2.52525252525253E-08,6.81818181818182E-07,0,13707,0,3,0,0,0,0,0,0.7,39,-1,0,3,1,0,0,0,0,0,0,0,0,0.1,17199,0,-1,0,0,65,36,0,0,9,Leicester,Sheffield United,Southampton,Everton,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Odion,Ighalo,FWD,MUN,6500000,0,2,0.0740740740740741,1.13960113960114E-08,3.07692307692308E-07,0,18175,0,0,0,0,0,0,0,0.3,610,0,0,2,0,0.1,0,0.7,0,0,0,0,0,0.6,64458,0,-1,0,0,11,2958,0,0,2,Everton,Man City,Tottenham,Sheffield United,Brighton,0,0,0,0,0,0,0,0,0,0,0,5.9
Kelechi,Iheanacho,FWD,LEI,5700000,2,43,3.9,6.84210526315789E-07,7.54385964912281E-06,0,59237,1,7,0,0,0,3,0,7.5,606,-3,0,43,3,0.2,0,1,5,0,1,0,4,0.4,57132,0,-1,0,1,521,783,0,0,144,Norwich,Aston Villa,Watford,Brighton,Everton,4.6,5.1,4,4.6,3.8,4.4,4.1,4.3,3.3,4.4,4.8,65.2
Danny,Ings,FWD,SOU,7200000,1,138,4.9,6.80555555555556E-07,1.91666666666667E-05,0,1163983,2,35,0,0,0,15,0,19.2,18049,12,-1,138,-12,0.4,0,3,28,0,3,0,1,33.9,3427722,0,-1,0,2,1903,16495,1,0,502,West Ham,Newcastle,Norwich,Arsenal,Watford,6.1,5.4,6.5,5.8,5.9,5.8,5.5,5.6,6,6.2,4.4,203.3
Alex,Iwobi,MID,EVE,5600000,0,38,2.1,3.75E-07,6.78571428571429E-06,0,239799,0,26,0,0,0,1,0,6.8,58,-4,0,38,4,0.1,0,0.8,2,0,1,0,0,0.9,134079,0,-1,0,0,1162,35,0,0,168,Man Utd,Chelsea,Liverpool,Norwich,Leicester,1.8,1,1.1,1,1.3,1,1.6,1.3,1.7,1.8,2,76
,Izquierdo,MID,BHA,5400000,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,186,0,-1,0,0,0,1,0,0,0,Crystal Palace,Wolverhampton,Arsenal,Leicester,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
,Jack Robinson,DEF,SHU,4000000,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,0,-1,0,0,0,35,0,0,0,Norwich,Newcastle,Man Utd,Tottenham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Jagielka,DEF,SHU,4200000,0,4,0.148148148148148,3.52733686067019E-08,9.52380952380952E-07,0,46327,0,3,0,0,0,0,0,1,32,-3,0,4,3,0,0,0,0,0,0,0,0,0.3,16313,0,-1,0,0,128,21,0,0,31,Norwich,Newcastle,Man Utd,Tottenham,Burnley,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.5
Alireza,Jahanbakhsh,MID,BHA,5800000,1,25,0.925925925925926,1.59642401021711E-07,4.31034482758621E-06,0,13877,0,3,0,0,0,2,0,4.3,49,-2,0,25,2,0.2,0,1.2,2,0,1,0,1,0.1,12289,0,-1,0,0,276,10,0,0,82,Crystal Palace,Wolverhampton,Arsenal,Leicester,Man Utd,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,25.7
