FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Will,Norris,GLK,WOL,4000000,0,0,0,0,0,0,38264,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0.6,21687,0,-1,0,0,0,141,0,0,0,Liverpool,Man Utd,Leicester,Norwich,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,Norwood,MID,SHU,4900000,1,62,2.6,5.30612244897959E-07,1.26530612244898E-05,0,43781,6,23,0,0,0,1,0,12.7,813,-1,0,62,1,0.7,0,3.2,4,0,8,0,1,0.3,40296,0,-1,0,1,2013,722,0,0,380,Man City,Crystal Palace,Bournemouth,Brighton,Aston Villa,1.4,1.8,2.5,2.4,1.5,2.3,1.9,1.5,1.9,2,2.3,1.8,1.5,2.5,2.3,105.7
?rjan,Nyland,GLK,AVL,4300000,0,3,0.130434782608696,3.03336703741153E-08,6.97674418604651E-07,0,16265,0,8,0,8,0,0,0,0.7,738,-2,0,3,2,0,0,0.2,0,0,0,0,0,0.2,17202,0,-1,0,0,177,192,0,0,34,Watford,Bournemouth,Tottenham,Southampton,Sheffield United,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.8
Michael,Obafemi,FWD,SOU,4900000,2,19,0.826086956521739,1.68589174800355E-07,3.87755102040816E-06,0,21338,0,5,0,0,0,1,0,3.9,291,-1,0,19,1,0.4,0,1.8,2,0,2,0,0,0.2,12697,0,-1,0,0,353,271,0,0,62,Crystal Palace,Liverpool,Burnley,Aston Villa,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.8
Pedro,Obiang,MID,WHU,4500000,0,0,0,0,0,0,5258,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1741,0,-1,0,0,0,7,0,0,0,Leicester,Liverpool,Brighton,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,O'Connell,DEF,SHU,4600000,2,79,3.3,7.17391304347826E-07,1.71739130434783E-05,0,149374,3,23,0,0,0,0,0,17.2,6732,1,0,79,-1,0.5,0,2.3,5,0,8,0,1,2.6,295144,0,-1,0,1,2160,14515,0,0,410,Man City,Crystal Palace,Bournemouth,Brighton,Aston Villa,2.8,3.1,3.3,3.7,4,3.8,3.6,2.5,4.2,2.4,3,3.4,2.8,4.2,3,79.7
Angelo,Ogbonna,DEF,WHU,4500000,-1,60,3.3,7.33333333333333E-07,1.33333333333333E-05,0,82691,3,24,0,0,0,2,0,13.3,6450,0,0,60,0,0.3,0,1.4,0,0,6,0,0,1.6,165340,0,-1,0,0,1620,1129,0,0,295,Leicester,Liverpool,Brighton,Man City,Liverpool,6.1,3.7,2.7,3,2.6,2.4,3.1,3.5,3.4,3.5,3.2,2.9,3.5,2.4,4.9,51.4
Divock,Origi,FWD,LIV,5200000,1,45,2.4,4.61538461538462E-07,8.65384615384615E-06,0,588218,0,9,0,0,0,3,0,8.7,3176,-3,0,45,3,0.2,0,0.9,6,0,0,0,2,2.5,412228,0,-1,0,1,419,1996,0,0,164,Wolverhampton,West Ham,Southampton,Norwich,West Ham,3.8,2,2.4,2.1,1.9,2.2,1.7,2.3,2.2,2.5,1.9,2.2,2.1,2.1,1.5,38.5
,Oriol Romeu,MID,SOU,4300000,2,32,1.7,3.95348837209302E-07,7.44186046511628E-06,0,136077,3,28,0,0,0,0,0,7.4,4189,-2,0,32,2,0.2,0,0.8,0,0,3,0,0,1.6,156673,0,-1,0,0,1196,2493,0,0,188,Crystal Palace,Liverpool,Burnley,Aston Villa,West Ham,1,0.8,1.1,0.9,0.9,1.1,0.9,1,1.2,0.8,1,0.8,1,1.3,1.4,40.1
Ben,Osborn,MID,SHU,4700000,0,4,0.173913043478261,3.70027752081406E-08,8.51063829787234E-07,0,2863,0,0,0,0,0,0,0,0.9,39,-3,0,4,3,0,0,0,0,0,0,0,0,0,1073,0,-1,0,0,51,35,0,0,17,Man City,Crystal Palace,Bournemouth,Brighton,Aston Villa,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.7
Nicolas,Otamendi,DEF,MCI,5000000,9,56,3.7,7.4E-07,1.12E-05,0,698128,3,15,0,0,0,2,0,11.2,2282,-5,0,56,5,0.3,0,1.7,5,0,4,0,1,2.1,701125,0,-1,0,1,1111,3410,0,0,250,Sheffield United,Tottenham,West Ham,Leicester,Arsenal,3.6,4.4,4.8,3.5,3.3,3.1,3.6,3.8,3.7,3.7,5,3.7,3.7,3.5,4.4,64.3
Owen,Otasowie,MID,WOL,4500000,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,-1,0,0,0,14,0,0,0,Liverpool,Man Utd,Leicester,Norwich,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut,Ozil,MID,ARS,7200000,1,35,1.52173913043478,2.11352657004831E-07,4.86111111111111E-06,0,160763,0,18,0,0,0,0,0,4.9,4488,-3,0,35,3,0.3,0,2.2,1,0,2,0,2,1.1,110008,0,-1,0,0,1118,2855,0,0,177,Chelsea,Burnley,Newcastle,Everton,Man City,0.8,0.8,1.1,1.1,0.8,0.8,0.8,1,1,0.8,0.8,0.8,0.8,0.8,1.1,74.5
Troy,Parrott,FWD,TOT,4300000,0,1,1,2.32558139534884E-07,2.32558139534884E-07,0,92187,0,0,0,0,0,0,0,0.2,1302,-2,0,1,2,0,0,0,0,0,0,0,0,0.8,79295,0,-1,0,0,5,1684,0,0,3,Norwich,Man City,Aston Villa,Chelsea,Wolverhampton,0.9,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0
,Patricio,GLK,WOL,5100000,2,83,3.5,6.86274509803922E-07,1.62745098039216E-05,0,675719,0,32,0,61,0,0,0,16.3,17462,1,0,83,-1,0.5,0,2.5,4,0,4,0,0,9.1,883014,0,-1,2,0,2160,2611,0,0,391,Liverpool,Man Utd,Leicester,Norwich,Tottenham,3.6,2.7,3.4,4.2,3.9,4,4,3.6,4.2,3.2,3.1,4.6,2.6,4.1,3.3,52.9
Bailey,Peacock-Farrell,GLK,BUR,4400000,0,0,0,0,0,0,3427,0,0,0,0,0,0,0,0,46,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1417,0,-1,0,0,0,33,0,0,0,Man Utd,Arsenal,Southampton,Bournemouth,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
