FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Mohamed,Elyounoussi,MID,SOU,5300000,0,0,0,0,0,0,3258,0,0,0,0,0,0,0,0,12,-2,0,0,2,0,0,0,0,0,0,0,0,0,281,0,-1,0,0,0,5,0,0,0,Chelsea,Crystal Palace,Tottenham,Leicester,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerson,DEF,CHE,5500000,1,17,1.5,2.72727272727273E-07,3.09090909090909E-06,0,219378,1,17,0,0,0,0,0,3.1,634,0,0,17,0,0.1,0,0.8,0,0,1,0,0,0.8,174334,0,-1,0,0,882,155,0,0,164,Southampton,Arsenal,Brighton,Burnley,Newcastle,0.8,0.8,0.8,0.8,1.1,0.8,0.8,1.1,1.2,0.8,1.3,1.2,0.8,1.2,1.1,1,0.9,1,0.9,0.8,59.9
Bjorn,Engels,DEF,AVL,4500000,0,34,2.4,5.33333333333333E-07,7.55555555555556E-06,0,73383,1,25,0,0,0,0,0,7.6,1044,0,0,34,0,0.1,0,0.5,4,0,3,0,0,0.6,94925,0,-1,0,1,1221,171,0,0,212,Norwich,Watford,Burnley,Man City,Brighton,2.4,1.6,1.2,2.1,1.5,2.5,1.5,2.7,1.6,1.9,1.2,2.1,2,1.9,1.6,2.5,2.8,1.9,1.9,2.1,30.4
Christian,Eriksen,MID,TOT,8600000,1,34,1.88888888888889,2.19638242894057E-07,3.95348837209302E-06,0,414057,3,13,0,0,0,1,0,4,1420,-4,0,34,4,0.1,0,1.2,3,0,1,0,2,2.8,130598,0,-1,0,0,797,617,0,0,138,Brighton,Norwich,Southampton,Liverpool,Watford,1.5,1,1.4,0.9,1.2,1.3,0.9,0.9,0.9,1.5,1.1,1.6,1.2,1.7,1.5,1.2,1.5,1,1.1,0.9,55.6
Jonny,Evans,DEF,LEI,5200000,0,78,4.1,7.88461538461538E-07,1.5E-05,0,170281,3,18,0,0,0,1,0,15,8426,2,0,78,-2,0.8,0,4.2,7,0,7,0,2,5.9,493289,0,-1,0,2,1681,12698,0,0,390,Liverpool,West Ham,Newcastle,Southampton,Burnley,4.5,4.9,4.7,3.8,3.2,5.5,4.6,3.6,4.5,4,6.1,4.1,4.7,4.5,5.6,3.3,3.9,4.2,4.4,5.1,61.7
Lukasz,Fabianski,GLK,WHU,4900000,0,32,1.88235294117647,3.84153661464586E-07,6.53061224489796E-06,0,443924,0,8,0,20,0,0,0,6.5,597,-1,0,32,1,0,0,0,4,0,3,0,0,2,232300,0,-1,0,2,573,114,0,0,135,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,0,0,1.2,1.3,1.8,2.3,1.3,1.3,1.3,1,1,1.1,1.4,1.3,1.5,1.2,1.3,1.5,1,2.2,14.5
,Fabinho,MID,LIV,5400000,0,32,1.88235294117647,3.48583877995643E-07,5.92592592592593E-06,0,141055,5,10,0,0,0,1,0,5.9,510,-1,0,32,1,0,0,0,4,0,2,0,1,1,110283,0,-1,0,0,1006,65,0,0,199,Leicester,Wolverhampton,Sheffield United,Tottenham,Man Utd,0,0,1.6,0.9,1.4,2.5,1.1,1.1,1.1,1.3,1.3,1.1,1.3,0.9,1.2,1.3,1.4,1.3,0.9,1.1,46.1
Ralf,Fahrmann,GLK,NOR,4400000,0,1,0.0555555555555556,1.26262626262626E-08,2.27272727272727E-07,0,24310,0,1,0,1,0,0,0,0.2,96,-1,0,1,1,0,0,0,0,0,0,0,0,0.3,4586,0,-1,0,0,21,44,0,0,6,Aston Villa,Tottenham,Crystal Palace,Man Utd,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Akin,Famewo,DEF,NOR,4000000,0,0,0,0,0,0,2580,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4029,0,-1,0,0,0,53,0,0,0,Aston Villa,Tottenham,Crystal Palace,Man Utd,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Felipe Anderson,MID,WHU,6600000,1,41,2.6,3.93939393939394E-07,6.21212121212121E-06,0,499355,1,22,0,0,0,0,0,6.2,916,-4,0,41,4,0.2,0,1.6,0,0,5,0,3,2.8,138311,0,-1,0,0,1090,251,0,0,213,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,1.7,1.8,2.3,2.9,2.3,2.9,2.3,1.4,1.4,2,2.1,2.3,1.5,1.7,1.9,2.4,1.8,2.6,1.6,2,90.2
Federico,Fernandez,DEF,NEW,4400000,0,45,2.5,5.68181818181818E-07,1.02272727272727E-05,0,18338,3,14,0,0,0,2,0,10.2,1468,-1,0,45,1,0.9,0,4,4,0,2,0,2,0.7,52360,0,-1,0,2,923,1828,0,0,194,Man Utd,Everton,Leicester,Wolverhampton,Chelsea,1.3,3.1,2.2,1.5,2.3,2,2.5,1.3,1.9,2.2,1.7,2,3.5,1.6,2.9,1.8,1.7,2.9,1.6,2.3,52.2
,Fernandinho,MID,MCI,5200000,0,26,1.9,3.65384615384615E-07,5E-06,0,70693,3,13,0,0,0,0,0,5,407,-3,0,26,3,0.3,0,1.7,0,0,5,0,0,0.7,30423,0,-1,0,0,1213,857,0,1,206,Wolverhampton,Sheffield United,Everton,Aston Villa,Crystal Palace,1.4,1.6,1.4,1,1.2,1.9,1,1,1,1.3,1,1.4,1,1,1.6,1.5,1.3,1.3,1.4,1.2,43.1
Roberto,Firmino,FWD,LIV,9200000,12,87,4.8,5.21739130434783E-07,9.45652173913043E-06,0,1136291,0,9,0,0,0,6,0,9.5,2441,-3,0,87,3,0.5,0,4.4,14,0,7,0,5,8.1,876750,0,-1,0,1,1445,30260,0,0,347,Leicester,Wolverhampton,Sheffield United,Tottenham,Man Utd,4.7,5.5,4,5.9,7,11.1,5.8,6.3,5.6,5.6,5.5,5,6,6.2,6.3,5.6,5.9,5.9,5.8,4.4,163.5
