FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Douglas Luiz,MID,AVL,4400000,2,69,2.8,6.36363636363636E-07,1.56818181818182E-05,0,528734,4,36,0,0,0,3,0,15.7,6677,-1,0,69,1,0.4,0,1.7,5,0,5,0,2,4,727910,0,-1,0,0,1621,2717,0,0,288,Southampton,Leicester,Chelsea,Newcastle,Wolverhampton,2.3,0,1.5,2.2,2,2.8,1.4,2.8,2.7,1.8,2.8,1.7,90.9
Luke,Dreher,MID,CRY,4300000,0,0,0,0,0,0,10300,0,0,0,0,0,0,0,0,105,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,11440,0,-1,0,0,0,91,0,0,0,Newcastle,Brighton,Watford,Bournemouth,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Drinkwater,MID,AVL,4400000,0,6,0.230769230769231,5.24475524475525E-08,1.36363636363636E-06,0,136249,1,11,0,0,0,0,0,1.4,173,-1,0,6,1,0.1,0,0.3,0,0,0,0,0,0.6,23512,0,-1,0,0,317,72,0,0,32,Southampton,Leicester,Chelsea,Newcastle,Wolverhampton,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.7
Anthony,Driscoll-Glennon,DEF,BUR,3900000,0,0,0,0,0,0,1479,0,0,0,0,0,0,0,0,19,-1,1,0,1,0,0,0,0,0,0,0,0,0,1578,0,-1,0,0,0,81,-1,0,0,Bournemouth,Newcastle,Tottenham,Man City,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0
Josip,Drmic,FWD,NOR,5300000,1,16,1.3,2.45283018867925E-07,3.0188679245283E-06,0,14390,0,3,0,0,0,1,0,3,12,-2,0,16,2,0.1,0,0.7,0,0,0,0,0,0.1,5123,0,-1,0,0,161,11,0,0,48,Wolverhampton,Leicester,Sheffield United,Southampton,Everton,0.6,0.7,0.6,0.9,0.9,0.6,0.9,0.6,0.9,0.7,0.8,0.7,10.2
Martin,Dubravka,GLK,NEW,5000000,4,104,3.9,7.8E-07,2.08E-05,0,101713,0,41,0,112,0,0,0,20.8,938,0,0,104,0,0.8,0,4,6,0,7,0,0,1.8,141001,0,-1,0,1,2430,4253,0,0,530,Crystal Palace,Burnley,Southampton,Sheffield United,Aston Villa,3.7,4.1,3.4,4.3,5.8,3.3,5.7,3.2,3.3,5.7,3.4,4.6,82.3
Ondrej,Duda,MID,NOR,4900000,1,14,0.538461538461538,1.0989010989011E-07,2.85714285714286E-06,0,6074,0,6,0,0,0,0,0,2.9,387,-1,0,14,1,0.4,0,2,0,0,2,0,1,0.1,13769,0,-1,0,0,405,55,0,0,75,Wolverhampton,Leicester,Sheffield United,Southampton,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,29.4
Mark,Duffy,MID,SHU,5200000,0,0,0,0,0,0,5207,0,0,0,0,0,0,0,0,4,-3,0,0,3,0,0,0,0,0,0,0,0,0,297,0,-1,0,0,0,0,0,0,0,Brighton,Norwich,Newcastle,Man Utd,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane,Duffy,DEF,BHA,4800000,3,36,1.38461538461538,2.88461538461538E-07,7.5E-06,0,174579,1,15,0,0,0,1,0,7.5,154,-2,0,36,2,0.4,0,1.7,1,0,2,0,0,0.9,50156,0,-1,0,0,1071,151,0,0,187,Sheffield United,Crystal Palace,Wolverhampton,Arsenal,Leicester,0.7,1,0.7,0.7,0.7,1,0.7,0.9,0.8,0.7,1.4,0.7,37.9
Paul,Dummett,DEF,NEW,4400000,0,44,1.69230769230769,3.84615384615385E-07,1E-05,0,32122,2,20,0,0,0,0,0,10,63,-1,0,44,1,0,0,0,4,0,5,0,0,0.2,24365,1,-1,0,0,1227,0,0,0,230,Crystal Palace,Burnley,Southampton,Sheffield United,Aston Villa,0,0,0,0,0,0.8,1.8,0.8,0.8,1.9,0.9,1.3,37.7
Lewis,Dunk,DEF,BHA,4800000,2,83,3.3,6.875E-07,1.72916666666667E-05,0,999393,8,35,0,0,0,2,0,17.3,9538,3,0,83,-3,0.4,0,1.7,11,0,5,0,3,13.4,1387194,0,-1,0,3,2250,4890,0,0,469,Sheffield United,Crystal Palace,Wolverhampton,Arsenal,Leicester,2.8,3.8,2.5,3,2.8,3.8,3,3.5,3.2,2.8,4.7,2.3,100.5
Jake,Eastwood,GLK,SHU,4300000,0,0,0,0,0,0,13926,0,0,0,0,0,0,0,0,18,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,2055,0,-1,0,0,0,13,0,0,0,Brighton,Norwich,Newcastle,Man Utd,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ederson,GLK,MCI,6000000,7,80,3.3,5.5E-07,1.33333333333333E-05,0,1443170,3,25,0,46,0,0,0,13.3,2487,0,0,80,0,0.8,0,4.7,2,0,9,0,0,11.3,884532,0,-1,0,0,2081,1310,0,1,393,Leicester,Man Utd,Burnley,Chelsea,Liverpool,3,0,2.8,2.9,3.2,3.3,3,4.5,3,3.4,2.9,3.8,40.5
John,Egan,DEF,SHU,4600000,2,88,3.38461538461538,7.35785953177258E-07,1.91304347826087E-05,0,68555,2,22,0,0,0,0,0,19.1,3851,1,0,88,-1,1,0,4.7,4,0,9,0,1,2.2,210944,0,-1,0,0,2328,4364,0,0,420,Brighton,Norwich,Newcastle,Man Utd,Tottenham,3.7,0,3.9,3.9,2.9,4.5,2.7,2.9,3.3,3.2,4.1,3.2,79.4
Anwar,El Ghazi,MID,AVL,5500000,1,78,3.2,5.81818181818182E-07,1.41818181818182E-05,0,233056,3,38,0,0,0,4,0,14.2,2078,0,0,78,0,0.4,0,2.3,0,0,4,0,5,0.9,253639,0,-1,0,0,1646,127,0,0,235,Southampton,Leicester,Chelsea,Newcastle,Wolverhampton,0,0,1.9,2.7,2.4,3.4,1.8,3.4,3.3,2.2,3.5,2.1,135.5
