FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Michail,Antonio,MID,WHU,6900000,0,6,1,1.44927536231884E-07,8.69565217391304E-07,0,57472,0,2,0,0,0,0,0,0.9,600,-1,0,6,1,0,0,0,0,0,0,0,1,0.8,5231,0,-1,0,0,125,10,0,0,10,Bournemouth,Crystal Palace,Everton,Sheffield United,Newcastle,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,16.2
Stuart,Armstrong,MID,SOU,5300000,1,5,0.833333333333333,1.57232704402516E-07,9.43396226415094E-07,0,5987,1,2,0,0,0,0,0,0.9,102,-2,0,5,2,0.2,0,0.8,0,0,0,0,0,0.1,1112,0,-1,0,0,65,22,0,0,8,Tottenham,Chelsea,Wolverhampton,Leicester,Man City,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,3.6
Marko,Arnautovic,FWD,WHU,7000000,0,0,0,0,0,0,6532,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0.1,535,0,-1,0,0,0,21,0,0,0,Bournemouth,Crystal Palace,Everton,Sheffield United,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5400000,2,17,3.4,6.2962962962963E-07,3.14814814814815E-06,0,13029,1,9,0,0,0,0,0,3.1,850,-1,0,17,1,0.5,0,2.8,0,0,2,0,2,0.2,18212,0,-1,0,0,424,275,0,0,55,Leicester,Man Utd,Chelsea,Wolverhampton,West Ham,2.3,3.5,2.7,3.1,2.6,3.1,2.2,1.7,4.7,2.2,3.1,3.6,2.5,3.2,2.6,3.8,2.2,2.8,3.7,3.4,2.6,3.3,3.8,3.4,3,3.9,2.3,1.7,3.6,2.2,3.7,1.9,24.8
Pierre-Emerick,Aubameyang,FWD,ARS,11000000,0,44,7.3,6.63636363636364E-07,4E-06,0,816878,2,10,0,0,0,6,0,4,6923,0,0,44,0,0.6,0,6.8,7,0,1,0,1,23.7,621613,0,-1,0,1,540,29411,0,0,182,Man Utd,Bournemouth,Sheffield United,Crystal Palace,Wolverhampton,8.5,9.6,9,10.9,8.7,8,8.9,8.3,9.2,8.5,10.1,8.9,9.9,9.8,11,7.6,7.4,9.7,8.8,8.7,10.8,9.3,9.1,10.3,10.8,11,8.9,9.8,9.3,8.6,8.4,10,63.6
Serge,Aurier,DEF,TOT,5000000,-2,13,2.16666666666667,4.33333333333333E-07,2.6E-06,0,88471,0,3,0,0,0,0,0,2.6,50093,0,0,13,0,0.6,0,3.2,2,0,1,0,2,2.9,253333,0,-1,0,1,210,1038,0,1,47,Southampton,Brighton,Watford,Liverpool,Everton,0,0,1.9,1.2,1.6,1.7,1.5,1.1,1.3,1.5,1.3,1.5,1.6,1.1,1.8,1.4,1.5,2.2,1.3,1.6,1.2,1.5,1.1,2.6,1.9,1.8,2.5,1.1,1.5,2.2,2,1.4,13.6
Charlie,Austin,FWD,SOU,6000000,0,0,0,0,0,0,8093,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0.1,277,0,-1,0,0,0,8,0,0,0,Tottenham,Chelsea,Wolverhampton,Leicester,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5100000,1,23,3.8,7.45098039215686E-07,4.50980392156863E-06,0,334609,3,4,0,0,0,2,0,4.5,19549,1,0,23,-1,0.6,0,3,6,0,5,0,0,8.1,639888,0,-1,0,0,450,10589,0,0,73,Norwich,West Ham,Man City,Arsenal,Leicester,5.7,2.2,4.7,3.3,4.6,3.4,3.9,2.3,4.8,3.8,4.3,2.8,4.2,3.5,3.2,5.1,2.6,4.1,3.3,2.4,4,3.1,5.7,3.2,2.2,4.9,2,5.2,2.2,5.7,2.4,5.2,34.9
Cesar,Azpilicueta,DEF,CHE,5900000,7,19,2.7,4.57627118644068E-07,3.22033898305085E-06,0,228246,0,13,0,0,0,0,0,3.2,2753,-1,0,19,1,0.5,0,3.2,1,0,1,0,2,6.1,91239,0,-1,0,0,630,5343,0,0,130,Brighton,Southampton,Newcastle,Burnley,Watford,2.1,2.7,2.8,1.4,2.3,3.5,1.5,2.5,3.6,2.4,1.4,2.1,1.9,1.9,2.6,2,3.2,1.9,2,3.3,2.5,1.5,3.2,2.5,1.8,2.3,2.5,2.2,2.8,2.9,1.9,2,40
Eric,Bailly,DEF,MUN,4900000,0,0,0,0,0,0,2222,0,0,0,0,0,0,0,0,35,-1,0,0,1,0,0,0,0,0,0,0,0,0,656,0,-1,0,0,0,9,0,0,0,Arsenal,Newcastle,Liverpool,Norwich,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
