FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
John,McGinn,MID,AVL,5400000,0,61,2.17857142857143,4.03439153439153E-07,1.12962962962963E-05,0,1339259,2,30,0,0,0,3,0,11.3,1211,-1,0,61,1,0,0,0,4,0,3,0,2,2.6,1283123,0,-1,0,0,1537,86,0,0,253,Wolverhampton,Liverpool,Man Utd,Crystal Palace,Everton,0,0,1.1,2,1.9,1.1,2,1.1,113.5
David,McGoldrick,FWD,SHU,5400000,1,42,2,3.7037037037037E-07,7.77777777777778E-06,0,50936,2,13,0,0,0,0,0,7.8,156,-1,0,42,1,0.2,0,1,3,0,5,0,2,0.2,44350,0,-1,0,0,1349,156,0,0,109,Tottenham,Burnley,Wolverhampton,Chelsea,Leicester,0,1.9,1.3,1.5,1.6,1.2,1.8,2,83.9
Michael,McGovern,GLK,NOR,4000000,0,11,0.379310344827586,9.48275862068965E-08,2.75E-06,0,301264,0,6,0,7,0,0,0,2.8,3452,0,0,11,0,0,0,0,2,0,0,0,0,6.2,397156,0,-1,1,0,158,351,0,0,46,Arsenal,Brighton,Watford,West Ham,Chelsea,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.5
Giovanni,McGregor,MID,CRY,4500000,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,-1,0,0,0,7,0,0,0,Liverpool,Burnley,Leicester,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0
Kenny,McLean,MID,NOR,4800000,2,62,2.2,4.58333333333333E-07,1.29166666666667E-05,0,17314,4,45,0,0,0,1,0,12.9,93,-2,0,62,2,0.5,0,2.2,0,0,5,0,1,0.2,12332,0,-1,0,0,2288,80,0,0,342,Arsenal,Brighton,Watford,West Ham,Chelsea,0,1.3,2,1.3,1.8,1.1,2.1,1.1,97.6
Dwight,McNeil,MID,BUR,6000000,4,99,3.4,5.66666666666667E-07,1.65E-05,0,155841,4,38,0,0,0,2,0,16.5,4112,0,0,99,0,1,0,5.8,6,0,12,0,6,1.1,200196,0,-1,0,1,2529,9845,0,0,410,Watford,Crystal Palace,Sheffield United,West Ham,Liverpool,4,2.8,4.4,2.4,2.1,3.7,2.6,3.6,152.6
Scott,McTominay,MID,MUN,4900000,6,64,3.2,6.53061224489796E-07,1.30612244897959E-05,0,408154,2,18,0,0,0,3,0,13.1,798,-1,0,64,1,0.4,0,2.2,6,0,2,0,2,1.1,408780,0,-1,0,0,1545,5032,0,0,266,Brighton,Bournemouth,Aston Villa,Southampton,Crystal Palace,0,2.3,3.8,1.8,3.3,2.3,3.3,1.8,89.5
Ben,Mee,DEF,BUR,5000000,2,87,3,6E-07,1.74E-05,0,89286,7,40,0,0,0,0,0,17.4,1614,0,0,87,0,0.6,0,3.2,1,0,11,0,2,1.2,107644,0,-1,0,0,2610,1410,0,0,476,Watford,Crystal Palace,Sheffield United,West Ham,Liverpool,3.2,2.6,2.8,3.2,2.7,2.7,2.6,3.3,101.7
Benjamin,Mendy,DEF,MCI,5500000,1,49,3.5,6.36363636363636E-07,8.90909090909091E-06,0,234183,2,12,0,0,0,0,0,8.9,2710,-5,0,49,5,0.8,0,4.3,2,0,5,0,2,1.1,268910,0,-1,0,0,1114,2134,0,0,267,Liverpool,Southampton,Brighton,Bournemouth,Watford,0,0,3.2,0,3.5,3.8,3,4.4,60.4
Nampalys,Mendy,MID,LEI,4300000,1,7,0.241379310344828,5.61347233360064E-08,1.62790697674419E-06,0,114814,0,3,0,0,0,0,0,1.6,394,-2,0,7,2,0,0,0.2,0,0,0,0,0,0.8,95833,0,-1,0,0,200,352,0,0,53,Everton,Crystal Palace,Arsenal,Bournemouth,Sheffield United,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
