FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Alex,Iwobi,MID,ARS,5500000,2,20,2.22222222222222,4.04040404040404E-07,3.63636363636364E-06,0,100870,0,5,0,0,0,1,0,3.6,4270,0,0,20,0,0.5,0,2.7,0,0,0,0,2,1.2,107863,0,0,0,0,323,10361,0,0,86,Crystal Palace,Liverpool,Wolverhampton,Bournemouth,Tottenham,2.8,1.4,1.8,1.3,1.3,1.4,2,2,1.9,1.3,1.1,1.9,1.5,1.1,2,1.1,2.4,2.1,2,1.3,1.4,1.7,1.9,1.1,1.5,2,1.4,2.1,1.5,27.4
,Izquierdo,MID,BHA,5900000,6,8,0.888888888888889,1.50659133709981E-07,1.35593220338983E-06,0,7983,0,0,0,0,0,0,0,1.4,282,-1,0,8,1,0.5,0,2.7,0,0,1,0,1,0.1,2437,0,0,0,0,105,1729,0,0,22,Wolverhampton,Everton,Cardiff City,Leicester,Huddersfield,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.6,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,6
Jaroslaw,Jach,DEF,CRY,4000000,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,10,0,0,0,Arsenal,Chelsea,Tottenham,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Jagielka,DEF,EVE,4300000,0,-3,-0.333333333333333,-7.75193798449612E-08,-6.97674418604651E-07,0,77203,0,2,0,0,0,0,0,-0.7,885,-2,0,-3,2,0,0,0,0,0,0,0,0,0.5,2691,0,0,0,0,39,76,0,1,-5,Man Utd,Brighton,Chelsea,Cardiff City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alireza,Jahanbakhsh,MID,BHA,6800000,2,10,1.11111111111111,1.63398692810458E-07,1.47058823529412E-06,0,40831,2,1,0,0,0,0,0,1.5,553,-2,0,10,2,0.3,0,1.7,0,0,2,0,0,0.7,1594,0,0,0,0,257,181,0,0,28,Wolverhampton,Everton,Cardiff City,Leicester,Huddersfield,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.8,0.7,0.8,0.6,0.7,0.6,0.7,0.6,0.6,11.6
Eldin,Jakupovic,GLK,LEI,4400000,0,0,0,0,0,0,2519,0,0,0,0,0,0,0,0,91,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,399,0,0,0,0,0,22,0,0,0,West Ham,Cardiff City,Burnley,Brighton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty,James,MID,LEI,4400000,0,0,0,0,0,0,1248,0,0,0,0,0,0,0,0,49,-1,0,0,1,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,38,0,0,0,West Ham,Cardiff City,Burnley,Brighton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daryl,Janmaat,DEF,WAT,4900000,0,20,3.3,6.73469387755102E-07,4.08163265306122E-06,0,32871,2,6,0,0,0,0,0,4.1,1714,-1,0,20,1,0,0,0,4,0,1,0,1,0.3,16146,0,0,0,0,521,31,0,0,105,Huddersfield,Newcastle,Southampton,Liverpool,Leicester,0,0,3.5,3.7,3,3.2,3.2,4.5,3.5,3.5,2.8,2.2,4.2,3.2,3.8,3.2,4,4,3.4,3.2,2.8,3.3,3.8,3,2.2,4.7,3.7,3.9,3.6,25.1
,Jazz Richards,DEF,CAR,3900000,1,1,0.111111111111111,2.84900284900285E-08,2.56410256410256E-07,0,26198,0,4,0,0,0,0,0,0.3,1634,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.8,17148,0,0,0,0,97,4571,0,0,11,Liverpool,Leicester,Brighton,Everton,Wolverhampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5
,Jesus,FWD,MCI,10200000,1,14,1.8,1.76470588235294E-07,1.37254901960784E-06,0,124390,0,2,0,0,0,1,0,1.4,3035,-3,0,14,3,0.1,0,1,1,0,0,0,0,1.4,44586,0,0,0,0,294,439,0,0,42,Tottenham,Southampton,Man Utd,West Ham,Bournemouth,0.9,1.4,1.5,1.4,1.6,1.2,0.9,1.6,1,1.1,1.2,1.1,1,1.6,1.5,1.5,1,0.9,1.8,0.9,1.4,1.5,1.9,1.7,1.4,1,1.1,1.5,1,52.4
