FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Harry,Maguire,DEF,LEI,5400000,8,92,3,5.55555555555556E-07,1.7037037037037E-05,0,916500,6,41,0,0,0,3,0,17,0,-1,0,92,1,0,0,0,10,0,6,0,1,8.3,466287,0,0,0,2,2596,0,0,1,533,Chelsea,,,,,3.9,134.3
Riyad,Mahrez,MID,MCI,8200000,13,102,2.75675675675676,3.3618984838497E-07,1.24390243902439E-05,0,601640,0,9,0,0,0,7,0,12.4,0,-8,0,102,8,0,1,0,14,0,4,0,4,1.7,399904,0,0,0,3,1331,0,0,0,349,Brighton,,,,,2.1,164.1
Ainsley,Maitland-Niles,MID,ARS,4400000,0,34,0.918918918918919,2.08845208845209E-07,7.72727272727273E-06,0,62964,1,20,0,0,0,1,0,7.7,0,-1,0,34,1,0,0,0,3,0,2,0,1,0.4,49483,0,0,0,0,983,0,0,1,152,Burnley,,,,,0.5,44.8
Scott,Malone,DEF,HUD,4000000,0,0,0,0,0,0,183405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,840,0,0,0,0,0,0,0,0,0,Southampton,,,,,0,0
Sadio,Mane,MID,LIV,10300000,15,231,6.4,6.21359223300971E-07,2.24271844660194E-05,0,3318138,2,21,0,0,0,22,0,22.4,0,8,0,231,-8,0,0,0,24,0,19,0,3,38.6,4505959,0,0,0,8,3076,0,0,0,703,Wolverhampton,,,,,8.7,304
Javier,Manquillo,DEF,NEW,4300000,0,53,1.43243243243243,3.33123821495915E-07,1.23255813953488E-05,0,30354,2,16,0,0,0,0,0,12.3,0,-2,0,53,2,0,0,0,5,0,4,0,3,0.3,35996,0,0,0,1,1098,0,0,0,231,Fulham,,,,,0.8,38.8
Solomon,March,MID,BHA,4700000,0,94,2.7,5.74468085106383E-07,2E-05,0,173338,1,40,0,0,0,1,0,20,0,-3,0,94,3,0,0,0,5,0,6,0,6,0.7,201826,0,0,0,1,2459,0,0,0,342,Man City,,,,,1.7,156.6
Adrian,Mariappa,DEF,WAT,4200000,1,57,2.2,5.23809523809524E-07,1.35714285714286E-05,0,50389,3,32,0,0,0,0,0,13.6,0,-3,0,57,3,0,0,0,2,0,5,0,0,0.6,74982,0,0,0,0,1924,0,0,0,334,West Ham,,,,,2,54.5
Lazar,Markovic,MID,FUL,4700000,0,1,0.027027027027027,5.75043128234618E-09,2.12765957446809E-07,0,1313,0,1,0,0,0,0,0,0.2,0,-3,0,1,3,0,0,0,0,0,0,0,0,0,1605,0,0,0,0,45,0,0,0,3,Newcastle,,,,,0,2.3
George,Marsh,MID,TOT,4500000,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,Everton,,,,,0,0
Anthony,Martial,MID,MUN,7200000,1,122,4.5,6.25E-07,1.69444444444444E-05,0,1717773,2,25,0,0,0,10,0,16.9,0,-3,0,122,3,0,0,0,13,0,5,0,4,3.4,1821120,0,0,0,3,1613,0,0,0,389,Cardiff City,,,,,4.9,178.9
Cuco,Martina,DEF,EVE,4500000,0,0,0,0,0,0,8241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,Tottenham,,,,,0,0
Emiliano,Martinez,GLK,ARS,4000000,0,0,0,0,0,0,17815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21927,0,0,0,0,0,0,0,0,0,Burnley,,,,,0,0
Adam,Masina,DEF,WAT,4300000,0,26,0.702702702702703,1.63419233186675E-07,6.04651162790698E-06,0,12228,5,20,0,0,0,0,0,6,0,-2,0,26,2,0,0,0,1,0,2,0,1,0.1,13764,0,0,0,0,1002,0,0,0,165,West Ham,,,,,0.4,30.1
Arthur,Masuaku,MID,WHU,4200000,2,49,1.32432432432432,3.15315315315315E-07,1.16666666666667E-05,0,258164,2,29,0,0,0,0,0,11.7,0,-3,0,49,3,0,0,0,0,0,4,0,2,1.5,218911,0,0,0,0,1757,0,0,0,311,Watford,,,,,0.7,70.3
Juan,Mata,MID,MUN,6100000,0,70,1.89189189189189,3.10146211785556E-07,1.14754098360656E-05,0,185433,3,15,0,0,0,3,0,11.5,0,-4,0,70,4,0,0,0,7,0,5,0,4,1.2,114953,0,0,0,2,1284,0,0,0,274,Cardiff City,,,,,1.3,98.6
Nemanja,Matic,MID,MUN,5000000,0,59,2.1,4.2E-07,1.18E-05,0,85844,6,37,0,0,0,1,0,11.8,0,0,0,59,0,0,0,0,2,0,6,0,0,0.7,65165,0,0,0,0,2437,0,0,1,371,Cardiff City,,,,,1.5,90.9
Joel,Matip,DEF,LIV,4900000,7,83,3.8,7.75510204081633E-07,1.69387755102041E-05,0,81461,3,12,0,0,0,1,0,16.9,0,-1,0,83,1,0,0,0,7,0,9,0,0,1.1,133758,0,0,0,1,1535,0,0,0,402,Wolverhampton,,,,,5,55.9
Konstantinos,Mavropanos,DEF,ARS,4700000,1,3,0.0810810810810811,1.72512938470385E-08,6.38297872340426E-07,0,10884,1,1,0,0,0,0,0,0.6,0,-3,0,3,3,0,0,0,0,0,0,0,0,0.1,2603,0,0,0,0,147,0,0,0,28,Burnley,,,,,0,5.2
Alfie,Mawson,DEF,FUL,4700000,0,19,0.513513513513513,1.09258194364577E-07,4.04255319148936E-06,0,15450,2,26,0,0,0,0,0,4,0,-3,0,19,3,0,0,0,2,0,1,0,0,0.1,4102,0,0,0,0,1130,0,0,0,174,Newcastle,,,,,0.3,31.3
Chancel,Mbemba,DEF,NEW,4000000,0,0,0,0,0,0,8881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1238,0,0,0,0,0,0,0,0,0,Fulham,,,,,0,0
Isaac,Mbenza,MID,HUD,5900000,2,38,1.02702702702703,1.74072377462208E-07,6.44067796610169E-06,0,1860,1,25,0,0,0,1,0,6.4,0,-1,0,38,1,0,0,0,0,0,0,0,1,0,1247,0,0,0,0,977,0,0,0,127,Southampton,,,,,0.5,40
James,McArthur,MID,CRY,4900000,1,121,3.2,6.53061224489796E-07,2.46938775510204E-05,0,336224,7,49,0,0,0,3,0,24.7,0,-1,0,121,1,0,0,0,7,0,11,0,7,3.4,443232,0,0,0,1,3057,0,0,0,500,Bournemouth,,,,,3,161.3
Alex,McCarthy,GLK,SOU,4300000,0,73,2.9,6.74418604651163E-07,1.69767441860465E-05,0,267781,1,44,0,78,0,0,0,17,0,-2,0,73,2,0,0,0,6,0,4,0,0,2,273938,0,0,0,1,2250,0,0,0,414,Huddersfield,,,,,3.4,58.6
James,McCarthy,MID,EVE,4400000,0,1,0.027027027027027,6.14250614250614E-09,2.27272727272727E-07,0,3478,0,0,0,0,0,0,0,0.2,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,3440,0,0,0,0,14,0,0,0,3,Tottenham,,,,,0,0.5
Kevin,McDonald,MID,FUL,4200000,0,17,0.459459459459459,1.09395109395109E-07,4.04761904761905E-06,0,34675,4,27,0,0,0,0,0,4,0,-3,0,17,3,0,0,0,0,0,0,0,0,0.2,23549,0,0,0,0,837,0,0,1,123,Newcastle,,,,,0.2,18.7
Dwight,McNeil,MID,BUR,4400000,2,75,2.02702702702703,4.60687960687961E-07,1.70454545454545E-05,0,50710,2,25,0,0,0,3,0,17,0,-1,0,75,1,0,0,0,6,0,5,0,4,0.8,97102,0,0,0,0,1590,0,0,0,305,Arsenal,,,,,1.8,112.5
Sam,McQueen,DEF,SOU,4000000,0,0,0,0,0,0,52564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5527,0,0,0,0,0,0,0,0,0,Huddersfield,,,,,0,0
Scott,McTominay,MID,MUN,4200000,2,38,1.02702702702703,2.44530244530245E-07,9.04761904761905E-06,0,118999,1,18,0,0,0,2,0,9,0,-3,0,38,3,0,0,0,4,0,1,0,0,1.2,138847,0,0,0,1,862,0,0,0,152,Cardiff City,,,,,0.5,38.8
Zech,Medley,DEF,ARS,4000000,0,0,0,0,0,0,5205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6986,0,0,0,0,0,0,0,0,0,Burnley,,,,,0,0
Ben,Mee,DEF,BUR,4600000,1,81,2.1,4.56521739130435E-07,1.76086956521739E-05,0,278879,9,68,0,0,0,0,0,17.6,0,-4,0,81,4,0,0,0,5,0,8,0,2,1.6,112437,2,0,0,0,3420,0,0,0,572,Arsenal,,,,,1.6,123.9
Nathaniel,Mendez-Laing,MID,CAR,4800000,16,63,1.7027027027027,3.5472972972973E-07,1.3125E-05,0,5084,0,18,0,0,0,4,0,13.1,0,-2,0,63,2,0,0,0,6,0,4,0,1,0,3561,0,0,0,1,978,0,0,0,253,Man Utd,,,,,0.9,97.8
Benjamin,Mendy,DEF,MCI,6100000,0,59,1.59459459459459,2.6140894993354E-07,9.67213114754098E-06,0,2411974,1,6,0,0,0,0,0,9.7,0,1,0,59,-1,0,0,0,6,0,4,0,6,5.9,1933788,0,0,0,2,900,0,0,0,262,Brighton,,,,,0.9,54.2
Nampalys,Mendy,MID,LEI,4300000,0,58,1.9,4.41860465116279E-07,1.34883720930233E-05,0,133157,5,29,0,0,0,0,0,13.5,0,-2,0,58,2,0,0,0,0,0,7,0,1,0.9,155350,0,0,0,0,2085,0,0,0,291,Chelsea,,,,,1.1,39.5
Chris,Mepham,DEF,BOU,4500000,4,27,0.72972972972973,1.62162162162162E-07,6E-06,0,3245,1,17,0,0,0,0,0,6,0,0,0,27,0,0,0,0,0,0,2,0,1,0.1,6365,0,0,0,0,848,0,0,0,158,Crystal Palace,,,,,0.4,22.5
Mikel,Merino,MID,NEW,5000000,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,Fulham,,,,,0,0
Max,Meyer,MID,CRY,5500000,2,60,1.62162162162162,2.94840294840295E-07,1.09090909090909E-05,0,44148,3,24,0,0,0,1,0,10.9,0,-5,0,60,5,0,0,0,0,0,6,0,3,0.2,9695,0,0,0,0,1405,0,0,0,223,Bournemouth,,,,,1,98
Simon,Mignolet,GLK,LIV,4700000,0,0,0,0,0,0,6437,0,0,0,0,0,0,0,0,0,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1825,0,0,0,0,0,0,0,0,0,Wolverhampton,,,,,0,0
Luka,Milivojevic,MID,CRY,6500000,1,166,4.4,6.76923076923077E-07,2.55384615384615E-05,0,838352,10,53,0,0,0,12,0,25.5,0,0,0,166,0,0,1,0,24,0,12,0,2,10.6,993901,0,0,0,4,3420,0,0,0,741,Bournemouth,,,,,4.9,246.3
James,Milner,MID,LIV,5600000,1,101,2.72972972972973,4.87451737451737E-07,1.80357142857143E-05,0,658856,5,13,0,0,0,5,0,18,0,1,0,101,-1,0,0,0,12,0,9,0,5,2.5,685169,0,0,0,1,1778,0,0,1,448,Wolverhampton,,,,,2.6,169.2
Yerry,Mina,DEF,EVE,5400000,1,36,0.972972972972973,1.8018018018018E-07,6.66666666666667E-06,0,142613,3,13,0,0,0,1,0,6.7,0,-1,0,36,1,0,0,0,2,0,3,0,0,0.5,52756,0,0,0,0,891,0,0,0,176,Tottenham,,,,,0.5,29.6
Tyrone,Mings,DEF,BOU,4200000,0,5,1,2.38095238095238E-07,1.19047619047619E-06,0,9453,0,4,0,0,0,0,0,1.2,0,-3,0,5,3,0,0,0,0,0,0,0,0,0.1,2407,0,0,0,0,141,0,0,0,41,Crystal Palace,,,,,0,6.8
