FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Artur,Boruc,GLK,BOU,4000000,0,0,0,0,0,0,120433,0,0,0,0,0,0,0,0,4541,0,0,0,0,0,0,0,0,0,0,0,0,6.1,66264,0,0,0,0,0,3238,0,0,0,Arsenal,Man City,Huddersfield,Liverpool,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5500000,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,2,0,0,0,Fulham,Man Utd,Tottenham,Cardiff City,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie,Brady,MID,BUR,5400000,1,5,0.416666666666667,7.71604938271605E-08,9.25925925925926E-07,0,1623,2,6,0,0,0,0,0,0.9,93,-1,0,5,1,0.3,0,1.7,0,0,0,0,1,0,810,0,0,0,0,130,198,0,0,16,Newcastle,Crystal Palace,Liverpool,Brighton,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,11.4
Claudio,Bravo,GLK,MCI,4900000,0,0,0,0,0,0,9178,0,0,0,0,0,0,0,0,123,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,889,0,0,0,0,0,34,0,0,0,West Ham,Bournemouth,Watford,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brian Murphy,GLK,CAR,4000000,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0.2,10601,0,0,0,0,0,729,0,0,0,Everton,Wolverhampton,West Ham,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel,Britos,DEF,WAT,4400000,0,0,0,0,0,0,3459,0,0,0,0,0,0,0,0,60,-1,0,0,1,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,37,0,0,0,Liverpool,Leicester,Man City,Everton,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Brooks,MID,BOU,5100000,2,40,3.6,7.05882352941176E-07,7.84313725490196E-06,0,67133,1,11,0,0,0,3,0,7.8,17244,1,0,40,-1,0.8,0,4,2,0,4,0,0,2.8,218327,0,0,0,0,813,16235,0,0,134,Arsenal,Man City,Huddersfield,Liverpool,Wolverhampton,3.5,2,4.3,3.1,3.3,4.6,3.3,2.9,3.8,2.3,3.7,2.4,2.9,2.2,3.9,2.9,2.6,3.9,4.1,3.1,3.9,2.8,4.1,3.8,2.8,4.6,64.9
Tyias,Browning,DEF,EVE,4000000,0,0,0,0,0,0,2483,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4656,0,0,0,0,0,363,0,0,0,Cardiff City,Liverpool,Newcastle,Watford,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bruno,DEF,BHA,4400000,0,27,2.25,5.11363636363636E-07,6.13636363636364E-06,0,22400,0,3,0,0,0,0,0,6.1,6703,-1,0,27,1,1,0,4.3,4,0,3,0,1,0.8,48005,0,0,0,1,362,1443,0,0,107,Leicester,Huddersfield,Crystal Palace,Burnley,Chelsea,2.2,2,2,1.2,2.2,1.1,1.6,2.9,1.3,2.7,1.6,1.2,2.3,2.1,1.7,1.4,2.9,1.8,3.1,2.1,1.9,1.8,1.4,1.9,1.1,2.1,12.3
Joe,Bryan,DEF,FUL,4800000,0,5,0.416666666666667,8.68055555555556E-08,1.04166666666667E-06,0,8368,0,9,0,0,0,0,0,1,154,-2,0,5,2,0,0,0,0,0,0,0,0,0.1,2048,0,0,0,0,315,31,0,0,54,Southampton,Chelsea,Leicester,Man Utd,West Ham,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,15.2
