FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jordan,Pickford,GLK,EVE,5000000,2,72,3.6,7.2E-07,1.44E-05,0,661768,1,30,0,54,0,0,0,14.4,28563,0,0,72,0,0.3,0,1.6,7,0,4,0,0,14.1,352546,0,0,2,2,1800,11846,0,0,348,Leicester,Bournemouth,Southampton,Huddersfield,Wolverhampton,4.1,4.1,2.8,4.3,4.6,3.4,4.4,4,4.4,3.1,4.9,3.3,3.5,2.7,4.3,3.9,4.4,3.5,44.8
Anthony,Pilkington,MID,CAR,4400000,0,0,0,0,0,0,11631,0,0,0,0,0,0,0,0,74,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,2497,0,0,0,0,0,5,0,0,0,Tottenham,Huddersfield,Newcastle,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul,Pogba,MID,MUN,8300000,18,97,5.7,6.86746987951807E-07,1.16867469879518E-05,0,1075017,2,21,0,0,0,7,0,12,14331,3,-2,97,-3,0.9,2,7.8,11,0,3,0,7,29.9,2131243,0,0,0,3,1404,598352,2,0,346,Newcastle,Tottenham,Brighton,Burnley,Leicester,7.9,5.7,8.4,7.9,6.8,6.8,5.6,7.1,7.7,5.9,5.4,6.6,6.9,6.3,5.2,5.3,7.6,7,167.2
Nick,Pope,GLK,BUR,4800000,0,0,0,0,0,0,15006,0,0,0,0,0,0,0,0,123,-2,1,0,2,0,0,0,0,0,0,0,0,0.2,756,0,0,0,0,0,30,-1,0,0,Huddersfield,Fulham,Watford,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Powell,MID,WHU,4500000,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,49,0,0,0,Brighton,Arsenal,Bournemouth,Wolverhampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Pritchard,MID,HUD,4800000,3,39,2.3,4.79166666666667E-07,8.125E-06,0,10073,1,25,0,0,0,1,0,8.1,556,-2,0,39,2,0.4,0,2,0,0,4,0,0,0.1,11494,0,0,0,0,1281,251,0,0,120,Burnley,Cardiff City,Man City,Everton,Chelsea,2.1,1.5,1.2,1.7,1.3,1.7,2.3,1.7,1.5,2,1.7,1.9,1.6,1.4,1.6,1.2,1.3,1.9,74.5
Sebastian,Prodl,DEF,WAT,4200000,0,1,0.05,1.19047619047619E-08,2.38095238095238E-07,0,7931,0,0,0,0,0,0,0,0.2,64,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,938,0,0,0,0,13,10,0,0,2,Bournemouth,Crystal Palace,Burnley,Tottenham,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy,Propper,MID,BHA,4800000,3,33,2.1,4.375E-07,6.875E-06,0,8497,1,22,0,0,0,0,0,6.9,126,-2,0,33,2,0.5,0,2.2,0,0,2,0,0,0.1,3281,0,0,0,0,1412,180,0,0,174,West Ham,Liverpool,Man Utd,Fulham,Watford,1.1,1.3,1,1.1,1.7,2.2,1,1.1,2.1,1.2,1.8,2.1,1,2.1,1.1,2,1,1.3,34.1
Marc,Pugh,MID,BOU,4300000,0,0,0,0,0,0,27289,0,0,0,0,0,0,0,0,508,-2,0,0,2,0,0,0,0,0,0,0,0,0.4,7644,0,0,0,0,0,375,0,0,0,Watford,Everton,West Ham,Chelsea,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason,Puncheon,MID,CRY,4300000,0,5,0.25,5.81395348837209E-08,1.16279069767442E-06,0,51748,0,0,0,0,0,0,0,1.2,1217,-2,0,5,2,0.1,0,0.5,0,0,0,0,0,0.6,37008,0,0,0,0,11,336,0,0,12,Wolverhampton,Watford,Liverpool,Southampton,Fulham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
