FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ryan,Sessegnon,MID,FUL,6000000,1,74,2.6,4.33333333333333E-07,1.23333333333333E-05,0,451998,0,50,0,0,0,2,0,12.3,1032,-5,0,74,5,0.2,0,1.3,3,0,0,0,6,1.9,61278,0,0,0,0,1686,369,0,0,236,Man City,Watford,Everton,Bournemouth,Cardiff City,3.3,0,2.2,1.6,2.5,1.7,2.7,102
Xherdan,Shaqiri,MID,LIV,6900000,0,82,2.64516129032258,3.83356708742403E-07,1.18840579710145E-05,0,609057,2,6,0,0,0,6,0,11.9,5085,-6,0,82,6,0,0,0,4,0,7,0,4,2.1,331500,0,0,0,1,1010,63,0,0,280,Tottenham,Southampton,Chelsea,Cardiff City,Huddersfield,0,2,2,1.7,2.8,2.2,2.4,93.6
Luke,Shaw,DEF,MUN,5100000,0,74,3.1,6.07843137254902E-07,1.45098039215686E-05,0,1055446,9,32,0,0,0,1,0,14.5,45458,1,0,74,-1,0.2,0,1,6,0,6,0,3,8.9,1234288,0,0,0,1,2141,24628,0,0,408,Watford,Wolverhampton,West Ham,Everton,Man City,0,0,3.2,6.5,3.9,3.6,4,113.7
Jonjo,Shelvey,MID,NEW,5300000,1,25,0.806451612903226,1.52160681679854E-07,4.71698113207547E-06,0,57575,1,12,0,0,0,0,0,4.7,146,-2,0,25,2,0.1,0,0.3,0,0,3,0,1,0.3,14761,0,0,0,0,766,60,0,0,121,Arsenal,Crystal Palace,Leicester,Southampton,Brighton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,60.5
Gylfi,Sigurdsson,MID,EVE,7300000,6,146,4.7,6.43835616438356E-07,2E-05,0,1106902,3,37,0,0,0,12,0,20,56568,-2,0,146,2,0.5,3,3.7,17,0,10,0,3,6.5,1350647,0,0,0,2,2520,19975,0,0,535,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,4.3,5.9,5,4.7,5.3,6.1,4,243.4
,Silva,MID,LEI,4700000,0,3,1.5,3.19148936170213E-07,6.38297872340426E-07,0,12770,0,1,0,0,0,0,0,0.6,55,-3,0,3,3,0,0,0,0,0,0,0,0,0.2,4077,0,0,0,0,87,2,0,0,16,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,0,0,0,0,0,0,0,2.1
Danny,Simpson,DEF,LEI,4200000,0,11,0.354838709677419,8.44854070660522E-08,2.61904761904762E-06,0,19353,0,4,0,0,0,0,0,2.6,207,-3,0,11,3,0,0,0,0,0,1,0,0,0.2,7631,0,0,0,0,275,192,0,0,47,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.8
Jack,Simpson,DEF,BOU,3800000,0,2,0.0645161290322581,1.69779286926995E-08,5.26315789473684E-07,0,274715,0,1,0,0,0,0,0,0.5,10151,-2,0,2,2,0.2,0,0.7,0,0,0,0,0,7.6,299986,0,0,0,0,82,25642,0,0,13,Leicester,Burnley,Brighton,Fulham,Southampton,0,0,0,0,0,0,0,1.9
Joshua,Sims,MID,SOU,4400000,0,1,0.0333333333333333,7.57575757575758E-09,2.27272727272727E-07,0,4396,0,0,0,0,0,0,0,0.2,46,-1,0,1,1,0.1,0,0.5,0,0,0,0,0,0,1113,0,0,0,0,45,48,0,0,6,Brighton,Liverpool,Wolverhampton,Newcastle,Watford,0,0,0,0,0,0,0,3.5
Jerome,Sinclair,FWD,WAT,4400000,0,0,0,0,0,0,45688,0,0,0,0,0,0,0,0,1824,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,54951,0,0,0,0,0,1722,0,0,0,Man Utd,Fulham,Arsenal,Huddersfield,Southampton,0,0,0,0,0,0,0,0
