FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Cesc,Fabregas,MID,CHE,6300000,0,0,0,0,0,0,50533,0,0,0,0,0,0,0,0,1063,-2,0,0,2,0,0,0,0,0,0,0,0,0.4,1278,0,0,0,0,0,296,0,0,0,West Ham,Liverpool,Southampton,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fabri,GLK,FUL,4500000,0,8,1.6,3.55555555555556E-07,1.77777777777778E-06,0,10703,0,5,0,15,0,0,0,1.8,1539,0,0,8,0,0,0,0,2,0,0,0,0,0.3,8846,0,0,0,0,180,121,0,0,47,Watford,Everton,Arsenal,Cardiff City,Bournemouth,0.8,1.1,0.8,1.4,1.1,1.4,0.8,0.9,1.1,1.6,1.4,0.9,0.9,1.4,1.3,0.8,1.4,1.3,1.5,2,1,1,1.1,1.2,1.1,1.2,0.9,0.8,1.2,0.8,1.9,1,0.9,11.5
,Felipe Anderson,MID,WHU,6900000,2,12,2.4,3.47826086956522E-07,1.73913043478261E-06,0,110040,1,10,0,0,0,0,0,1.7,12231,-1,0,12,1,0.4,0,3,0,0,0,0,1,2.1,27695,0,0,0,0,421,1825,0,0,66,Chelsea,Man Utd,Brighton,Tottenham,Leicester,1.2,1.3,1.8,1.2,1.6,1.8,2.8,1.3,2.8,2.1,1.6,1.9,1.5,2.5,2.6,2.3,1.4,1.7,1.9,1.3,3.6,1.7,1.5,2.2,1.9,2,1.5,1.4,2.5,1.7,1.8,1.6,2,31.8
Marouane,Fellaini,MID,MUN,5000000,5,14,2.8,5.6E-07,2.8E-06,0,24418,0,3,0,0,0,0,0,2.8,4912,0,0,14,0,0.6,0,3,0,0,1,0,2,1,34569,0,0,0,0,245,22427,0,0,61,Wolverhampton,West Ham,Newcastle,Chelsea,Everton,2.1,3.1,2.4,2,1.6,2.4,2.1,1.7,3.4,1.5,1.9,1.7,2.7,2.2,2.5,3.7,2.6,2.5,2,2.2,2.7,1.4,4.2,1.7,2.9,1.4,1.6,2.6,1.6,2.7,1.4,3.6,2.3,12.2
Edimilson,Fernandes,MID,WHU,4500000,0,0,0,0,0,0,9925,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0.1,176,0,0,0,0,0,4,0,0,0,Chelsea,Man Utd,Brighton,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federico,Fernandez,DEF,NEW,4400000,5,6,1.2,2.72727272727273E-07,1.36363636363636E-06,0,5443,1,6,0,0,0,0,0,1.4,443,-1,1,6,1,0.5,0,2,1,0,0,0,1,0.2,1495,0,0,0,0,270,778,-1,0,46,Crystal Palace,Leicester,Man Utd,Brighton,Southampton,1.5,0.9,1,0.9,0.7,0.6,0.6,1,0.6,0.8,0.8,1,0.6,0.6,0.6,0.6,0.8,1.2,0.6,0.9,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.6,14.4
,Fernandinho,MID,MCI,5400000,6,15,3,5.55555555555556E-07,2.77777777777778E-06,0,151418,0,3,0,0,0,0,0,2.8,13776,-1,0,15,1,0.6,0,3.3,0,0,2,0,1,4.6,46213,0,0,0,0,450,13293,0,0,77,Cardiff City,Brighton,Liverpool,Burnley,Tottenham,2.4,3.6,1.5,3,2.3,2.7,2.3,2.8,3.6,2.5,1.7,2.6,2.7,1.9,3.1,2.3,3.1,3.4,3.5,2.4,1.8,2.4,2.5,2.1,2.5,3.1,2.4,3.3,4.5,2.2,3.2,2.8,2.2,22.4
Roberto,Firmino,FWD,LIV,9400000,9,28,5.6,5.95744680851064E-07,2.97872340425532E-06,0,780718,0,1,0,0,0,2,0,3,78780,-1,0,28,1,0.7,0,7,4,0,4,0,2,25.7,305059,0,0,0,0,411,82178,0,0,110,Southampton,Chelsea,Man City,Huddersfield,Cardiff City,6.7,5.3,6.5,7.3,7.5,7.3,8.1,5.9,7.9,6.9,5.3,6.7,4.9,7.8,7.6,4.8,5.9,5,8.4,7.3,8.4,7.4,6.7,6.9,7.2,6.6,6.8,6.7,6.4,5.1,7.6,7,7.1,42.5
Phil,Foden,MID,MCI,4700000,0,1,0.2,4.25531914893617E-08,2.12765957446809E-07,0,10806,0,0,0,0,0,0,0,0.2,1007,-3,1,1,3,0,0,0,0,0,0,0,0,0.1,2207,0,0,0,0,8,228,-1,0,4,Cardiff City,Brighton,Liverpool,Burnley,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.3
,Fonte,MID,FUL,4400000,0,0,0,0,0,0,16291,0,0,0,0,0,0,0,0,2122,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,5550,0,0,0,0,0,43,0,0,0,Watford,Everton,Arsenal,Cardiff City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
