FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Chicharito,FWD,WHU,6100000,0,50,3.6,5.9016393442623E-07,8.19672131147541E-06,0,551877,0,10,0,0,0,4,0,8.2,16515,-4,0,50,4,0.1,0,0.4,4,0,4,0,3,1.5,486708,0,0,0,1,715,611,0,0,168,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,Fulham,0,3.6,3.1,3.8,5,3.2,3.5,3.7,3.6,4.1,3.3,4.2,3.3,3.7,4.1,3.9,55.2
Benjamin,Chilwell,DEF,LEI,5100000,0,71,3.4,6.66666666666667E-07,1.3921568627451E-05,0,203413,2,24,0,0,0,0,0,13.9,20203,1,0,71,-1,0.6,0,3.2,5,0,7,0,2,2.3,299420,0,0,0,1,1890,4653,0,0,319,Wolverhampton,Liverpool,Man Utd,Tottenham,Crystal Palace,4.2,3.5,3.1,4.1,3.4,4,3.8,3.6,3.1,3.3,4.6,2.8,3.6,2.8,3.3,4,89.2
Hamza,Choudhury,MID,LEI,4300000,2,10,0.454545454545455,1.05708245243129E-07,2.32558139534884E-06,0,8912,0,3,0,0,0,0,0,2.3,1443,-2,0,10,2,0.5,0,2,0,0,2,0,0,0.2,11740,0,0,0,0,317,2691,0,0,38,Wolverhampton,Liverpool,Man Utd,Tottenham,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,13.7
Andreas,Christensen,DEF,CHE,5000000,0,0,0,0,0,0,51163,1,2,0,0,0,0,0,0,231,-5,0,0,5,0,0,0,0,0,0,0,0,0.4,3548,0,0,0,0,90,101,0,0,11,Arsenal,Bournemouth,Huddersfield,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
Cyrus,Christie,DEF,FUL,4200000,0,22,1.4,3.33333333333333E-07,5.23809523809524E-06,0,13236,4,25,0,0,0,0,0,5.2,639,-3,0,22,3,0.6,0,2.4,0,0,2,0,0,0.2,6131,0,0,0,0,1215,281,0,0,160,Tottenham,Brighton,Crystal Palace,Man Utd,West Ham,0.9,1.2,0.9,0.9,0.7,0.7,1.3,0.8,1,1,0.8,1.5,0.7,1.6,0.9,0.8,54.2
Ibrahima,Cisse,MID,FUL,4300000,0,3,0.136363636363636,3.17124735729387E-08,6.97674418604651E-07,0,6596,0,3,0,0,0,0,0,0.7,321,-2,0,3,2,0.1,0,0.4,0,0,0,0,0,0.1,6700,0,0,0,0,77,170,0,0,12,Tottenham,Brighton,Crystal Palace,Man Utd,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
Ciaran,Clark,DEF,NEW,4500000,8,42,1.90909090909091,4.24242424242424E-07,9.33333333333333E-06,0,26446,1,15,0,0,0,3,0,9.3,1037,0,0,42,0,0.4,0,1.6,4,0,2,0,0,0.2,20626,0,0,0,1,857,1478,0,0,194,Cardiff City,Man City,Tottenham,Wolverhampton,Huddersfield,0,1.3,1.8,1.8,1.7,1.3,1.5,2,1.1,1,1.3,1.7,1.2,1.4,1.4,1.3,42.6
Tom,Cleverley,MID,WAT,5000000,7,10,0.454545454545455,9.09090909090909E-08,2E-06,0,862,1,0,0,0,0,1,0,2,206,0,0,10,0,0.4,0,1.8,2,0,0,0,0,0,1382,0,0,0,0,74,831,0,0,32,Burnley,Tottenham,Brighton,Everton,Cardiff City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.8
Nathaniel,Clyne,DEF,BOU,4400000,1,6,0.272727272727273,6.19834710743802E-08,1.36363636363636E-06,0,40550,0,3,0,0,0,0,0,1.4,2277,-6,0,6,6,0.2,0,0.8,0,0,0,0,0,0.5,34337,0,0,0,0,198,7372,0,0,34,West Ham,Chelsea,Cardiff City,Liverpool,Wolverhampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.9
Conor,Coady,DEF,WOL,4500000,-1,54,2.5,5.55555555555556E-07,1.2E-05,0,36684,4,28,0,0,0,0,0,12,2330,0,0,54,0,0.2,0,1,5,0,5,0,0,0.6,37076,1,0,0,1,1980,2304,0,0,352,Leicester,West Ham,Everton,Newcastle,Bournemouth,2,2,2.5,1.8,1.6,2.9,3.3,2.9,1.8,1.8,2,2,2.6,2.3,2.4,2.1,38.5
Seamus,Coleman,DEF,EVE,5200000,6,46,2.7,5.19230769230769E-07,8.84615384615385E-06,0,193238,1,23,0,0,0,1,0,8.8,3420,-3,0,46,3,0.3,0,1.8,2,0,4,0,0,1.1,90539,1,0,0,1,1496,1169,0,0,252,Southampton,Huddersfield,Wolverhampton,Watford,Man City,1.8,2.8,3.1,2.1,2.8,3.1,3,2.1,3.4,2,2.4,1.8,2.6,2.6,2.8,2.4,55.6
Matthew,Connolly,DEF,CAR,3800000,0,0,0,0,0,0,84435,0,0,0,0,0,0,0,0,7224,-2,0,0,2,0,0,0,0,0,0,0,0,1.8,94572,0,0,0,0,0,14334,0,0,0,Newcastle,Arsenal,Bournemouth,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Cork,MID,BUR,4600000,2,51,2.4,5.21739130434783E-07,1.10869565217391E-05,0,61711,4,38,0,0,0,1,0,11.1,3146,-4,0,51,4,0.4,0,2,0,0,5,0,1,0.6,31965,0,0,0,0,1872,1604,0,0,266,Watford,Man Utd,Southampton,Brighton,Tottenham,1.5,1.3,2.3,1.5,1.4,2.2,1.9,1.2,1.9,2.1,1.4,2,1.2,1.4,1.2,2.2,61.5
Helder,Costa,MID,WOL,4800000,0,47,2.4,5E-07,9.79166666666667E-06,0,68676,3,17,0,0,0,1,0,9.8,2427,-2,0,47,2,0.4,0,2,0,0,5,0,2,0.5,48788,0,0,0,0,1266,1535,0,0,128,Leicester,West Ham,Everton,Newcastle,Bournemouth,1.7,1.6,1.3,2,1.6,2.3,1.8,1.4,2,1.8,1.4,2.1,2.4,1.7,2.4,1.2,69.6
Thibaut,Courtois,GLK,CHE,5500000,0,0,0,0,0,0,54829,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0.5,354,0,0,0,0,0,17,0,0,0,Arsenal,Bournemouth,Huddersfield,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor,Coventry,MID,WHU,4500000,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,35,0,0,0,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Cresswell,DEF,WHU,5000000,6,19,0.863636363636364,1.72727272727273E-07,3.8E-06,0,82659,1,12,0,0,0,0,0,3.8,511,-5,0,19,5,0.4,0,2,0,0,1,0,0,0.6,7402,0,0,0,0,835,755,0,0,136,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,Fulham,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.4,0.4,0.5,0.4,0.4,34.6
