FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Bonatini Lohner Maia,Bonatini,FWD,WOL,4700000,0,10,1.4,2.97872340425532E-07,2.12765957446809E-06,0,58654,0,0,0,0,0,0,0,2.1,946,-3,0,10,3,0,0,0,0,0,0,0,1,0.4,29952,0,0,0,0,130,270,0,0,19,Liverpool,Fulham,Tottenham,Crystal Palace,Man City,0.7,1.3,0.7,0.7,0.7,0.9,0.9,0.7,0.8,0.8,0.8,1.2,0.7,1,0.8,1.1,0.8,1.2,0.8,1.6,0.7,13.6
Gaetan,Bong,DEF,BHA,4500000,0,28,2.3,5.11111111111111E-07,6.22222222222222E-06,0,8847,0,18,0,0,0,0,0,6.2,346,0,0,28,0,0,0,0,0,0,3,0,0,0.2,6880,0,0,0,0,1054,78,0,0,155,Bournemouth,Arsenal,Everton,West Ham,Liverpool,1.2,1.7,3.2,1.5,2.4,1.5,1.2,2.4,2.3,1.8,1.4,3,1.8,3.4,2.2,1.8,1.9,1.6,1.7,1.2,2.3,18.1
Artur,Boruc,GLK,BOU,4000000,0,0,0,0,0,0,136579,0,0,0,0,0,0,0,0,3099,0,0,0,0,0,0,0,0,0,0,0,0,6,77797,0,0,0,0,0,2385,0,0,0,Brighton,Tottenham,Man Utd,Watford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5500000,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,Huddersfield,West Ham,Man City,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie,Brady,MID,BUR,5400000,1,14,0.823529411764706,1.52505446623094E-07,2.59259259259259E-06,0,2074,3,12,0,0,0,0,0,2.6,78,-1,0,14,1,0.3,0,1.8,0,0,1,0,1,0,1146,0,0,0,0,507,44,0,0,57,Arsenal,Everton,West Ham,Huddersfield,Fulham,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,25.2
Claudio,Bravo,GLK,MCI,4800000,0,0,0,0,0,0,9513,0,0,0,0,0,0,0,0,57,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,980,0,0,0,0,0,20,0,0,0,Crystal Palace,Leicester,Southampton,Liverpool,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brian Murphy,GLK,CAR,4000000,0,0,0,0,0,0,5252,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0.2,12897,0,0,0,0,0,399,0,0,0,Man Utd,Crystal Palace,Leicester,Tottenham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel,Britos,DEF,WAT,4400000,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,0,53,-1,0,0,1,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,20,0,0,0,West Ham,Chelsea,Newcastle,Bournemouth,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Brooks,MID,BOU,5100000,0,50,3.3,6.47058823529412E-07,9.80392156862745E-06,0,149898,1,17,0,0,0,3,0,9.8,22263,1,0,50,-1,0.4,0,2,2,0,4,0,1,2.5,285253,0,0,0,0,1028,3237,0,0,160,Brighton,Tottenham,Man Utd,Watford,Everton,3.9,2.4,2.4,3.3,2,2.8,2.4,2.3,1.9,3.4,2.5,2.3,3.5,3.5,2.7,3.8,2.5,3.9,3.1,2.4,3.1,75.9
Tyias,Browning,DEF,EVE,4000000,0,0,0,0,0,0,3323,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5393,0,0,0,0,0,103,0,0,0,Tottenham,Burnley,Brighton,Leicester,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
