FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Sam,Surridge,FWD,BOU,4500000,0,1,0.0285714285714286,6.34920634920635E-09,2.22222222222222E-07,0,8180,0,0,0,0,0,0,0,0.2,331,0,0,1,0,0,0,0,0,0,0,0,0,0.1,13361,0,0,0,0,10,250,0,0,2,Southampton,Tottenham,Crystal Palace,,,0,0,0,0.6
Markus,Suttner,DEF,BHA,3800000,0,0,0,0,0,0,363305,0,0,0,0,0,0,0,0,3594,-2,0,0,2,0,0,0,0,0,0,0,0,4.2,146885,0,0,0,0,0,6205,0,0,0,Newcastle,Arsenal,Man City,,,0,0,0,0
Matt,Targett,DEF,SOU,4200000,0,28,0.8,1.9047619047619E-07,6.66666666666667E-06,0,27839,2,23,0,0,0,0,0,6.7,358,-3,0,28,3,0,0,0,3,0,0,0,3,0.1,27331,0,0,0,0,1095,13,0,0,207,Bournemouth,West Ham,Huddersfield,,,0,0.4,0.4,76
James,Tarkowski,DEF,BUR,4700000,1,95,3,6.38297872340426E-07,2.02127659574468E-05,0,636425,6,57,0,0,0,3,0,20.2,5219,-3,0,95,3,1.1,0,5,7,0,7,0,2,4.4,375354,0,0,0,1,2816,4317,0,0,486,Man City,Everton,Arsenal,,,3,3.2,2.9,138.3
Charlie,Taylor,DEF,BUR,4400000,1,78,2.2,5E-07,1.77272727272727E-05,0,40611,2,58,0,0,0,0,0,17.7,1052,-1,0,78,1,0.9,0,4,2,0,7,0,1,0.5,50286,0,0,0,0,2970,1183,0,0,475,Man City,Everton,Arsenal,,,1.9,2,1.8,87.9
Kyle,Taylor,MID,BOU,4500000,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,9,0,0,0,Southampton,Tottenham,Crystal Palace,,,0,0,0,0
Youri,Tielemans,MID,LEI,6100000,5,49,1.4,2.29508196721311E-07,8.0327868852459E-06,0,110125,2,13,0,0,0,2,0,8,11688,1,0,49,-1,0.9,0,5.5,5,0,1,0,5,1.7,215995,0,0,0,0,833,4897,0,0,214,Arsenal,Man City,Chelsea,,,0.8,0.7,0.7,63.7
James,Tomkins,DEF,CRY,4300000,0,86,3,6.97674418604651E-07,2E-05,0,502378,6,37,0,0,0,1,0,20,11303,-2,0,86,2,0.6,0,2.6,0,0,10,0,1,2.6,211741,0,0,0,0,2561,96,0,0,504,Everton,Cardiff City,Bournemouth,,,0,0,0,92.3
Lucas,Torreira,MID,ARS,4700000,1,74,2.3,4.8936170212766E-07,1.57446808510638E-05,0,675836,7,34,0,0,0,2,0,15.7,2517,-3,0,74,3,0.1,0,0.4,6,0,5,0,4,2.6,687128,0,0,0,1,2197,1161,0,1,386,Leicester,Brighton,Burnley,,,1.4,2.4,1.3,88.7
Cenk,Tosun,FWD,EVE,6400000,0,46,2,3.125E-07,7.1875E-06,0,409568,3,15,0,0,0,2,0,7.2,284,-6,0,46,6,0.1,0,0.5,0,0,1,0,3,1.5,154500,0,0,0,0,937,151,0,0,129,Crystal Palace,Burnley,Tottenham,,,1.3,2.1,1,75.4
