FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Fabian,Schar,DEF,NEW,4600000,2,69,3.6,7.82608695652174E-07,1.5E-05,0,154226,10,18,0,0,0,3,0,15,13075,-4,0,69,4,0.2,0,0.7,6,0,5,0,1,1.4,210816,0,0,0,2,1572,1371,0,0,312,Leicester,Southampton,Brighton,Liverpool,Fulham,3.7,4.1,3.4,4.1,3.6,83.9
Ezequiel,Schelotto,DEF,BHA,3800000,0,0,0,0,0,0,134412,0,0,0,0,0,0,0,0,2664,-2,0,0,2,0,0,0,0,0,0,0,0,1.7,92121,0,0,0,0,0,2303,0,0,0,Bournemouth,Cardiff City,Wolverhampton,Tottenham,Newcastle,0,0,0,0,0,0
Christopher,Schindler,DEF,HUD,4200000,0,71,2.2,5.23809523809524E-07,1.69047619047619E-05,0,251078,4,59,0,0,0,1,0,16.9,9276,-3,0,71,3,0.1,0,0.3,7,0,5,0,1,2.2,212825,0,0,0,1,2810,943,0,1,454,Tottenham,Watford,Liverpool,Man Utd,Southampton,1.9,1.9,1.7,1.7,1.7,76.7
Jeffrey,Schlupp,DEF,CRY,4500000,6,90,2.72727272727273,6.06060606060606E-07,2E-05,0,339109,1,25,0,0,0,4,0,20,28372,0,0,90,0,1,0,4.3,3,0,4,0,3,4.5,517278,0,0,0,2,1639,4542,0,0,295,Man City,Arsenal,Everton,Cardiff City,Bournemouth,2.2,1.6,3.3,3.1,2.3,105.2
Kasper,Schmeichel,GLK,LEI,5000000,3,101,3.1,6.2E-07,2.02E-05,0,288791,2,44,0,76,0,0,0,20.2,13506,0,0,101,0,0.7,0,3.7,6,0,8,0,0,5.2,268496,0,0,0,1,2970,2494,0,0,521,Newcastle,West Ham,Arsenal,Man City,Chelsea,2.7,2.9,2.8,2.7,4,63.4
Morgan,Schneiderlin,MID,EVE,4200000,0,18,0.545454545454545,1.2987012987013E-07,4.28571428571429E-06,0,245165,1,7,0,0,0,0,0,4.3,4610,-3,0,18,3,0.1,0,0.3,0,0,2,0,1,1.9,206597,0,0,0,0,472,200,0,0,97,Fulham,Man Utd,Crystal Palace,Burnley,Tottenham,0,0.3,0.3,0.3,0.3,21.2
Ryan,Schofield,GLK,HUD,4000000,0,0,0,0,0,0,7719,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10415,0,0,0,0,0,4,0,0,0,Tottenham,Watford,Liverpool,Man Utd,Southampton,0,0,0,0,0,0
Andre,Schurrle,MID,FUL,5500000,0,75,3.1,5.63636363636364E-07,1.36363636363636E-05,0,694738,2,43,0,0,0,6,0,13.6,1069,-5,0,75,5,0.1,0,0.7,2,0,2,0,0,2.1,454905,0,0,0,1,1638,147,0,0,260,Everton,Bournemouth,Cardiff City,Wolverhampton,Newcastle,2.9,2.2,3.2,2.3,3.5,114
Ken,Sema,MID,WAT,4600000,0,34,1.0625,2.30978260869565E-07,7.39130434782609E-06,0,20544,1,8,0,0,0,1,0,7.4,259,-4,0,34,4,0,0,0,1,0,3,0,2,0.1,20521,0,0,0,1,653,18,0,0,87,Arsenal,Huddersfield,Southampton,Wolverhampton,Chelsea,0.6,1.2,0.5,0.5,0.5,33.4
Jean Michael,Seri,MID,FUL,4900000,0,68,2.3,4.69387755102041E-07,1.38775510204082E-05,0,303788,6,54,0,0,0,1,0,13.9,513,-6,0,68,6,0.2,0,1,6,0,2,0,3,1.3,249512,0,0,0,1,2154,28,0,0,402,Everton,Bournemouth,Cardiff City,Wolverhampton,Newcastle,1.8,1.3,2,1.4,2.3,141.5
Ryan,Sessegnon,MID,FUL,6000000,0,81,2.7,4.5E-07,1.35E-05,0,453437,0,56,0,0,0,2,0,13.5,585,-5,0,81,5,0.5,0,2.7,3,0,0,0,7,1.9,61699,0,0,0,0,1866,215,0,0,257,Everton,Bournemouth,Cardiff City,Wolverhampton,Newcastle,2.3,1.8,2.6,1.9,2.9,114.9
Xherdan,Shaqiri,MID,LIV,6800000,0,82,2.48484848484848,3.6541889483066E-07,1.20588235294118E-05,0,611987,2,6,0,0,0,6,0,12.1,1298,-7,0,82,7,0,0,0,4,0,7,0,4,2.1,331859,0,0,0,1,1010,89,0,0,280,Chelsea,Cardiff City,Huddersfield,Newcastle,Wolverhampton,1.8,1.6,2.6,2,2.2,93.6
Luke,Shaw,DEF,MUN,5000000,0,81,3.1,6.2E-07,1.62E-05,0,1224206,10,35,0,0,0,1,0,15.9,69501,0,1,81,0,0.7,0,3.5,8,0,6,0,4,6.5,1240575,0,0,0,1,2321,1037,-1,0,442,West Ham,Everton,Man City,Chelsea,Huddersfield,0,6.6,4,3.6,4,125.4
