FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Michail,Antonio,MID,WHU,7000000,1,1,1,1.42857142857143E-07,1.42857142857143E-07,0,8084,1,4,0,0,0,0,0,0.1,8084,0,0,1,0,0.1,0,1,0,0,0,0,0,1.5,1616,0,0,0,0,90,1616,0,0,5,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.8,0.5,0.5,0.5,0.6,0.5,0.6,0.5,5.7
Stuart,Armstrong,MID,SOU,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,2827,0,0,0,0,0,0,0,0.2,2827,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,168,0,0,0,0,55,168,0,0,5,Everton,Leicester,Crystal Palace,Brighton,Liverpool,0,0.6,0.5,0.7,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,4
Marko,Arnautovic,FWD,WHU,7000000,2,2,2,2.85714285714286E-07,2.85714285714286E-07,0,71089,0,3,0,0,0,0,0,0.3,71089,0,0,2,0,0.3,0,2,0,0,0,0,0,20,66603,0,0,0,0,66,66603,0,0,-1,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,1,2.3,2.4,2.3,1,1.5,2.3,1.3,1.9,1,2.5,1,2.3,2.2,1,2,1,1,1,2.7,2.7,1,2,1,1,2.4,1,2.7,1.8,2.8,2.7,1,1.2,2.3,1,1,1,2.6
Harry,Arter,MID,CAR,5000000,0,0,0,0,0,0,2336,0,0,0,0,0,0,0,0,2336,0,0,0,0,0,0,0,0,0,0,0,0,0.3,315,0,0,0,0,0,315,0,0,0,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,1583,0,0,0,0,0,0,0,0.2,1583,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,313,0,0,0,0,21,313,0,0,4,Cardiff City,Chelsea,Man City,Arsenal,Crystal Palace,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.7,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,2.1
Pierre-Emerick,Aubameyang,FWD,ARS,11000000,2,2,2,1.81818181818182E-07,1.81818181818182E-07,0,105703,0,2,0,0,0,0,0,0.2,105703,0,0,2,0,0.2,0,2,0,0,0,0,0,17.7,19077,0,0,0,0,90,19077,0,0,5,Chelsea,West Ham,Cardiff City,Newcastle,Everton,1,2.8,1.8,2.3,2.7,1,2,2.3,1,1,2.4,1,1.3,1.2,2.8,1,1,2.3,1,2.4,2.5,1,2.2,1,2.5,1,1,1,1.5,2,2.7,2.3,1,1,1.9,2.7,1,1.4
Serge,Aurier,DEF,TOT,6000000,5,5,5,8.33333333333333E-07,8.33333333333333E-07,0,3754,0,1,0,0,0,0,0,0.8,3754,0,0,5,0,0.8,0,5,0,0,0,0,1,1.2,5988,0,0,0,0,90,5988,0,0,22,Fulham,Man Utd,Watford,Liverpool,Brighton,7.1,6.2,6.2,5.5,6.2,6.2,7.1,6.2,7.1,5.4,5.1,7.1,6.2,7.1,5.1,7.1,5.8,5,6.4,6.2,7.1,6.2,7.1,5.8,6,6.2,6.2,7.1,6.2,6,4.5,7.1,7.1,6.2,7.1,4.1,6.7,5.8
Charlie,Austin,FWD,SOU,6000000,2,2,2,3.33333333333333E-07,3.33333333333333E-07,0,10413,0,0,0,0,0,0,0,0.3,10413,0,0,2,0,0.3,0,2,0,0,1,0,0,1.6,3279,0,0,0,0,71,3279,0,0,5,Everton,Leicester,Crystal Palace,Brighton,Liverpool,2.3,2.3,1,2.7,1,2,1,1,2.7,1,1,2,1.5,1,1.8,2.7,2.5,2.8,1,1,1.9,2.7,1,1,2.2,2.3,2.4,1.2,1.3,1,2.3,1,2.4,2.3,1,2.5,2.8,3.5
Jordan,Ayew,FWD,CRY,6000000,0,0,0,0,0,0,6045,0,0,0,0,0,0,0,0,6045,0,0,0,0,0,0,0,0,0,0,0,0,0.4,628,0,0,0,0,0,628,0,0,0,Liverpool,Watford,Southampton,Huddersfield,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Floyd,Ayite,MID,FUL,4500000,0,0,0,0,0,0,1503,0,0,0,0,0,0,0,0,1503,0,0,0,0,0,0,0,0,0,0,0,0,0.2,145,0,0,0,0,0,145,0,0,0,Tottenham,Burnley,Brighton,Man City,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,Azpilicueta,DEF,CHE,6500000,6,6,6,9.23076923076923E-07,9.23076923076923E-07,0,40354,0,0,0,0,0,0,0,0.9,40354,0,0,6,0,0.9,0,6,0,0,1,0,0,15.3,9622,0,0,0,0,90,9622,0,0,29,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,8.5,6.3,6.6,8.5,7.4,7.1,7.4,8.5,7.4,7.8,8.5,7.4,8.5,7,8.5,7.4,7.8,7.4,6.6,8.5,7.4,7.4,5.4,8.5,7.4,8.5,8.5,7.4,8.1,7.4,7.4,8.5,5.9,8.5,7.4,8.5,6.6,3.3
Juninho,Bacuna,MID,HUD,4500000,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0.1,98,0,0,0,0,0,98,0,0,0,Man City,Cardiff City,Everton,Crystal Palace,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Bailly,DEF,MUN,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,11301,0,1,0,0,0,0,0,0.4,11301,0,0,2,0,0.4,0,2,0,0,0,0,0,4.1,31553,0,0,0,0,90,31553,0,0,13,Brighton,Tottenham,Burnley,Watford,Wolverhampton,2.5,2.8,1.8,1.6,1.6,2.1,1.4,2.5,1.8,1,2.1,1.5,1.8,2.5,2.2,1,2.1,2.5,1.2,1.1,2.5,2.8,2.2,1.2,1.8,1.3,1.2,2.2,2.1,2.5,2,1.3,2.5,1.4,2.8,2.1,2.5,2.4
Leighton,Baines,DEF,EVE,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,7542,0,2,0,0,0,0,0,0.2,7542,0,0,1,0,0.2,0,1,0,0,0,0,0,1.8,4070,0,0,0,0,90,4070,0,0,17,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0.8,0.5,0.9,0.9,0.7,0.8,0.5,0.5,0.7,1.1,0.9,0.9,0.5,0.5,0.7,0.7,1.4,0.6,0.9,0.5,0.5,0.6,0.7,0.5,0.5,0.9,0.7,0.5,0.5,1.1,0.7,0.9,0.6,0.9,0.5,0.8,1.2,5.6
Tiemoue,Bakayoko,MID,CHE,4900000,0,0,0,0,0,0,5387,0,0,0,0,0,0,0,0,5387,-1,1,0,1,0,0,0,0,0,0,0,0,0.2,270,0,0,0,0,0,270,-1,0,0,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian,Balbuena,DEF,WHU,4500000,-1,-1,-1,-2.22222222222222E-07,-2.22222222222222E-07,0,1645,1,4,0,0,0,0,0,-0.2,1645,0,0,-1,0,-0.2,0,-1,0,0,0,0,0,0.3,1052,0,0,0,0,90,1052,0,0,16,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
Sam,Baldock,FWD,BHA,4500000,0,0,0,0,0,0,4534,0,0,0,0,0,0,0,0,4534,0,0,0,0,0,0,0,0,0,0,0,0,0.4,148,0,0,0,0,0,148,0,0,0,Man Utd,Liverpool,Fulham,Southampton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon,Balogun,DEF,BHA,4500000,0,0,0,0,0,0,1397,0,0,0,0,0,0,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,0,0.1,109,0,0,0,0,0,109,0,0,0,Man Utd,Liverpool,Fulham,Southampton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sol,Bamba,DEF,CAR,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,3724,0,2,0,0,0,0,0,0.2,3724,0,0,1,0,0.2,0,1,0,0,0,0,0,0.8,1032,0,0,0,0,90,1032,0,0,7,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,0.5,0.7,0.9,0.9,0.9,0.8,1.2,0.8,0.5,0.5,1.1,0.5,0.5,0.7,0.8,0.5,0.9,0.5,0.5,1.4,0.9,0.5,0.7,0.5,0.6,0.7,0.6,0.5,0.9,0.9,1.1,0.7,0.6,0.5,0.6,0.5,0.7,0.8
Beni,Baningime,MID,EVE,4500000,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0.1,144,0,0,0,0,0,144,0,0,0,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4500000,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0.2,215,0,0,0,0,0,215,0,0,0,Watford,Fulham,Man Utd,Wolverhampton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross,Barkley,MID,CHE,6000000,3,3,3,5E-07,5E-07,0,3869,0,0,0,0,0,0,0,0.5,3869,0,0,3,0,0.5,0,3,0,0,1,0,0,0.5,2404,0,0,0,0,67,2404,0,0,12,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,3.6,2.8,2.5,3.6,2.8,1.7,2.8,2.2,2.5,3.6,2.5,2,3.6,1.9,2.3,3,3.4,1.7,3,3.4,3.4,3,2,3.9,1.8,3.6,2.6,3,2.4,1.9,3,3.4,1.5,3.1,1.7,2.2,2.8,4.5
Ashley,Barnes,FWD,BUR,6000000,1,1,1,1.66666666666667E-07,1.66666666666667E-07,0,7328,0,0,0,0,0,0,0,0.2,7328,0,0,1,0,0.2,0,1,0,0,0,0,0,0.9,1594,0,0,0,0,14,1594,0,0,4,Watford,Fulham,Man Utd,Wolverhampton,Bournemouth,0.5,0.7,0.5,0.7,0.5,0.6,1.2,0.5,0.5,1.2,0.6,1,0.5,0.5,1,0.5,0.8,1,1.4,1,0.9,0.5,0.5,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.9,0.5,0.8,0.5,0.5,0.8,1,2.3
Danny,Batth,DEF,WOL,4000000,0,0,0,0,0,0,9235,0,0,0,0,0,0,0,0,9235,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1745,0,0,0,0,0,1745,0,0,0,Leicester,Man City,West Ham,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Bednarek,DEF,SOU,4000000,0,0,0,0,0,0,25458,0,0,0,0,0,0,0,0,25458,0,0,0,0,0,0,0,0,0,0,0,0,4.9,4308,0,0,0,0,0,4308,0,0,0,Everton,Leicester,Crystal Palace,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asmir,Begovic,GLK,BOU,4500000,6,6,6,1.33333333333333E-06,1.33333333333333E-06,0,9640,0,0,0,1,0,0,0,1.3,9640,0,0,6,0,1.3,0,6,0,0,1,0,0,4.9,12835,0,0,0,0,90,12835,0,0,21,West Ham,Everton,Chelsea,Leicester,Burnley,7.4,8.5,7.4,7.8,7.4,7.8,7.4,8.5,7.4,8.5,6.3,8.5,7.4,8.5,7.1,7,8.5,7.4,7.4,8.5,7.4,8.5,8.5,7.4,5.9,8.1,7.4,8.5,7.4,7.4,6.6,8.5,7.4,8.5,7.4,8.5,6.6,1
Hector,Bellerin,DEF,ARS,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,74993,0,2,0,0,0,0,0,0.2,74993,0,0,1,0,0.2,0,1,0,0,0,0,0,13.9,12606,0,0,0,0,90,12606,0,0,17,Chelsea,West Ham,Cardiff City,Newcastle,Everton,0.9,0.9,0.7,0.5,0.6,0.7,0.6,0.5,0.5,0.5,0.5,0.5,1.4,0.7,0.9,0.6,0.8,0.9,0.5,0.8,0.7,1.1,0.9,0.7,0.7,0.8,0.5,1.2,0.9,0.5,0.5,0.5,0.5,0.5,0.5,1.1,0.6,6.2
Yohan,Benalouane,DEF,LEI,4000000,0,0,0,0,0,0,4943,0,0,0,0,0,0,0,0,4943,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2268,0,0,0,0,0,2268,0,0,0,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip,Benkovic,DEF,LEI,5000000,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0.1,97,0,0,0,0,0,97,0,0,0,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Bennett,DEF,CAR,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,949,0,2,0,0,0,0,0,0.2,949,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,491,0,0,0,0,90,491,0,0,14,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,0.5,0.7,0.9,0.9,0.9,0.8,1.2,0.8,0.5,0.5,1.1,0.5,0.5,0.7,0.8,0.5,0.9,0.5,0.5,1.4,0.9,0.5,0.7,0.5,0.6,0.7,0.6,0.5,0.9,0.9,1.1,0.7,0.6,0.5,0.6,0.5,0.7,1.8
Ryan,Bennett,DEF,WOL,4000000,1,1,1,2.5E-07,2.5E-07,0,22339,0,2,0,0,0,0,0,0.3,22339,0,0,1,0,0.3,0,1,0,0,0,0,0,6.2,62274,0,0,0,0,90,62274,0,0,18,Leicester,Man City,West Ham,Burnley,Man Utd,0.5,0.9,0.7,0.8,0.7,0.8,0.5,0.7,0.9,1.4,0.7,0.9,0.7,1.1,0.5,0.5,0.5,0.6,1.2,0.5,0.7,0.5,0.9,0.5,0.5,0.5,0.7,0.9,0.9,0.9,0.6,0.9,0.6,1.1,0.5,0.8,0.5,5.1
Christian,Benteke,FWD,CRY,6500000,2,2,2,3.07692307692308E-07,3.07692307692308E-07,0,7478,0,0,0,0,0,0,0,0.3,7478,0,0,2,0,0.3,0,2,0,0,1,0,0,1.3,5142,0,0,0,0,82,5142,0,0,9,Liverpool,Watford,Southampton,Huddersfield,Newcastle,1,1,1,2.5,2.7,1,2.4,2.3,2.7,1,1.3,1.2,1,2.3,2.5,2.3,1,2.2,1,2,1,1,1,2.4,2.8,1.9,1.5,1,2.7,1,2.8,2.3,1,2.3,2.7,1.8,1,8.6
,Bernard,MID,EVE,6000000,0,0,0,0,0,0,5947,0,0,0,0,0,0,0,0,5947,0,0,0,0,0,0,0,0,0,0,0,0,0.3,802,0,0,0,0,0,802,0,0,0,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
