FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Chris,Wood,FWD,BUR,6200000,1,32,1.7,2.74193548387097E-07,5.16129032258064E-06,0,34307,1,25,0,0,0,1,0,5.2,484,-3,0,32,3,0.2,0,1.5,0,0,3,0,0,0.2,17597,0,0,0,0,973,406,0,0,60,West Ham,Huddersfield,Fulham,Watford,Man Utd,1.3,1.1,1.9,1.1,1.3,1.5,1,1,1.2,1.1,0.8,1.2,1.1,1,1.6,0.9,1.2,0.9,1.5,48.3
Frederick,Woodman,GLK,NEW,4000000,0,0,0,0,0,0,3129,0,0,0,0,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0.2,10227,0,0,0,0,0,493,0,0,0,Watford,Man Utd,Chelsea,Cardiff City,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Xande Silva,FWD,WHU,4500000,0,0,0,0,0,0,1146,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,3068,0,0,0,0,0,1182,0,0,0,Burnley,Brighton,Arsenal,Bournemouth,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit,Xhaka,MID,ARS,5300000,2,50,2.8,5.28301886792453E-07,9.43396226415094E-06,0,284007,6,22,0,0,0,2,0,9.4,8586,-2,0,50,2,0.4,0,2,2,0,3,0,2,2.6,173206,0,0,0,0,1554,1893,0,0,270,Liverpool,Fulham,West Ham,Chelsea,Cardiff City,1.4,3.1,2.2,1.8,2.7,1.4,2.8,2.9,2.8,1.6,2.1,2.3,2.8,1.5,2,2.4,2.1,3.2,2.3,85.7
Andriy,Yarmolenko,MID,WHU,6700000,0,27,1.42105263157895,2.1209740769835E-07,4.02985074626866E-06,0,112607,2,6,0,0,0,2,0,4,356,-3,0,27,3,0,0,0,2,0,1,0,1,0.5,83254,0,0,0,1,456,16,0,0,88,Burnley,Brighton,Arsenal,Bournemouth,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.8,0.8,29.1
DeAndre,Yedlin,DEF,NEW,4500000,0,36,2.1,4.66666666666667E-07,8E-06,0,105202,3,26,0,0,0,1,0,8,4563,0,0,36,0,0,0,-0.2,1,0,3,0,1,1,76172,1,0,0,0,1401,261,0,1,189,Watford,Man Utd,Chelsea,Cardiff City,Man City,1.9,1.6,2.2,2.6,1.6,1.9,2,2.1,1.6,1.9,2.3,1.3,1.1,1.7,1.7,1.4,1.6,1.7,1.6,54.7
Maya,Yoshida,DEF,SOU,4100000,1,10,0.526315789473684,1.28369704749679E-07,2.4390243902439E-06,0,70708,0,17,0,0,0,0,0,2.4,3038,-4,0,10,4,0.2,0,1,0,0,0,0,0,0.8,35884,0,0,0,0,709,1690,0,0,106,Man City,Chelsea,Leicester,Everton,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.6
Ashley,Young,DEF,MUN,5700000,1,35,2.5,4.3859649122807E-07,6.14035087719298E-06,0,113266,5,24,0,0,0,1,0,6.1,12880,-3,0,35,3,0.5,0,2.7,1,0,1,0,3,2,98816,0,0,0,1,1207,5463,0,0,210,Bournemouth,Newcastle,Tottenham,Brighton,Burnley,2,2.1,2.3,2.8,2.3,2.1,1.9,2.5,2.6,2.1,1.3,2.3,2.3,2.5,1.9,2.4,2.7,3,3.5,62.4
Pablo,Zabaleta,DEF,WHU,4300000,0,37,2.6,6.04651162790698E-07,8.6046511627907E-06,0,171114,4,18,0,0,0,0,0,8.6,16604,-2,0,37,2,0.5,0,2.2,4,0,3,0,1,2.5,123419,0,0,0,0,1242,1402,0,0,225,Burnley,Brighton,Arsenal,Bournemouth,Wolverhampton,0,2.7,1.5,1.8,2.8,2.4,3,2.2,2.3,1.7,3.3,2.8,3,3.1,2.5,2.1,2.7,2,2.6,43.8
Wilfried,Zaha,FWD,CRY,6700000,2,50,3.1,4.62686567164179E-07,7.46268656716418E-06,0,1976146,6,22,0,0,0,3,0,7.5,24525,-3,0,50,3,0.3,0,1.7,3,0,6,0,3,11.3,919747,0,0,0,0,1437,11697,0,0,143,Chelsea,Wolverhampton,Watford,Liverpool,Southampton,2.4,2.8,3,2.2,3.4,4.1,3,3,3.4,3.2,3.7,2.7,2.8,3.4,2.7,3.1,3.3,3,3.4,115.8
Andre-Frank,Zambo Anguissa,MID,FUL,4400000,0,15,0.789473684210526,1.79425837320574E-07,3.40909090909091E-06,0,14669,0,17,0,0,0,0,0,3.4,326,-1,0,15,1,0,0,-0.2,0,0,0,0,0,0.1,10888,0,0,0,0,636,63,0,1,91,Huddersfield,Arsenal,Burnley,Tottenham,Brighton,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,22.2
,Zanka,DEF,HUD,4400000,8,53,3.1,7.04545454545455E-07,1.20454545454545E-05,0,344342,6,28,0,0,0,3,0,12,3906,-1,0,53,1,0.9,0,4,4,0,2,0,1,3.3,51352,0,0,0,0,1517,17040,0,0,290,Fulham,Burnley,Cardiff City,Man City,Everton,2.8,3,4,3.1,4,3.8,2.2,3.1,3.3,2.8,2.7,3.3,3.7,2.9,3.3,3.1,3.2,3,2.7,63.1
Davide,Zappacosta,DEF,CHE,5100000,0,2,0.105263157894737,2.06398348813209E-08,3.92156862745098E-07,0,13621,0,0,0,0,0,0,0,0.4,226,-4,0,2,4,0,0,0.2,0,0,0,0,0,0.1,3105,0,0,0,0,18,107,0,0,5,Crystal Palace,Southampton,Newcastle,Arsenal,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.5
Marvin,Zeegelaar,DEF,WAT,4200000,0,0,0,0,0,0,4187,0,0,0,0,0,0,0,0,67,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,812,0,0,0,0,0,57,0,0,0,Newcastle,Bournemouth,Crystal Palace,Burnley,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr,Zinchenko,MID,MCI,4700000,0,4,0.210526315789474,4.47928331466965E-08,8.51063829787234E-07,0,2397,0,1,0,0,0,0,0,0.9,61,-3,0,4,3,0,0,0.2,0,0,1,0,0,0,1131,0,0,0,0,143,137,0,0,36,Southampton,Liverpool,Wolverhampton,Huddersfield,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12.3
Kenneth,Zohore,FWD,CAR,4600000,0,9,1.3,2.82608695652174E-07,1.95652173913043E-06,0,48595,0,7,0,0,0,0,0,2,580,-4,0,9,4,0,0,0.2,0,0,1,0,0,0.2,21059,0,0,0,0,287,250,0,0,13,Leicester,Tottenham,Huddersfield,Newcastle,Arsenal,0,0,0,0,0,1.1,0.7,0.9,1,0.6,0.9,0.6,0.7,0.6,0.7,0.6,0.9,0.7,0.8,23.6
Kurt,Zouma,DEF,EVE,5000000,2,35,2.3,4.6E-07,7E-06,0,16771,0,22,0,0,0,0,0,7,555,0,0,35,0,0.2,0,1,4,0,2,0,1,0.2,20949,0,0,0,0,1083,399,0,0,200,Brighton,Leicester,Bournemouth,Southampton,Huddersfield,1.4,2.1,2,1.4,2.4,2.5,1.7,2.3,2.3,2.4,1.6,2.6,1.7,1.6,1.4,2.2,2,2.2,1.7,29
